accord,related_accord,accord_frequency,related_accord_frequency,cooccurrence_count,union_count,jaccard_similarity,lift,jaccard_rank,is_top10
aldehydic,earthy,3556,19049,356,22249,0.0160007191334442,0.6933613454756814,24,False
aldehydic,amber,3556,45478,753,48281,0.015596197261862845,0.6142928055647471,25,False
aldehydic,violet,3556,7614,170,11000,0.015454545454545455,0.8283575959624432,26,False
aldehydic,aquatic,3556,8872,185,12243,0.015110675488033978,0.7736276892913183,27,False
aldehydic,herbal,3556,8607,168,11995,0.014005835764902042,0.724167931431018,28,False
aldehydic,vanilla,3556,34562,496,37622,0.013183775450534263,0.5324325779224359,29,False
aldehydic,lactonic,3556,7015,119,10452,0.011385380788365863,0.629362838910995,30,False
aldehydic,warm spicy,3556,45319,541,48334,0.011192949062771547,0.4428929395917569,31,False
aldehydic,tropical,3556,6512,107,9961,0.010741893384198373,0.6096087555241099,32,False
aldehydic,soft spicy,3556,13661,153,17064,0.008966244725738396,0.4155188684644051,33,False
aldehydic,balsamic,3556,18162,185,21533,0.008591464264152696,0.37791129057331657,34,False
aldehydic,leather,3556,10809,115,14250,0.008070175438596491,0.3947245457764907,35,False
aldehydic,patchouli,3556,14822,102,18276,0.005581089954038083,0.25531431934926635,36,False
almond,nutty,3438,3619,1727,5330,0.32401500938086303,18.312238860863122,1,True
almond,cherry,3438,1803,517,4724,0.1094411515664691,11.003542025007123,2,True
almond,vanilla,3438,34562,2231,35769,0.062372445413626326,2.477070655566028,3,True
almond,lactonic,3438,7015,466,9987,0.046660658856513465,2.549153169245492,4,True
almond,sweet,3438,60625,2792,61271,0.0455680501379119,1.7672636812339948,5,True
almond,fruity,3438,43222,1890,44770,0.042215769488496764,1.6780103500713837,6,True
almond,caramel,3438,4008,237,7209,0.0328755722014149,2.26912449098313,7,True
almond,floral,3438,46586,1399,48625,0.02877120822622108,1.152391330044527,8,True
almond,powdery,3438,62885,1852,64471,0.028726093902684928,1.130138336214249,9,True
almond,cacao,3438,2035,139,5334,0.026059242594675666,2.6211270766244588,10,True
almond,coconut,3438,3269,156,6551,0.02381315829644329,1.831248862202818,11,False
almond,coffee,3438,1815,116,5137,0.022581273116605023,2.4525566629326745,12,False
almond,white floral,3438,39497,862,42073,0.020488199082547003,0.8374923446516795,13,False
almond,amber,3438,45478,933,47983,0.019444386553571058,0.7872596204581821,14,False
almond,honey,3438,3467,131,6774,0.019338647770888694,1.449957070512585,15,False
almond,musky,3438,41154,799,43793,0.018244924988011783,0.7450276933391945,16,False
almond,warm spicy,3438,45319,870,47887,0.018167769958443835,0.7366761749855696,17,False
almond,iris,3438,7451,189,10700,0.01766355140186916,0.9733856307983538,18,False
almond,woody,3438,81432,1444,83426,0.017308752667034258,0.6804712516232847,19,False
almond,yellow floral,3438,6986,156,10268,0.015192832099727308,0.8569070327141444,20,False
almond,tuberose,3438,3931,110,7259,0.015153602424576388,1.073809721476742,21,False
almond,violet,3438,7614,163,10889,0.014969235007806043,0.8215091822066849,22,False
almond,cinnamon,3438,4259,105,7592,0.013830347734457323,0.9460614561423566,23,False
almond,rose,3438,25617,394,28661,0.013746903457660236,0.5902087498569056,24,False
almond,citrus,3438,59969,822,62585,0.013134137572900854,0.5259963139186776,25,False
almond,balsamic,3438,18162,269,21331,0.012610754301251699,0.5683636554187287,26,False
almond,soft spicy,3438,13661,210,16889,0.01243412872283735,0.589894699027933,27,False
almond,fresh,3438,33478,336,36580,0.00918534718425369,0.38513896808270953,28,False
almond,patchouli,3438,14822,149,18111,0.008227044337695322,0.3857599613925466,29,False
almond,animalic,3438,18242,175,21505,0.008137642408742153,0.3681317601971912,30,False
almond,aromatic,3438,54606,466,57578,0.008093368995102296,0.3274788389967609,31,False
almond,leather,3438,10809,109,14138,0.007709718489178102,0.3869712240209194,32,False
almond,green,3438,29755,253,32940,0.0076806314511232545,0.3262858623689352,33,False
almond,fresh spicy,3438,47271,305,50404,0.006051107054995636,0.2475954957225643,34,False
almond,earthy,3438,19049,117,22370,0.005230219043361645,0.23569554296318754,35,False
amber,warm spicy,45478,45319,22361,68436,0.3267432345549126,1.4313739479479097,1,True
amber,woody,45478,81432,30964,95946,0.32272319846580366,1.1030727665106395,2,True
amber,powdery,45478,62885,21656,86707,0.24976068829506268,0.9990181594880965,3,True
amber,aromatic,45478,54606,18869,81215,0.2323339284614911,1.0024223124059577,4,True
amber,sweet,45478,60625,18772,87331,0.21495230788608857,0.8982578040452776,5,True
amber,vanilla,45478,34562,14139,65901,0.21454909637183048,1.1867576330613403,6,True
amber,musky,45478,41154,15082,71550,0.2107896575821104,1.063136645770318,7,True
amber,fresh spicy,45478,47271,16002,76747,0.20850326397123015,0.9820230495404665,8,True
amber,balsamic,45478,18162,10949,52691,0.20779639786680837,1.7488517242138626,9,True
amber,citrus,45478,59969,17900,87547,0.20446160348155848,0.8659013747835563,10,True
amber,animalic,45478,18242,8592,55128,0.15585546364823682,1.3663564840099576,11,False
amber,white floral,45478,39497,11399,73576,0.1549282374687398,0.8372301291627122,12,False
amber,fruity,45478,43222,10902,77798,0.14013213707293246,0.7317176379929051,13,False
amber,floral,45478,46586,11066,80998,0.13662065730018025,0.6890923817934081,14,False
amber,rose,45478,25617,7957,63138,0.12602553137571668,0.9010798848764486,15,False
amber,smoky,45478,7407,4925,47960,0.10268974145120933,1.9288839317491897,16,False
amber,patchouli,45478,14822,5422,54878,0.0988009767119793,1.0611943020291827,17,False
amber,leather,45478,10809,4919,51368,0.09576000622955926,1.3201810994400975,18,False
amber,earthy,45478,19049,5637,58890,0.0957208354559348,0.8584560350585277,19,False
amber,oud,45478,8298,4414,49362,0.08942101211458207,1.543124986359774,20,False
amber,fresh,45478,33478,6450,72506,0.08895815518715693,0.5589106880518688,21,False
amber,green,45478,29755,6036,69197,0.08722921513938466,0.588479693831033,22,False
amber,soft spicy,45478,13661,4565,54574,0.08364789093707627,0.9693943756220093,23,False
amber,lavender,45478,8336,2694,51120,0.052699530516431926,0.93752334448016,24,False
amber,iris,45478,7451,2423,50506,0.04797449807943611,0.9433678162210563,25,False
amber,cinnamon,45478,4259,2043,47694,0.04283557680211347,1.3915631884264694,26,False
amber,tobacco,45478,4372,1902,47948,0.03966797363810795,1.2620383856312576,27,False
amber,violet,45478,7614,1935,51157,0.037824735617804014,0.7372423961623509,28,False
amber,herbal,45478,8607,1954,52131,0.037482496019642826,0.6585897412963725,29,False
amber,mossy,45478,6173,1849,49802,0.03712702301112405,0.8689260938796047,30,False
amber,yellow floral,45478,6986,1787,50677,0.03526254513882037,0.7420585549857419,31,False
amber,aquatic,45478,8872,1457,52893,0.027546178133212335,0.4764092922821887,32,False
amber,caramel,45478,4008,1296,48190,0.026893546378916788,0.9380359734377062,33,False
amber,marine,45478,4326,1270,48534,0.02616722297770635,0.851646588270762,34,False
amber,honey,45478,3467,1204,47741,0.025219413083094194,1.0074299325234364,35,False
amber,lactonic,45478,7015,1181,51312,0.02301605862176489,0.488387373441035,36,False
amber,tuberose,45478,3931,1100,48309,0.022770084249311724,0.8117678487262059,37,False
amber,tropical,45478,6512,1153,50837,0.022680331254794735,0.5136379695644615,38,False
amber,metallic,45478,2235,1010,46703,0.021626019741772477,1.310949769158488,39,False
amber,ozonic,45478,5777,1071,50184,0.021341463414634148,0.53781053892238,40,False
amber,almond,45478,3438,933,47983,0.019444386553571058,0.7872596204581821,41,False
amber,nutty,45478,3619,903,48194,0.018736772212308586,0.7238379889593991,42,False
amber,aldehydic,45478,3556,753,48281,0.015596197261862845,0.6142928055647471,43,False
amber,cacao,45478,2035,707,46806,0.015104901081057984,1.0078530289181593,44,False
amber,coffee,45478,1815,683,46610,0.014653507830937567,1.0916571897385798,45,False
amber,salty,45478,2520,693,47305,0.014649614205686503,0.7977648533356788,46,False
amber,coconut,45478,3269,657,48090,0.013661883967560823,0.5830323520026041,47,False
amber,cherry,45478,1803,538,46743,0.01150974477461866,0.865622933685464,48,False
amber,rum,45478,1166,465,46179,0.010069512115896836,1.1569020951226903,49,False
amber,conifer,45478,1828,447,46859,0.009539256066070551,0.7093711745395831,50,False
amber,chocolate,45478,1554,414,46618,0.008880689862284954,0.7728434521609243,51,False
amber,anis,45478,1418,381,46515,0.00819090615930345,0.7794548252875846,52,False
amber,whiskey,45478,808,270,46016,0.005867524339360223,0.9693812349263423,53,False
amber,soapy,45478,1720,208,46990,0.0044264737178123,0.35081414269306804,54,False
amber,mineral,45478,770,194,46054,0.0042124462587397405,0.7308920025838096,55,False
amber,camphor,45478,793,192,46079,0.004166757091082706,0.7023769429803981,56,False
amber,sour,45478,1912,141,47249,0.0029841901415902984,0.21393085644794735,57,False
amber,cannabis,45478,388,129,45737,0.002820473577191333,0.9644954646701271,58,False
amber,bitter,45478,1034,123,46389,0.0026514906551122035,0.3450855528759926,59,False
amber,beeswax,45478,349,120,45707,0.0026254184260616534,0.9974658233944408,60,False
animalic,leather,18242,10809,4669,24382,0.1914937248790091,3.1239887995897795,1,True
animalic,amber,18242,45478,8592,55128,0.15585546364823682,1.3663564840099576,2,True
animalic,musky,18242,41154,7794,51602,0.15104065733886282,1.3696810880667887,3,True
animalic,white floral,18242,39497,7188,50551,0.14219303277877787,1.3161793402491322,4,True
animalic,powdery,18242,62885,9804,71323,0.13745916464534583,1.127528033279258,5,True
animalic,sweet,18242,60625,7855,71012,0.11061510730580747,0.9370560064742404,6,True
animalic,floral,18242,46586,5777,59051,0.09783068872669387,0.8968463732488899,7,True
animalic,woody,18242,81432,8665,91009,0.09521036381017262,0.769563704815908,8,True
animalic,smoky,18242,7407,2183,23466,0.09302821102872241,2.1314860865752396,9,True
animalic,tuberose,18242,3931,1849,20324,0.09097618579019878,3.4017702473243987,10,True
animalic,warm spicy,18242,45319,5139,58422,0.08796343843072815,0.8201049070703578,11,False
animalic,soft spicy,18242,13661,2497,29406,0.08491464327008094,1.321926053487063,12,False
animalic,citrus,18242,59969,5589,72622,0.0769601498168599,0.6740287382592763,13,False
animalic,oud,18242,8298,1827,24713,0.07392870149314126,1.592341551200883,14,False
animalic,balsamic,18242,18162,2430,33974,0.07152528404073703,0.9676397783396423,15,False
animalic,fruity,18242,43222,4003,57461,0.06966464210507997,0.6698103316705708,16,False
animalic,fresh spicy,18242,47271,4203,61310,0.06855325395530909,0.6430366277745686,17,False
animalic,green,18242,29755,3021,44976,0.0671691568836713,0.7342803085189133,18,False
animalic,fresh,18242,33478,3224,48496,0.06647970966677665,0.6964767754999546,19,False
animalic,rose,18242,25617,2692,41167,0.06539218305924649,0.760007535458927,20,False
animalic,aromatic,18242,54606,4277,68571,0.06237330649983229,0.5664609763336654,21,False
animalic,vanilla,18242,34562,2825,49979,0.05652373997078773,0.591140476518586,22,False
animalic,lactonic,18242,7015,1114,24143,0.04614173880627925,1.148493724545809,23,False
animalic,earthy,18242,19049,1638,35653,0.04594283790985331,0.6218889307040972,24,False
animalic,honey,18242,3467,787,20922,0.037615906701080205,1.641693209206974,25,False
animalic,soapy,18242,1720,703,19259,0.03650241445557921,2.9559561630074223,26,False
animalic,yellow floral,18242,6986,868,24360,0.035632183908045977,0.8985913939489548,27,False
animalic,patchouli,18242,14822,1088,31976,0.03402551913935452,0.5308761288490245,28,False
animalic,tobacco,18242,4372,649,21965,0.029547006601411335,1.0735830708679979,29,False
animalic,aquatic,18242,8872,716,26398,0.027123266914160164,0.583663587501924,30,False
animalic,iris,18242,7451,671,25022,0.02681640156662137,0.6512969851298042,31,False
animalic,violet,18242,7614,624,25232,0.024730500951173115,0.592710782942817,32,False
animalic,mossy,18242,6173,551,23864,0.02308917197452229,0.6455448680645454,33,False
animalic,metallic,18242,2235,438,20039,0.021857378112680275,1.41731927721925,34,False
animalic,ozonic,18242,5777,454,23565,0.019265860386165925,0.5683614275004883,35,False
animalic,marine,18242,4326,411,22157,0.018549442614072303,0.6871102351632187,36,False
animalic,herbal,18242,8607,453,26396,0.01716169116532808,0.3806427042279528,37,False
animalic,aldehydic,18242,3556,366,21432,0.01707726763717805,0.7443727123737863,38,False
animalic,salty,18242,2520,342,20420,0.016748285994123407,0.9815144016163642,39,False
animalic,lavender,18242,8336,404,26174,0.01543516466722702,0.3505054459757397,40,False
animalic,tropical,18242,6512,369,24385,0.015132253434488416,0.4098105035844867,41,False
animalic,caramel,18242,4008,297,21953,0.013528902655673485,0.5359198552790264,42,False
animalic,cinnamon,18242,4259,260,22241,0.011690121847039252,0.4415062124644487,43,False
animalic,sour,18242,1912,229,19925,0.0114930991217064,0.8662010492132964,44,False
animalic,beeswax,18242,349,190,18401,0.01032552578664203,3.9373070551945837,45,False
animalic,coconut,18242,3269,181,21330,0.008485700890764182,0.40043752212907,46,False
animalic,almond,18242,3438,175,21505,0.008137642408742153,0.3681317601971912,47,False
animalic,nutty,18242,3619,176,21685,0.00811620936130966,0.3517184865814519,48,False
animalic,whiskey,18242,808,129,18921,0.006817821468209926,1.1546476089885054,49,False
animalic,cacao,18242,2035,134,20143,0.006652435089112843,0.4762242383117287,50,False
animalic,coffee,18242,1815,124,19933,0.006220839813374806,0.49410149375264845,51,False
animalic,mineral,18242,770,110,18902,0.0058194900010580895,1.0331730543330149,52,False
animalic,cherry,18242,1803,110,19935,0.005517933283170303,0.4412330847678433,53,False
animalic,savory,18242,654,103,18793,0.005480764114297877,1.1390180002662136,54,False
animalic,chocolate,18242,1554,105,19691,0.005332385353714895,0.488662931103453,55,False
anis,soft spicy,1418,13661,1124,13955,0.08054460766750268,7.655104990899423,1,True
anis,lavender,1418,8336,156,9598,0.016253386122108773,1.7411421293000062,2,True
anis,herbal,1418,8607,137,9888,0.013855177993527508,1.4809353360329434,3,True
anis,aromatic,1418,54606,705,55319,0.012744265080713678,1.2012021029013225,4,True
anis,vanilla,1418,34562,406,35574,0.011412829594647777,1.0929354160781684,5,True
anis,fresh spicy,1418,47271,532,48157,0.011047199784039704,1.047090391002108,6,True
anis,sweet,1418,60625,658,61385,0.010719231082512014,1.0098142003402497,7,True
anis,floral,1418,46586,500,47504,0.010525429437521052,0.9985778156806251,8,True
anis,powdery,1418,62885,634,63669,0.009957750239520018,0.938014440356291,9,True
anis,warm spicy,1418,45319,452,46285,0.009765582802203738,0.9279518633167774,10,True
anis,woody,1418,81432,748,82102,0.009110618498940343,0.8546215271325918,11,False
anis,musky,1418,41154,375,42197,0.008886887693437923,0.847786596466278,12,False
anis,citrus,1418,59969,527,60860,0.008659217877094972,0.8176193101743846,13,False
anis,green,1418,29755,254,30919,0.0082150134221676,0.7942205017516109,14,False
anis,amber,1418,45478,381,46515,0.00819090615930345,0.7794548252875846,15,False
anis,patchouli,1418,14822,125,16115,0.007756748371082842,0.7846401653167184,16,False
anis,balsamic,1418,18162,130,19450,0.006683804627249357,0.6659582640423619,17,False
anis,earthy,1418,19049,131,20336,0.006441778127458694,0.6398327200262466,18,False
anis,white floral,1418,39497,232,40683,0.005702627633163729,0.5465013089673162,19,False
anis,fresh,1418,33478,187,34709,0.005387651617736034,0.5196960705348379,20,False
anis,rose,1418,25617,131,26904,0.0048691644365150165,0.47578457601514507,21,False
anis,fruity,1418,43222,211,44429,0.004749150329739584,0.4541976970799035,22,False
aquatic,ozonic,8872,5777,3560,11089,0.32103886734601855,9.163674613408197,1,True
aquatic,marine,8872,4326,1610,11588,0.13893683120469452,5.534283342233739,2,True
aquatic,fresh,8872,33478,4963,37387,0.1327466766523123,2.2044832303366957,3,True
aquatic,salty,8872,2520,1036,10356,0.10003862495171881,6.113377918044284,4,True
aquatic,fruity,8872,43222,4148,47946,0.08651399491094147,1.427104968043234,5,True
aquatic,green,8872,29755,3071,35556,0.08637079536505794,1.5347650158894572,6,True
aquatic,floral,8872,46586,4020,51438,0.07815233873789805,1.2831950039209217,7,True
aquatic,citrus,8872,59969,3806,65035,0.05852233412777735,0.9437653021840063,8,True
aquatic,aromatic,8872,54606,3469,60009,0.057807995467346565,0.9446827047976145,9,True
aquatic,musky,8872,41154,2514,47512,0.05291294830779592,0.9083960757397066,10,True
aquatic,sweet,8872,60625,3391,66106,0.051296402747103134,0.8317600699060174,11,False
aquatic,white floral,8872,39497,2269,46100,0.04921908893709327,0.8542646103425051,12,False
aquatic,woody,8872,81432,4056,86248,0.04702717744179575,0.7406702044228862,13,False
aquatic,fresh spicy,8872,47271,2430,53713,0.04524044458510975,0.7644225907754911,14,False
aquatic,powdery,8872,62885,2944,68813,0.042782613750308805,0.6961659370343607,15,False
aquatic,tropical,8872,6512,615,14769,0.041641275644931953,1.4043739116298855,16,False
aquatic,rose,8872,25617,1294,33195,0.03898177436360898,0.7511523622250821,17,False
aquatic,amber,8872,45478,1457,52893,0.027546178133212335,0.4764092922821887,18,False
aquatic,animalic,8872,18242,716,26398,0.027123266914160164,0.583663587501924,19,False
aquatic,lactonic,8872,7015,403,15484,0.026026866442779642,0.8542783498197537,20,False
aquatic,violet,8872,7614,402,16084,0.024993782641134048,0.7851184981962182,21,False
aquatic,soft spicy,8872,13661,540,21993,0.024553266948574546,0.5878050295414886,22,False
aquatic,earthy,8872,19049,662,27259,0.024285557063722072,0.5167825456639966,23,False
aquatic,herbal,8872,8607,403,17076,0.023600374795033966,0.6962661350047139,24,False
aquatic,vanilla,8872,34562,956,42478,0.0225057676915109,0.4113211635873567,25,False
aquatic,mossy,8872,6173,312,14733,0.02117694970474445,0.7515888806909055,26,False
aquatic,yellow floral,8872,6986,328,15530,0.02112041210560206,0.69817981964186,27,False
aquatic,lavender,8872,8336,349,16859,0.020701109199833916,0.6225722376594224,28,False
aquatic,warm spicy,8872,45319,969,53222,0.01820675660441171,0.3179548749809262,29,False
aquatic,iris,8872,7451,289,16034,0.018024198578021705,0.5767735136162816,30,False
aquatic,patchouli,8872,14822,361,23333,0.015471649594994214,0.3621782969750203,31,False
aquatic,aldehydic,8872,3556,185,12243,0.015110675488033978,0.7736276892913183,32,False
aquatic,mineral,8872,770,136,9506,0.014306753629286767,2.6264565011183585,33,False
aquatic,coconut,8872,3269,168,11973,0.014031571034828364,0.7642164652454224,34,False
aquatic,leather,8872,10809,255,19426,0.013126737362297951,0.35081381936253403,35,False
aquatic,tuberose,8872,3931,140,12663,0.01105583195135434,0.5295988350901564,36,False
aquatic,sour,8872,1912,113,10671,0.010589448036735076,0.8788456042422025,37,False
aquatic,balsamic,8872,18162,280,26754,0.010465724751439037,0.22925371883486453,38,False
aquatic,honey,8872,3467,111,12228,0.009077526987242394,0.47609230974097394,39,False
aquatic,smoky,8872,7407,141,16138,0.008737142148965175,0.28307322795449874,40,False
aquatic,caramel,8872,4008,103,12777,0.008061360256711277,0.38214795611662156,41,False
aquatic,oud,8872,8298,113,17057,0.006624846104238729,0.20250093942047373,42,False
aromatic,fresh spicy,54606,47271,33821,68056,0.4969583872105325,1.7286013680561934,1,True
aromatic,woody,54606,81432,39909,96129,0.4151608775707643,1.184074264976231,2,True
aromatic,citrus,54606,59969,31607,82968,0.3809541027866165,1.2733848166838488,3,True
aromatic,warm spicy,54606,45319,21373,78552,0.2720872797637234,1.1394318769826797,4,True
aromatic,green,54606,29755,17440,66921,0.2606057889152882,1.4160863080920412,5,True
aromatic,amber,54606,45478,18869,81215,0.2323339284614911,1.0024223124059577,6,True
aromatic,powdery,54606,62885,20183,97308,0.20741357339581534,0.7754286672513607,7,True
aromatic,earthy,54606,19049,11309,62346,0.18139094729413274,1.4343502714996137,8,True
aromatic,musky,54606,41154,13604,82156,0.16558741905642924,0.7986523386249634,9,True
aromatic,sweet,54606,60625,16357,98874,0.16543277302425308,0.6518611519220538,10,True
aromatic,fresh,54606,33478,12497,75587,0.165332663024065,0.9018814667822587,11,False
aromatic,floral,54606,46586,13681,87511,0.15633463221766405,0.7095215950844657,12,False
aromatic,white floral,54606,39497,11952,82151,0.14548818638847974,0.7311048621894446,13,False
aromatic,herbal,54606,8607,7565,55648,0.13594378953421507,2.123539418629234,14,False
aromatic,lavender,54606,8336,7453,55489,0.13431490926129502,2.160113708124992,15,False
aromatic,fruity,54606,43222,11272,86556,0.13022782938213412,0.6300852582407455,16,False
aromatic,vanilla,54606,34562,9484,79684,0.1190201295115707,0.6629730538673471,17,False
aromatic,balsamic,54606,18162,7574,65194,0.11617633524557475,1.0075458699456825,18,False
aromatic,rose,54606,25617,7104,73119,0.09715668977967423,0.6700047508299476,19,False
aromatic,soft spicy,54606,13661,5767,62500,0.092272,1.0199306846895493,20,False
aromatic,patchouli,54606,14822,5302,64126,0.08268097183669651,0.8642434806329127,21,False
aromatic,leather,54606,10809,4309,61106,0.07051680686021013,0.9631505454763204,22,False
aromatic,marine,54606,4326,3627,55305,0.06558177379983726,2.0256492062188225,23,False
aromatic,animalic,54606,18242,4277,68571,0.06237330649983229,0.5664609763336654,24,False
aromatic,mossy,54606,6173,3424,57355,0.059698369802109665,1.3401107059624318,25,False
aromatic,aquatic,54606,8872,3469,60009,0.057807995467346565,0.9446827047976145,26,False
aromatic,smoky,54606,7407,2870,59143,0.04852645283465499,0.9361441975232163,27,False
aromatic,oud,54606,8298,2410,60494,0.03983866168545641,0.701692459844707,28,False
aromatic,ozonic,54606,5777,2273,58110,0.03911547065909482,0.9506053756067883,29,False
aromatic,iris,54606,7451,2231,59826,0.03729147862133521,0.7234161576199115,30,False
aromatic,salty,54606,2520,1804,55322,0.032609088608510174,1.7295741673831995,31,False
aromatic,violet,54606,7614,1845,60375,0.030559006211180125,0.5854458013386071,32,False
aromatic,yellow floral,54606,6986,1781,59811,0.029777131296918627,0.6159401803381775,33,False
aromatic,conifer,54606,1828,1622,54812,0.029592060132817632,2.1437683565844394,34,False
aromatic,cinnamon,54606,4259,1684,57181,0.029450341896783895,0.9552953082061693,35,False
aromatic,tobacco,54606,4372,1600,57378,0.02788525218724947,0.8841847641219497,36,False
aromatic,aldehydic,54606,3556,1387,56775,0.0244297666226332,0.9423623064862195,37,False
aromatic,tropical,54606,6512,971,60147,0.016143781069712537,0.360253356387023,38,False
aromatic,lactonic,54606,7015,884,60737,0.014554554884172744,0.30445827844326345,39,False
aromatic,bitter,54606,1034,732,54908,0.013331390689881257,1.7103844519817046,40,False
aromatic,camphor,54606,793,705,54694,0.012889896515157056,2.1479250717705867,41,False
aromatic,anis,54606,1418,705,55319,0.012744265080713678,1.2012021029013225,42,False
aromatic,honey,54606,3467,710,57363,0.012377316388612869,0.49477495132791793,43,False
aromatic,tuberose,54606,3931,666,57871,0.011508354789099895,0.40933076114563965,44,False
aromatic,caramel,54606,4008,588,58026,0.010133388481025747,0.35444822913232976,45,False
aromatic,coffee,54606,1815,544,55877,0.009735669416754657,0.7241448860451767,46,False
aromatic,metallic,54606,2235,540,56301,0.009591303884478073,0.5837399680984979,47,False
aromatic,coconut,54606,3269,511,57364,0.008908025939613696,0.377667120688042,48,False
aromatic,nutty,54606,3619,495,57730,0.008574398059934176,0.33046069622597335,49,False
aromatic,almond,54606,3438,466,57578,0.008093368995102296,0.3274788389967609,50,False
aromatic,soapy,54606,1720,385,55941,0.006882250942957759,0.5407985024220014,51,False
aromatic,cacao,54606,2035,383,56258,0.00680792065128515,0.4547131962800571,52,False
aromatic,mineral,54606,770,357,55019,0.006488667551209582,1.1201616206011327,53,False
aromatic,cannabis,54606,388,350,54644,0.006405094795402972,2.1794128963585817,54,False
aromatic,rum,54606,1166,294,55478,0.005299397959551534,0.6091888946665428,55,False
aromatic,sour,54606,1912,283,56235,0.005032453098604072,0.3576034872560635,56,False
aromatic,whiskey,54606,808,241,55173,0.00436807858916499,0.7206242613603191,57,False
aromatic,chocolate,54606,1554,216,55944,0.003861003861003861,0.3358195183269351,58,False
aromatic,cherry,54606,1803,194,56215,0.0034510362003024103,0.2599615997697538,59,False
aromatic,terpenic,54606,557,121,55042,0.0021983212819301624,0.5248477899884211,60,False
aromatic,sand,54606,215,109,54712,0.0019922503289954673,1.224873491199962,61,False
aromatic,beeswax,54606,349,107,54848,0.0019508459743290548,0.7407327532150869,62,False
balsamic,warm spicy,18162,45319,11541,51940,0.22219869079707355,1.8498776864337236,1,True
balsamic,amber,18162,45478,10949,52691,0.20779639786680837,1.7488517242138626,2,True
balsamic,vanilla,18162,34562,7046,45678,0.15425368886553703,1.4808929447929562,3,True
balsamic,woody,18162,81432,13087,86507,0.15128255516894587,1.1674139864274438,4,True
balsamic,smoky,18162,7407,3184,22385,0.1422381058744695,3.1225586584665526,5,True
balsamic,patchouli,18162,14822,3826,29158,0.13121613279374442,1.8750724283261766,6,True
balsamic,powdery,18162,62885,8928,72119,0.1237953937242613,1.0313047248375182,7,True
balsamic,aromatic,18162,54606,7574,65194,0.11617633524557475,1.0075458699456825,8,True
balsamic,sweet,18162,60625,8061,70726,0.11397505867714844,0.965866405103212,9,True
balsamic,earthy,18162,19049,3132,34079,0.09190410516740515,1.1943440839884996,10,True
balsamic,fresh spicy,18162,47271,5217,60216,0.08663810282981267,0.8016890247648607,11,False
balsamic,soft spicy,18162,13661,2407,29416,0.08182621702474843,1.2798924878333326,12,False
balsamic,animalic,18162,18242,2430,33974,0.07152528404073703,0.9676397783396423,13,False
