query_id,query_text,raw_response,parsed_prediction,api_status,parse_status,validation_status,attempts,latency_seconds,attempt_latencies,prompt_tokens,completion_tokens,total_tokens,first_attempt_success,final_error_type,attempt_log,model_name,prompt_version,run_timestamp
UQ0011,나무 냄새 나는데 너무 절 냄새만 나면 안됨,"{
  ""scent_preference"": [
    ""woody""
  ],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [
    ""too strong only religious/temple-like scent""
  ],
  ""additional_requirements"": [
    ""나무 냄새가 나야 함"",
    ""절(사찰) 냄새처럼 너무 한쪽으로만 강하게 나면 안 됨""
  ]
}","{""scent_preference"":[""woody""],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[""too strong only religious/temple-like scent""],""additional_requirements"":[""나무 냄새가 나야 함"",""절(사찰) 냄새처럼 너무 한쪽으로만 강하게 나면 안 됨""]}",success,success,success,1,3.696669999975711,[3.6952835000120103],638.0,126.0,764.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":3.6952835000120103,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0012,깨끗한 냄새 없나?,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""깨끗한 냄새""]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""깨끗한 냄새""]}",success,success,success,1,2.189292299794033,[2.188006900018081],631.0,75.0,706.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":2.188006900018081,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0013,코코넛 향기 나는데 머리 너무 안 아팠으면 좋겠음,"{
  ""scent_preference"": [
    ""Coconut""
  ],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""머리 안 아프게(두통이 없었으면 좋겠음)""
  ]
}","{""scent_preference"":[""Coconut""],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""머리 안 아프게(두통이 없었으면 좋겠음)""]}",success,success,success,1,3.4710242999717593,[3.469651599880308],640.0,95.0,735.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":3.469651599880308,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0014,나 향수를 잘 모르는데 혹시 추천해줄 수 있어?,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""향수를 잘 모름"",
    ""추천 요청""
  ]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""향수를 잘 모름"",""추천 요청""]}",success,success,success,1,3.1591604000423104,[3.1581421000882983],635.0,82.0,717.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":3.1581421000882983,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0015,여름에 뿌릴 향수 추천 좀.,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [
      ""summer""
    ],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""여름에 뿌릴 향수 추천 요청""
  ]
}","{""scent_preference"":[],""context"":{""season"":[""summer""],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""여름에 뿌릴 향수 추천 요청""]}",success,success,success,1,2.0089732001069933,[2.0077668000012636],633.0,89.0,722.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":2.0077668000012636,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0016,여름에 뿌릴 향수 가지고 싶은데 향기 너무 많이 나면 코 아파서... 안 그런거 추천 가능한가?,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [
      ""summer""
    ],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""여름에 사용할 향수"",
    ""향기가 너무 많이 나면 코가 아픔"",
    ""그렇지 않은 향수 추천 가능 여부""
  ]
}","{""scent_preference"":[],""context"":{""season"":[""summer""],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""여름에 사용할 향수"",""향기가 너무 많이 나면 코가 아픔"",""그렇지 않은 향수 추천 가능 여부""]}",success,success,success,1,2.0663654999807477,[2.065146900014952],651.0,110.0,761.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":2.065146900014952,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0017,어른스러운 느낌 나는 향수 가지고 싶다. 나는 34살 금융맨임.,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""어른스러운 느낌"",
    ""34살"",
    ""금융맨""
  ]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""어른스러운 느낌"",""34살"",""금융맨""]}",success,success,success,1,1.720152199966833,[1.7186842001974583],641.0,88.0,729.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":1.7186842001974583,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0018,여자친구가 생겼는데 여친한테 점수 딸만한 향기 없나...?,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""여자친구에게 점수 딸만한 향기(호감 목적)""]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""여자친구에게 점수 딸만한 향기(호감 목적)""]}",success,success,success,1,1.755959999980405,[1.754737500101328],644.0,86.0,730.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":1.754737500101328,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0019,옷에 향수 뿌리고 싶어. 아무거나 추천 해줘.,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""옷에 향수 뿌리고 싶음"",
    ""아무거나 추천해달라는 요청""
  ]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""옷에 향수 뿌리고 싶음"",""아무거나 추천해달라는 요청""]}",success,success,success,1,2.1795272000599653,[2.1783040000591427],639.0,94.0,733.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":2.1783040000591427,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0020,향수 분사 적당히 되는 거 없나? 입자가 너무 작은 건 싫은데.,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""향수 분사량이 적당한 것"",
    ""입자가 너무 작은 건 싫음""
  ]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""향수 분사량이 적당한 것"",""입자가 너무 작은 건 싫음""]}",success,success,success,1,1.6511122998781502,[1.6497865999117494],643.0,93.0,736.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":1.6497865999117494,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0021,"나는 이솝 테싯 퍼퓸을 자주 쓰는데, 이게 내 체향에 잘 맞는 거 같더라고. 비슷한데 다른 향 없나?","{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""Aesop Tetsit perfume를 자주 사용하며 체향에 잘 맞는 것 같음"",
    ""비슷한데 다른 향(대체/유사 향수) 추천 요청""
  ]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""Aesop Tetsit perfume를 자주 사용하며 체향에 잘 맞는 것 같음"",""비슷한데 다른 향(대체/유사 향수) 추천 요청""]}",success,success,success,1,1.964954299852252,[1.9642672999761999],660.0,113.0,773.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":1.9642672999761999,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0022,나 조말론 블랙베리는 별로더라... 이런 나한테 추천해줄 만한 향수 없나,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [
    ""Blackberry (Jo Malone BlackBerry 계열)""
  ],
  ""additional_requirements"": [
    ""Jo Malone Blackberry가 별로였던 사람에게 맞는 향수 추천""
  ]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[""Blackberry (Jo Malone BlackBerry 계열)""],""additional_requirements"":[""Jo Malone Blackberry가 별로였던 사람에게 맞는 향수 추천""]}",success,success,success,1,1.836814400041476,[1.8355568000115454],647.0,101.0,748.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":1.8355568000115454,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0023,남자가 뿌릴 깔끔한 향수 추천 좀.,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": [""male""]
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""깔끔한 향수""]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[""male""]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""깔끔한 향수""]}",success,success,success,1,1.9194018000271171,[1.9182986998930573],636.0,75.0,711.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":1.9182986998930573,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0024,나 25살 여잔데 이번에 회사 취직해서 나한테 선물할 겸 하나 사고 싶음! 어떤 게 좋을까???,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": [""female""]
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""25살"", ""회사 취직 선물"", ""본인에게 선물로 구매""]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[""female""]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""25살"",""회사 취직 선물"",""본인에게 선물로 구매""]}",success,success,success,1,1.822732999920845,[1.8215330999810249],653.0,88.0,741.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":1.8215330999810249,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0025,소개팅할 때 부담스럽지 않으면서 좋은 인상을 줄 수 있는 향수 추천해줘.,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""소개팅"",
    ""부담스럽지 않게"",
    ""좋은 인상""
  ]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""소개팅"",""부담스럽지 않게"",""좋은 인상""]}",success,success,success,1,2.1810704998206347,[2.179814200149849],643.0,90.0,733.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":2.179814200149849,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0026,조용하고 차분한 사람에게 잘 어울릴 것 같은 향수를 추천해줘.,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""조용하고 차분한 사람에게 잘 어울리는 향""
  ]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""조용하고 차분한 사람에게 잘 어울리는 향""]}",success,success,success,1,2.2645856000017375,[2.263362199999392],641.0,85.0,726.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":2.263362199999392,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0027,지나갈 때 은은하게 좋은 냄새가 나는 정도의 향수를 찾고 있어.,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": ""LOW"",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""지나갈 때 은은하게 좋은 냄새가 나는 정도""]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":""LOW"",""longevity"":""""},""avoid"":[],""additional_requirements"":[""지나갈 때 은은하게 좋은 냄새가 나는 정도""]}",success,success,success,1,2.3455048000905663,[2.34423470008187],642.0,84.0,726.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":2.34423470008187,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0028,회사에서 매일 사용해도 부담 없는 깔끔한 향수 추천해줘.,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [""day""],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [""회사에서 매일 사용하기"", ""부담 없는 깔끔한 향""]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[""day""],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""회사에서 매일 사용하기"",""부담 없는 깔끔한 향""]}",success,success,success,1,1.7121103999670595,[1.7108834001701325],640.0,86.0,726.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":1.7108834001701325,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0029,처음 향수를 사는 사람도 무난하게 사용할 수 있는 향수를 추천해줘.,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": """",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""처음 향수를 사는 사람도 무난하게 사용할 수 있는 향수""
  ]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":"""",""longevity"":""""},""avoid"":[],""additional_requirements"":[""처음 향수를 사는 사람도 무난하게 사용할 수 있는 향수""]}",success,success,success,1,1.7508205999620259,[1.7499627999495715],641.0,88.0,729.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":1.7499627999495715,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
UQ0030,사람 많은 곳에서도 너무 강하게 느껴지지 않는 은은한 향수를 추천해줘.,"{
  ""scent_preference"": [],
  ""context"": {
    ""season"": [],
    ""daypart"": [],
    ""gender"": []
  },
  ""performance"": {
    ""intensity"": ""LOW"",
    ""longevity"": """"
  },
  ""avoid"": [],
  ""additional_requirements"": [
    ""사람 많은 곳에서도 너무 강하게 느껴지지 않는 향""
  ]
}","{""scent_preference"":[],""context"":{""season"":[],""daypart"":[],""gender"":[]},""performance"":{""intensity"":""LOW"",""longevity"":""""},""avoid"":[],""additional_requirements"":[""사람 많은 곳에서도 너무 강하게 느껴지지 않는 향""]}",success,success,success,1,1.7916574999690056,[1.7903638000134379],643.0,88.0,731.0,True,,"[{""attempt"":1,""http_status"":200,""latency_seconds"":1.7903638000134379,""status"":""success"",""error_type"":"""",""error_message"":""""}]",gpt-5.4-nano,stage1_llm_v1,2026-09-01T00:32:31+09:00
