source,row,sentence,v1_response,v2_response,ok,latency_seconds
합성,147,달콤하고 과즙 많은 과일 향이 진했으면 좋겠어. 열대 과일 느낌이 풍성하면서 답답하지 않고 산뜻하면 좋아.,"{""scent_preference"": [""Vanilla"", ""fruit"", ""citrus""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": ""HIGH"", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""달콤한 과일 향"", ""과즙 많은 과일 향"", ""열대 과일 느낌"", ""풍성하면서 답답하지 않게"", ""산뜻한 느낌""]}","{""scent_preference"": [""sweet"", ""fruity"", ""tropical fruits"", ""juicy fruits""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""진했으면 좋겠어"", ""풍성하면서 답답하지 않고 산뜻했으면 좋겠어""]}",True,1.466
합성,154,처음에는 밝은 감귤 향이 나다가 뒤로 갈수록 가죽과 연기 냄새가 느껴졌으면 좋겠어. 너무 무겁지는 않았으면 해.,"{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""앞부분은 밝은 감귤 향"", ""뒤로 갈수록 가죽과 연기 냄새"", ""너무 무겁지 않게""]}","{""scent_preference"": [""citrus"", ""leather"", ""smoke""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""처음에는 밝은 감귤 향"", ""뒤로 갈수록 가죽과 연기 냄새"", ""너무 무겁지 않았으면 좋겠어""]}",True,1.403
합성,155,상큼한 과일 향이 중심이지만 가볍기만 하지는 않았으면 좋겠어. 은은한 가죽과 그을린 나무 향이 받쳐주면 좋아.,"{""scent_preference"": [""citrus"", ""fruit"", ""leather"", ""woody""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""상큼한 과일 향이 중심이지만 가볍기만 하지는 않았으면 좋겠어"", ""은은한 가죽과 그을린 나무 향이 받쳐주면 좋아""]}","{""scent_preference"": [""citrus"", ""fruity"", ""leather"", ""woody""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""상큼한 과일 향이 중심이지만 가볍기만 하지는 않았으면 좋겠어"", ""은은한 가죽과 그을린 나무 향이 받쳐주면 좋아""]}",True,1.944
합성,157,해변의 나무 데크를 걷는 듯한 향을 찾고 있어. 시원한 소금기와 꽃 향이 나고 너무 무겁지 않으면 좋겠어.,"{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""해변의 나무 데크를 걷는 듯한 향"", ""시원한 소금기"", ""꽃 향"", ""너무 무겁지 않음""]}","{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""해변의 나무 데크를 걷는 듯한 향"", ""시원한 소금기"", ""꽃 향"", ""너무 무겁지 않으면 좋겠어""]}",True,1.241
합성,185,차분한 나무 향인데 답답하지 않았으면 좋겠어. 상큼한 과일과 바다 공기 같은 시원함도 함께 느껴지면 해.,"{""scent_preference"": [""woody"", ""citrus"", ""fruity"", ""ocean""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""답답함""], ""additional_requirements"": [""차분한 나무 향"", ""답답하지 않게"", ""상큼한 과일"", ""바다 공기 같은 시원함""]}","{""scent_preference"": [""woody"", ""citrus"", ""fruity""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""답답한 느낌""], ""additional_requirements"": [""차분한 나무 향"", ""답답하지 않으면 좋겠어"", ""상큼한 과일"", ""바다 공기 같은 시원함""]}",True,1.319
합성,187,산뜻한 감귤과 차분한 숲 향이 같이 나는 향을 찾고 있어. 너무 가볍지 않게 은은한 매콤함도 원해.,"{""scent_preference"": [""citrus"", ""woody""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""산뜻한 감귤과 차분한 숲 향이 같이 나는 향"", ""너무 가볍지 않게 은은한 매콤함도 원함""]}","{""scent_preference"": [""citrus"", ""woody""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""산뜻한 감귤"", ""차분한 숲 향"", ""너무 가볍지 않게"", ""은은한 매콤함""]}",True,1.398
합성,200,여러 꽃이 섞인 향이 중심인데 무겁지 않았으면 좋겠어. 상큼한 과일 향과 깨끗한 느낌도 함께 있으면 해.,"{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""여러 꽃이 섞인 향이 중심"", ""무겁지 않았으면 좋겠음"", ""상큼한 과일 향"", ""깨끗한 느낌""]}","{""scent_preference"": [""floral"", ""fruity"", ""clean""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""heavy""], ""additional_requirements"": []}",True,1.373
합성,226,달달하고 포근한 향을 찾고 있어. 부드러운 꽃 향과 화장품 분 같은 느낌이 나고 너무 가볍지는 않았으면 해.,"{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""달달한 향"", ""포근한 느낌"", ""부드러운 꽃 향"", ""화장품 분 같은 느낌"", ""너무 가볍지는 않았으면 함""]}","{""scent_preference"": [""Vanilla"", ""Rose""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""달달하고 포근한 향"", ""부드러운 꽃 향"", ""화장품 분 같은 느낌"", ""너무 가볍지는 않았으면""]}",True,1.223
합성,244,달달한 과일 칵테일 같은 향을 찾고 있어. 새콤한 감귤과 열대 과일 느낌이 나고 답답하지 않게 산뜻하면 좋겠어.,"{""scent_preference"": [""citrus"", ""tropical fruit"", ""sweet fruity""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""달달한 과일 칵테일 같은 향"", ""새콤한 감귤 느낌"", ""열대 과일 느낌"", ""답답하지 않게 산뜻하면 좋겠어""]}","{""scent_preference"": [""citrus"", ""tropical fruits""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""sweet fruity cocktail-like scent"", ""tangy citrus (mandarin/citrus) feel"", ""fresh and not stuffy""]}",True,1.331
합성,248,잘 익은 과일과 화사한 꽃을 함께 떠올리게 하는 향이면 좋겠어. 상큼함도 조금 있어서 답답하지 않았으면 해.,"{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""잘 익은 과일"", ""화사한 꽃"", ""상큼함이 조금 있음"", ""답답하지 않았으면 함""]}","{""scent_preference"": [""citrus"", ""fruity"", ""floral""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""답답한 느낌""], ""additional_requirements"": [""잘 익은 과일과 화사한 꽃을 함께 떠올리게 하는 향"", ""상큼함이 조금 있어야 함""]}",True,1.429
합성,292,레몬 같은 밝은 향과 숲의 나무 향이 같이 나는 향을 찾고 있어. 무겁지 않고 깔끔했으면 좋겠어.,"{""scent_preference"": [""citrus"", ""woody""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""레몬 같은 밝은 향"", ""숲의 나무 향"", ""무겁지 않게"", ""깔끔했으면 좋겠어""]}","{""scent_preference"": [""citrus"", ""woody""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""레몬 같은 밝은 향"", ""무겁지 않고 깔끔""]}",True,1.234
합성,295,싱그러운 풀향이 중심인데 과일의 달콤함도 있었으면 좋겠어. 너무 무겁지 않고 바다 근처 같은 청량함을 원해.,"{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""싱그러운 풀향 중심"", ""과일의 달콤함이 있었으면 좋겠음"", ""너무 무겁지 않음"", ""바다 근처 같은 청량함""]}","{""scent_preference"": [""Fresh greens"", ""fruity sweetness""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""too heavy"", ""sea-near-like crispness""]}",True,1.018
합성,302,요즘 향수처럼 가볍기보다 옛날 영화 같은 고전적인 향을 원해. 어둡고 몽환적이면서 살짝 달콤했으면 좋겠어.,"{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""옛날 영화 같은 고전적인 향"", ""어둡고 몽환적"", ""살짝 달콤함"", ""가볍지 않게""]}","{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""고전적인 향"", ""옛날 영화 같은 분위기"", ""어둡고 몽환적"", ""살짝 달콤함"", ""요즘 향수처럼 가볍지는 않게""]}",True,1.439
합성,319,나이 상관없이 편하게 쓸 여름 향이면 좋겠어. 갓 씻은 듯 깔끔하고 무겁거나 달지 않았으면 해.,"{""scent_preference"": [], ""context"": {""season"": [""summer""], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""무겁거나"", ""달지 않았으면""], ""additional_requirements"": [""나이 상관없이 편하게 쓸 여름 향"", ""갓 씻은 듯 깔끔함""]}","{""scent_preference"": [], ""context"": {""season"": [""summer""], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""무겁게 느껴지는 향"", ""달콤한 향""], ""additional_requirements"": [""갓 씻은 듯 깔끔한 느낌"", ""나이 상관없이 편하게 쓸 수 있는 여름 향""]}",True,1.581
합성,322,기분 전환되는 상쾌한 향이면 좋겠어. 갓 자른 레몬처럼 생생하지만 너무 가볍지 않고 차분했으면 해.,"{""scent_preference"": [""citrus""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""기분 전환되는 상쾌한 향"", ""갓 자른 레몬처럼 생생함"", ""너무 가볍지 않음"", ""차분함""]}","{""scent_preference"": [""citrus"", ""lemon""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""기분 전환되는 상쾌한 향"", ""갓 자른 레몬처럼 생생"", ""너무 가볍지 않고 차분했으면 함""]}",True,1.285
합성,369,달콤한 장미 향을 찾고 있는데 너무 무겁지 않았으면 해. 보송한 느낌과 은은한 향신료가 함께 나면 좋겠어.,"{""scent_preference"": [""Rose"", ""Vanilla""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""무겁지 않게""], ""additional_requirements"": [""달콤한 장미 향"", ""보송한 느낌"", ""은은한 향신료""]}","{""scent_preference"": [""Rose"", ""Vanilla""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""달콤한 장미 향"", ""너무 무겁지 않았으면 해"", ""보송한 느낌"", ""은은한 향신료""]}",True,1.439
합성,401,너무 달거나 진하지 않은 우아한 향을 원해. 봄꽃처럼 산뜻하고 깨끗하면서 여성스러운 분위기였으면 좋겠어.,"{""scent_preference"": [], ""context"": {""season"": [""spring""], ""daypart"": [], ""gender"": [""female""]}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""너무 달지 않은"", ""너무 진하지 않은"", ""우아한 향"", ""봄꽃처럼 산뜻"", ""깨끗한 분위기"", ""여성스러운 분위기""]}","{""scent_preference"": [""spring blossoms"", ""clean"", ""feminine""], ""context"": {""season"": [""spring""], ""daypart"": [], ""gender"": [""female""]}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""too sweet"", ""too strong""], ""additional_requirements"": [""elegant"", ""fresh and clean atmosphere""]}",True,1.293
합성,407,답답한 꽃향 말고 바람처럼 가볍고 밝은 향을 원해. 상큼한 자몽에 싱그러운 풀과 꽃 느낌이 있었으면 좋겠어.,"{""scent_preference"": [""citrus"", ""grapefruit"", ""fresh herbs""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""cloying floral""], ""additional_requirements"": [""light and bright like a breeze"", ""not stuffy floral"", ""fresh herbs and flower feeling""]}","{""scent_preference"": [""Citrus"", ""Grapefruit"", ""Mint"", ""Flower""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""Clogging floral""], ""additional_requirements"": [""like wind, light and bright scent"", ""fresh grass and floral feeling""]}",True,1.954
합성,420,여름 낮에 가볍게 뿌릴 건데 시원하고 깨끗한 코코넛 향이 나면서 너무 진하지 않았으면 좋겠어.,"{""scent_preference"": [""Coconut"", ""clean""], ""context"": {""season"": [""summer""], ""daypart"": [""day""], ""gender"": []}, ""performance"": {""intensity"": ""LOW"", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""시원한 느낌"", ""가볍게 뿌릴 것""]}","{""scent_preference"": [""Coconut""], ""context"": {""season"": [""summer""], ""daypart"": [""day""], ""gender"": []}, ""performance"": {""intensity"": ""LOW"", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""시원하고 깨끗한 코코넛 향""]}",True,1.254
합성,421,휴양지 느낌의 산뜻한 코코넛 향을 찾고 있어. 달콤하더라도 끈적하거나 무겁지 않은 향이면 좋겠어.,"{""scent_preference"": [""Coconut""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""끈적"", ""무겁""], ""additional_requirements"": [""휴양지 느낌"", ""산뜻한 코코넛 향"", ""달콤하더라도 끈적하거나 무겁지 않게""]}","{""scent_preference"": [""Coconut""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""sticky"", ""heavy""], ""additional_requirements"": [""vacation/island feeling"", ""fresh"", ""sweet but not sticky"", ""not heavy""]}",True,1.53
합성,424,정장에 잘 어울리는 성숙한 향이면 좋겠어. 달콤한 술기운과 묵직한 분위기가 있고 너무 가볍지 않았으면 해.,"{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""정장에 잘 어울리는"", ""성숙한 느낌"", ""달콤한 술기운"", ""묵직한 분위기"", ""너무 가볍지 않게""]}","{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""정장에 잘 어울리는 성숙한 향"", ""달콤한 술기운"", ""묵직한 분위기"", ""너무 가볍지 않았으면""]}",True,1.35
합성,432,달콤한 바닐라에 잘 익은 자두 향이 섞인 향수를 찾고 있어. 여성스럽고 매혹적이지만 너무 무겁진 않았으면 해.,"{""scent_preference"": [""Vanilla"", ""Plum""], ""context"": {""season"": [], ""daypart"": [], ""gender"": [""female""]}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [""too heavy""], ""additional_requirements"": [""sweet vanilla"", ""ripe plum"", ""feminine and seductive but not too heavy""]}","{""scent_preference"": [""Vanilla"", ""plum""], ""context"": {""season"": [], ""daypart"": [], ""gender"": [""female""]}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""여성스럽고 매혹적이지만 너무 무겁지 않게""]}",True,1.525
합성,437,화사한 과일꽃 향을 좋아하는데 너무 가볍진 않았으면 해. 따뜻하고 부드러우면서 은근히 몽환적이면 좋겠어.,"{""scent_preference"": [""citrus"", ""flower"", ""fruit""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""too light not preferred"", ""warm"", ""soft"", ""subtly dreamy""]}","{""scent_preference"": [""fruity"", ""floral""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""너무 가볍지 않게"", ""따뜻하고 부드러우면서"", ""은근히 몽환적""]}",True,1.33
합성,443,여성스럽고 사랑스러운 과일 향이면 좋겠어. 상큼함과 달콤함이 같이 있고 너무 무겁지 않았으면 해.,"{""scent_preference"": [""fruity"", ""sweet"", ""citrus""], ""context"": {""season"": [], ""daypart"": [], ""gender"": [""female""]}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""여성스럽고 사랑스러운 과일 향"", ""상큼함과 달콤함이 같이 있으면 좋겠음"", ""너무 무겁지 않았으면 함""]}","{""scent_preference"": [""fruity"", ""sweet"", ""citrus""], ""context"": {""season"": [], ""daypart"": [], ""gender"": [""female""]}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""여성스럽고 사랑스러운 과일 향"", ""상큼함과 달콤함이 같이"", ""너무 무겁지 않았으면 함""]}",True,1.438
합성,454,밝은 과일 향으로 시작하지만 너무 가볍지 않았으면 해. 시간이 지나면 그을린 나무 같은 묵직함이 남으면 좋겠어.,"{""scent_preference"": [], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""밝은 과일 향으로 시작"", ""너무 가볍지 않았으면 함"", ""시간이 지나면 그을린 나무 같은 묵직함이 남았으면 함""]}","{""scent_preference"": [""fruit"", ""woody""], ""context"": {""season"": [], ""daypart"": [], ""gender"": []}, ""performance"": {""intensity"": """", ""longevity"": """"}, ""avoid"": [], ""additional_requirements"": [""bright fruit opening but not too light"", ""after some time, a heavy feeling like charred wood remains""]}",True,1.122
