perfume_id,family,batch,C,n_match_all,random_expect_at5
2072,Floral Fruity Gourmand,2,fruity|sweet|woody,15437,0.000324
3247,Floral Green,2,aromatic|woody|rose,4619,0.001082
14694,Floral Woody Musk,2,white floral|musky|floral,6218,0.000804
51499,Leather,2,leather|powdery|woody,2551,0.00196
47550,Oriental,2,citrus|woody|fresh spicy,19995,0.00025
4922,Oriental Floral,2,sweet|rose|soft spicy,1132,0.004417
15291,Oriental Floral,2,woody|fruity|vanilla,5605,0.000892
1475,Oriental Spicy,2,amber|vanilla|warm spicy,7188,0.000696
11238,Oriental Vanilla,2,warm spicy|sweet|vanilla,8147,0.000614
72796,Oriental Woody,2,woody|citrus|animalic,2342,0.002135
101351,Oriental Woody,2,woody|whiskey|warm spicy,435,0.011494
45877,Woody Aquatic,2,woody|citrus|aromatic,22578,0.000221
22477,Woody Aromatic,2,woody|aromatic|sweet,9679,0.000517
44122,Woody Chypre,2,woody|aromatic|lavender,5132,0.000974
1673,Woody Spicy,2,citrus|fresh spicy|woody,19995,0.00025
3166,Aromatic,3,lavender|vanilla|aromatic,1515,0.0033
81839,Aromatic Fougere,3,aromatic|citrus|fresh spicy,22502,0.000222
13737,Aromatic Green,3,aromatic|fresh spicy|woody,24708,0.000202
54516,Chypre,3,citrus|earthy|aromatic,5768,0.000867
64679,Chypre Floral,3,rose|floral|fruity,6051,0.000826
57,Citrus,3,citrus|aromatic|fresh spicy,22502,0.000222
103564,Citrus Gourmand,3,citrus|woody|fresh spicy,19995,0.00025
44281,Floral,3,powdery|musky|iris,2491,0.002007
271,Floral Aquatic,3,aromatic|fruity|floral,3319,0.001506
18272,Floral Fruity,3,fruity|sweet|white floral,10005,0.0005
29105,Floral Fruity Gourmand,3,sweet|fruity|citrus,12544,0.000399
3116,Floral Green,3,citrus|aromatic|fruity,6551,0.000763
1485,Floral Woody Musk,3,floral|rose|musky,5696,0.000878
72554,Leather,3,woody|aromatic|warm spicy,17200,0.000291
2802,Oriental,3,floral|tropical|fresh,1510,0.003311
64950,Oriental Floral,3,powdery|woody|vanilla,11958,0.000418
56993,Oriental Fougere,3,fresh spicy|aromatic|fruity,5553,0.0009
64500,Oriental Spicy,3,amber|warm spicy|floral,3463,0.001444
61811,Oriental Vanilla,3,vanilla|sweet|floral,6597,0.000758
39885,Oriental Woody,3,woody|honey|powdery,556,0.008993
64204,Woody,3,woody|powdery|green,6132,0.000815
80042,Woody Aquatic,3,woody|marine|yellow floral,64,0.078125
25967,Woody Aromatic,3,citrus|amber|woody,11863,0.000421
36599,Woody Floral Musk,3,woody|floral|fresh,7414,0.000674
9558,Woody Spicy,3,woody|musky|oud,1471,0.003399
80467,Aromatic Aquatic,4,woody|aromatic|marine,2212,0.00226
54381,Aromatic Fougere,4,aromatic|lavender|vanilla,1515,0.0033
58907,Aromatic Green,4,citrus|green|white floral,5963,0.000839
66933,Chypre,4,sweet|fruity|white floral,10005,0.0005
28,Chypre Fruity,4,warm spicy|fruity|sweet,6236,0.000802
8700,Citrus Aromatic,4,citrus|fresh spicy|aromatic,22502,0.000222
11560,Floral,4,almond|vanilla|powdery,1461,0.003422
38345,Floral,4,white floral|citrus|sweet,10618,0.000471
19,Floral Aquatic,4,aromatic|woody|citrus,22578,0.000221
53613,Floral Fruity,4,floral|white floral|rose,5450,0.000917
78755,Floral Fruity Gourmand,4,fruity|tropical|sweet,4347,0.00115
1158,Floral Green,4,floral|citrus|fresh,8834,0.000566
56098,Floral Woody Musk,4,fruity|sweet|musky,8979,0.000557
37574,Leather,4,vanilla|citrus|fresh spicy,3850,0.001299
30991,Oriental,4,amber|powdery|woody,14443,0.000346
51393,Oriental Floral,4,amber|vanilla|rum,230,0.021739
1067,Oriental Fougere,4,warm spicy|woody|amber,16712,0.000299
17665,Oriental Spicy,4,woody|warm spicy|fresh spicy,14172,0.000353
68182,Oriental Vanilla,4,vanilla|sweet|woody,11441,0.000437
10131,Oriental Woody,4,musky|amber|woody,9657,0.000518
39123,Woody,4,woody|aromatic|citrus,22578,0.000221
55558,Woody Aromatic,4,fresh spicy|aromatic|woody,24708,0.000202
98848,Woody Aromatic,4,woody|citrus|patchouli,5201,0.000961
3976,Woody Floral Musk,4,woody|powdery|musky,17171,0.000291
49144,Woody Spicy,4,warm spicy|cinnamon|fruity,838,0.005967
