query_id,query_type,query,resolution_status,condition_satisfaction_rate,evidence_coverage_mean,final_score_mean,top10_requested_accord_strength_mean,corpus_requested_accord_strength_mean,corpus_requested_accord_strength_when_present,top10_requested_note_presence_rate,corpus_requested_note_presence_rate,top10_requested_season_share_mean,corpus_requested_season_share_mean,top10_requested_daypart_share_mean,corpus_requested_daypart_share_mean,top10_median_popularity
Q019,ACCORD_ONLY,balsamic 향,RESOLVED,1.0,1.0,1.0,100.0,4.305806010961533,31.277668476104736,,,,,,,99.5
Q020,ACCORD_ONLY,patchouli 향,RESOLVED,1.0,1.0,1.0,100.0,5.673076957464218,50.49582123756409,,,,,,,120.0
Q021,ACCORD_ONLY,soft spicy 향,RESOLVED,1.0,1.0,1.0,100.0,3.716379404067993,35.89063286781311,,,,,,,46.0
Q022,ACCORD_ONLY,leather 향,RESOLVED,1.0,1.0,1.0,100.0,4.871629178524017,59.46100354194641,,,,,,,72.5
Q023,ACCORD_ONLY,aquatic 향,RESOLVED,1.0,1.0,1.0,100.0,3.1672626733779907,47.09840416908264,,,,,,,40.5
Q024,ACCORD_ONLY,herbal 향,RESOLVED,1.0,1.0,1.0,100.0,2.3698780685663223,36.32601499557495,,,,,,,64.5
Q025,ACCORD_ONLY,lavender 향,RESOLVED,1.0,1.0,1.0,100.0,3.529560938477516,55.860722064971924,,,,,,,189.5
Q026,ACCORD_ONLY,oud 향,RESOLVED,1.0,1.0,1.0,100.0,4.059220850467682,64.53760266304016,,,,,,,68.0
Q027,ACCORD_ONLY,violet 향,RESOLVED,1.0,1.0,1.0,100.0,3.0443038791418076,52.74954438209534,,,,,,,91.5
Q028,ACCORD_ONLY,iris 향,RESOLVED,1.0,1.0,1.0,100.0,3.1375352293252945,55.554282665252686,,,,,,,147.5
Q029,ACCORD_ONLY,smoky 향,RESOLVED,1.0,1.0,1.0,100.0,2.6435231789946556,47.08518981933594,,,,,,,62.5
Q030,ACCORD_ONLY,lactonic 향,RESOLVED,1.0,1.0,1.0,100.0,1.8440915271639824,34.681540727615356,,,,,,,332.0
Q031,NOTE_ONLY,Musk 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.3732585608959198,,,,,188.5
Q032,NOTE_ONLY,Amber 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.2779580056667328,,,,,213.0
Q033,NOTE_ONLY,Bergamot 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.27542635798454285,,,,,11346.5
Q034,NOTE_ONLY,Vanilla 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.27005231380462646,,,,,353.0
Q035,NOTE_ONLY,Sandalwood 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.2599257230758667,,,,,2705.5
Q036,NOTE_ONLY,Jasmine 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.2553323805332184,,,,,385.0
Q037,NOTE_ONLY,Patchouli 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.24613811075687408,,,,,342.0
Q038,NOTE_ONLY,Rose 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.2107481211423874,,,,,46.0
Q039,NOTE_ONLY,Cedar 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.16906693577766418,,,,,7865.0
Q040,NOTE_ONLY,Vetiver 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.13396498560905457,,,,,375.5
Q041,NOTE_ONLY,Lemon 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.11130902916193008,,,,,169.5
Q042,NOTE_ONLY,Tonka Bean 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.10754188150167465,,,,,804.0
Q043,NOTE_ONLY,Lavender 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.09850678592920303,,,,,88.0
Q044,NOTE_ONLY,Mandarin Orange 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.08827408403158188,,,,,320.5
Q045,NOTE_ONLY,Orange Blossom 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.08700826019048691,,,,,188.0
Q046,NOTE_ONLY,Leather 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.08054271340370178,,,,,626.5
Q047,NOTE_ONLY,Cardamom 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.08005760610103607,,,,,197.0
Q048,NOTE_ONLY,Pink Pepper 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.07873114198446274,,,,,296.0
Q049,NOTE_ONLY,Violet 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.07519897073507309,,,,,785.0
Q050,NOTE_ONLY,Grapefruit 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.07397104799747467,,,,,174.5
Q051,NOTE_ONLY,Iris 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.07163647562265396,,,,,517.5
Q052,NOTE_ONLY,Oakmoss 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.06622451543807983,,,,,9460.0
Q053,NOTE_ONLY,Geranium 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.0638444647192955,,,,,330.5
Q054,NOTE_ONLY,Saffron 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.06361707299947739,,,,,577.0
Q055,NOTE_ONLY,White Musk 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.06320776045322418,,,,,173.0
Q056,NOTE_ONLY,Woody Notes 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.06274539232254028,,,,,273.5
Q057,NOTE_ONLY,Orange 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.062154173851013184,,,,,234.0
Q058,NOTE_ONLY,Cinnamon 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.060933828353881836,,,,,598.5
Q059,NOTE_ONLY,Peach 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.06003941595554352,,,,,603.5
Q060,NOTE_ONLY,Lily-of-the-Valley 노트가 느껴지는 향,RESOLVED,1.0,1.0,1.0,,,,1.0,0.055627983063459396,,,,,234.0
Q061,SEASON_ONLY,겨울 향,RESOLVED,1.0,1.0,0.745092386007309,,,,,,0.745092386007309,0.21015620231628418,,,503.0
Q062,SEASON_ONLY,봄 향,RESOLVED,1.0,1.0,0.7522434175014496,,,,,,0.7522434175014496,0.2857808768749237,,,433.5
Q063,SEASON_ONLY,여름 향,RESOLVED,1.0,1.0,0.8208111763000489,,,,,,0.8208111763000489,0.23873846232891083,,,247.0
Q064,SEASON_ONLY,가을 향,RESOLVED,1.0,1.0,0.7326783239841461,,,,,,0.7326783239841461,0.2653244733810425,,,408.5
Q065,DAYPART_ONLY,낮에 쓰기 좋은 향,RESOLVED,1.0,1.0,1.0,,,,,,,,1.0,0.6200564503669739,270.5
Q066,DAYPART_ONLY,밤에 쓰기 좋은 향,RESOLVED,1.0,1.0,0.935743099451065,,,,,,,,0.935743099451065,0.3799435496330261,257.5
Q067,ACCORD_SEASON,가을에 어울리는 woody 향,RESOLVED,1.0,1.0,0.8109962642192841,98.70000004768372,40.63166081905365,65.82835912704468,,,0.634992527961731,0.2653244733810425,,,455.0
Q068,ACCORD_DAYPART,밤에 어울리는 woody 향,RESOLVED,1.0,1.0,0.9485269635915756,99.90000009536743,40.63166081905365,65.82835912704468,,,,,0.8980539262294769,0.3799435496330261,351.5
Q069,ACCORD_SEASON_DAYPART,가을 밤에 어울리는 woody 향,RESOLVED,0.4,1.0,0.7592108925183614,99.60000038146973,40.63166081905365,65.82835912704468,,,0.43031426668167116,0.2653244733810425,0.8513184070587159,0.3799435496330261,403.0
Q070,ACCORD_SEASON,겨울에 어울리는 powdery 향,RESOLVED,1.0,1.0,0.7580125391483307,96.29999995231628,23.042969405651093,48.343148827552795,,,0.5530250787734985,0.21015620231628418,,,291.0
Q071,ACCORD_DAYPART,밤에 어울리는 powdery 향,RESOLVED,1.0,1.0,0.8940625965595246,99.59999978542328,23.042969405651093,48.343148827552795,,,,,0.7921251952648163,0.3799435496330261,561.0
Q072,ACCORD_SEASON_DAYPART,겨울 밤에 어울리는 powdery 향,RESOLVED,1.0,1.0,0.7568986773490906,92.39999949932098,23.042969405651093,48.343148827552795,,,0.539586752653122,0.21015620231628418,0.80710928440094,0.3799435496330261,330.5
Q073,ACCORD_SEASON,겨울에 어울리는 sweet 향,RESOLVED,1.0,1.0,0.8130805552005768,98.10000002384186,24.967241287231445,54.332828521728516,,,0.645161110162735,0.21015620231628418,,,282.5
Q074,ACCORD_DAYPART,밤에 어울리는 sweet 향,RESOLVED,1.0,1.0,0.945672070980072,98.89999985694885,24.967241287231445,54.332828521728516,,,,,0.9023441433906555,0.3799435496330261,203.5
Q075,ACCORD_SEASON_DAYPART,겨울 밤에 어울리는 sweet 향,RESOLVED,1.0,1.0,0.8123966465393704,95.99999964237213,24.967241287231445,54.332828521728516,,,0.5638318866491318,0.21015620231628418,0.9133580565452576,0.3799435496330261,202.0
Q076,ACCORD_SEASON,여름에 어울리는 citrus 향,RESOLVED,1.0,1.0,0.8912915766239167,100.0,30.583620071411133,67.28305220603943,,,0.7825831532478332,0.23873846232891083,,,387.5
Q077,ACCORD_DAYPART,낮에 어울리는 citrus 향,RESOLVED,1.0,1.0,0.9970094591379166,100.0,30.583620071411133,67.28305220603943,,,,,0.9940189182758331,0.6200564503669739,444.0
Q078,ACCORD_SEASON_DAYPART,여름 낮에 어울리는 citrus 향,RESOLVED,1.0,1.0,0.8919352809588114,100.0,30.583620071411133,67.28305220603943,,,0.7411977648735046,0.23873846232891083,0.9346080780029297,0.6200564503669739,367.5
Q079,ACCORD_SEASON,여름에 어울리는 aromatic 향,RESOLVED,1.0,1.0,0.8253803461790085,99.80000019073486,23.205624520778656,56.0655951499939,,,0.6527606904506683,0.23873846232891083,,,363.0
Q080,ACCORD_DAYPART,낮에 어울리는 aromatic 향,RESOLVED,1.0,1.0,0.9808116495609284,100.0,23.205624520778656,56.0655951499939,,,,,0.9616232991218567,0.6200564503669739,271.0
Q081,ACCORD_SEASON_DAYPART,여름 낮에 어울리는 aromatic 향,RESOLVED,1.0,1.0,0.8429557601610819,99.80000019073486,23.205624520778656,56.0655951499939,,,0.6179546535015106,0.23873846232891083,0.9129126250743866,0.6200564503669739,836.5
Q082,ACCORD_SEASON,여름에 어울리는 fresh spicy 향,RESOLVED,1.0,1.0,0.7997816950082779,99.20000076293945,18.329334259033203,51.15587115287781,,,0.6075633823871612,0.23873846232891083,,,318.5
Q083,ACCORD_DAYPART,낮에 어울리는 fresh spicy 향,RESOLVED,1.0,1.0,0.9729628711938858,99.90000009536743,18.329334259033203,51.15587115287781,,,,,0.9469257414340972,0.6200564503669739,409.5
Q084,ACCORD_SEASON_DAYPART,여름 낮에 어울리는 fresh spicy 향,RESOLVED,1.0,1.0,0.8280204464991888,98.50000083446503,18.329334259033203,51.15587115287781,,,0.5864927142858505,0.23873846232891083,0.9125686168670655,0.6200564503669739,366.0
Q085,ACCORD_SEASON,여름에 어울리는 floral 향,RESOLVED,1.0,1.0,0.8574510663747787,100.0,19.85517293214798,56.229186058044434,,,0.7149021327495575,0.23873846232891083,,,347.5
Q086,ACCORD_DAYPART,낮에 어울리는 floral 향,RESOLVED,1.0,1.0,0.9942229449748993,100.0,19.85517293214798,56.229186058044434,,,,,0.9884458899497985,0.6200564503669739,295.5
Q087,ACCORD_SEASON_DAYPART,여름 낮에 어울리는 floral 향,RESOLVED,1.0,1.0,0.8612586259841919,98.00000011920929,19.85517293214798,56.229186058044434,,,0.708203011751175,0.23873846232891083,0.8955728650093079,0.6200564503669739,715.0
Q088,ACCORD_SEASON,겨울에 어울리는 amber 향,RESOLVED,1.0,1.0,0.8210463106632233,99.40000057220459,21.034927666187286,61.02154850959778,,,0.6480926156044007,0.21015620231628418,,,168.5
Q089,ACCORD_DAYPART,밤에 어울리는 amber 향,RESOLVED,1.0,1.0,0.9428618311882019,99.60000038146973,21.034927666187286,61.02154850959778,,,,,0.8897236585617065,0.3799435496330261,218.5
Q090,ACCORD_SEASON_DAYPART,겨울 밤에 어울리는 amber 향,RESOLVED,1.0,1.0,0.8032594889402389,99.60000038146973,21.034927666187286,61.02154850959778,,,0.5609372824430465,0.21015620231628418,0.852841180562973,0.3799435496330261,328.0
Q091,ACCORD_SEASON,겨울에 어울리는 warm spicy 향,RESOLVED,1.0,1.0,0.7958570003509522,100.0,19.613711535930634,57.098281383514404,,,0.5917140007019043,0.21015620231628418,,,249.5
Q092,ACCORD_DAYPART,밤에 어울리는 warm spicy 향,RESOLVED,1.0,1.0,0.9458729237318039,100.0,19.613711535930634,57.098281383514404,,,,,0.8917458474636077,0.3799435496330261,404.5
Q093,ACCORD_SEASON_DAYPART,겨울 밤에 어울리는 warm spicy 향,RESOLVED,1.0,1.0,0.8026656170686086,99.49999988079071,19.613711535930634,57.098281383514404,,,0.5334848523139953,0.21015620231628418,0.8795120000839234,0.3799435496330261,227.5
Q094,ACCORD_SEASON,여름에 어울리는 fruity 향,RESOLVED,1.0,1.0,0.8749987035989761,100.0,21.12090438604355,64.4690454006195,,,0.7499974071979523,0.23873846232891083,,,296.5
Q095,ACCORD_DAYPART,낮에 어울리는 fruity 향,RESOLVED,1.0,1.0,0.997602641582489,100.0,21.12090438604355,64.4690454006195,,,,,0.995205283164978,0.6200564503669739,276.5
Q096,ACCORD_SEASON_DAYPART,여름 낮에 어울리는 fruity 향,RESOLVED,1.0,1.0,0.8833984275658926,99.7000002861023,21.12090438604355,64.4690454006195,,,0.7160717368125915,0.23873846232891083,0.9371235430240631,0.6200564503669739,379.5
Q097,ACCORD_SEASON,여름에 어울리는 musky 향,RESOLVED,1.0,1.0,0.7959380447864532,97.09999978542328,16.250118613243103,52.09404230117798,,,0.6208760917186738,0.23873846232891083,,,573.5
Q098,ACCORD_DAYPART,낮에 어울리는 musky 향,RESOLVED,1.0,1.0,0.9713155895471572,99.7000002861023,16.250118613243103,52.09404230117798,,,,,0.9456311762332916,0.6200564503669739,316.5
Q099,ACCORD_SEASON_DAYPART,여름 낮에 어울리는 musky 향,RESOLVED,0.9,1.0,0.8225534180800119,96.49999976158142,16.250118613243103,52.09404230117798,,,0.5964917719364167,0.23873846232891083,0.9061684846878052,0.6200564503669739,366.0
Q100,ACCORD_SEASON,여름에 어울리는 white floral 향,RESOLVED,1.0,1.0,0.877710023522377,99.200000166893,19.872848689556122,66.38035774230957,,,0.763420045375824,0.23873846232891083,,,238.5
Q101,ACCORD_DAYPART,낮에 어울리는 white floral 향,RESOLVED,1.0,1.0,0.9911516398191452,99.80000019073486,19.872848689556122,66.38035774230957,,,,,0.9843032777309417,0.6200564503669739,352.0
Q102,ACCORD_SEASON_DAYPART,여름 낮에 어울리는 white floral 향,RESOLVED,1.0,1.0,0.8660082022349039,100.0,19.872848689556122,66.38035774230957,,,0.7324603259563446,0.23873846232891083,0.8655642807483673,0.6200564503669739,447.5
Q103,ACCORD_SEASON,겨울에 어울리는 vanilla 향,RESOLVED,1.0,1.0,0.7873007863759994,100.0,15.82527756690979,60.408222675323486,,,0.5746015727519989,0.21015620231628418,,,331.0
Q104,ACCORD_DAYPART,밤에 어울리는 vanilla 향,RESOLVED,1.0,1.0,0.9531853139400482,100.0,15.82527756690979,60.408222675323486,,,,,0.9063706278800965,0.3799435496330261,273.0
Q105,ACCORD_SEASON_DAYPART,겨울 밤에 어울리는 vanilla 향,RESOLVED,1.0,1.0,0.8090214123328527,100.0,15.82527756690979,60.408222675323486,,,0.5374617785215378,0.21015620231628418,0.8896024584770202,0.3799435496330261,327.5
Q106,ACCORD_SEASON,여름에 어울리는 fresh 향,RESOLVED,1.0,1.0,0.8353328078985214,99.49999988079071,10.702168196439743,42.17506647109985,,,0.6756656169891357,0.23873846232891083,,,678.0
Q107,ACCORD_DAYPART,낮에 어울리는 fresh 향,RESOLVED,1.0,1.0,0.9783054620027543,100.0,10.702168196439743,42.17506647109985,,,,,0.9566109240055084,0.6200564503669739,374.5
Q108,ACCORD_SEASON_DAYPART,여름 낮에 어울리는 fresh 향,RESOLVED,1.0,1.0,0.8515270173549652,98.99999976158142,10.702168196439743,42.17506647109985,,,0.6430815696716309,0.23873846232891083,0.9214994847774506,0.6200564503669739,492.0
Q109,ACCORD_SEASON,여름에 어울리는 green 향,RESOLVED,1.0,1.0,0.8399067252874375,97.7999997138977,10.979299247264862,48.68085980415344,,,0.7018134534358978,0.23873846232891083,,,246.5
Q110,ACCORD_DAYPART,낮에 어울리는 green 향,RESOLVED,1.0,1.0,0.9927544891834259,99.80000019073486,10.979299247264862,48.68085980415344,,,,,0.9875089764595032,0.6200564503669739,410.0
Q111,ACCORD_SEASON_DAYPART,여름 낮에 어울리는 green 향,RESOLVED,1.0,1.0,0.8549398183822632,99.59999978542328,10.979299247264862,48.68085980415344,,,0.6361102819442749,0.23873846232891083,0.9327091753482819,0.6200564503669739,363.5
Q112,ACCORD_SEASON,봄에 어울리는 rose 향,RESOLVED,1.0,1.0,0.7818252623081208,100.0,11.460015922784805,59.020185470581055,,,0.5636505246162414,0.2857808768749237,,,239.0
Q113,ACCORD_DAYPART,낮에 어울리는 rose 향,RESOLVED,1.0,1.0,0.9682414799928665,99.60000038146973,11.460015922784805,59.020185470581055,,,,,0.9404829561710357,0.6200564503669739,543.5
Q114,ACCORD_SEASON_DAYPART,봄 낮에 어울리는 rose 향,RESOLVED,1.0,1.0,0.8140924632549286,99.60000038146973,11.460015922784805,59.020185470581055,,,0.5190423429012299,0.2857808768749237,0.9272350430488586,0.6200564503669739,426.5
Q115,ACCORD_SEASON,가을에 어울리는 earthy 향,RESOLVED,1.0,1.0,0.787167452275753,100.0,6.199461966753006,42.93637573719025,,,0.574334904551506,0.2653244733810425,,,443.0
Q116,ACCORD_DAYPART,밤에 어울리는 earthy 향,RESOLVED,1.0,1.0,0.8617909967899322,99.80000019073486,6.199461966753006,42.93637573719025,,,,,0.7255819916725159,0.3799435496330261,490.5
Q117,ACCORD_SEASON_DAYPART,가을 밤에 어울리는 earthy 향,RESOLVED,0.6,1.0,0.7138625462849935,99.59999978542328,6.199461966753006,42.93637573719025,,,0.42653481364250184,0.2653244733810425,0.7190528273582458,0.3799435496330261,425.0
Q118,ACCORD_SEASON,겨울에 어울리는 animalic 향,RESOLVED,0.9,1.0,0.7316067978739739,98.89999985694885,4.220760613679886,30.525434017181396,,,0.4742135971784592,0.21015620231628418,,,801.0
Q119,ACCORD_DAYPART,밤에 어울리는 animalic 향,RESOLVED,1.0,1.0,0.8707316815853119,98.89999985694885,4.220760613679886,30.525434017181396,,,,,0.7524633646011353,0.3799435496330261,705.0
Q120,ACCORD_SEASON_DAYPART,겨울 밤에 어울리는 animalic 향,RESOLVED,0.9,1.0,0.7239900221427281,98.89999985694885,4.220760613679886,30.525434017181396,,,0.43384657204151156,0.21015620231628418,0.7491234958171844,0.3799435496330261,933.5
Q121,ACCORD_SEASON,겨울에 어울리는 balsamic 향,RESOLVED,0.7,1.0,0.7096789821982383,99.200000166893,4.305806010961533,31.277668476104736,,,0.42735796272754667,0.21015620231628418,,,509.0
Q122,ACCORD_DAYPART,밤에 어울리는 balsamic 향,RESOLVED,1.0,1.0,0.8064537346363068,92.7999997138977,4.305806010961533,31.277668476104736,,,,,0.6849074721336365,0.3799435496330261,2587.0
Q123,ACCORD_SEASON_DAYPART,겨울 밤에 어울리는 balsamic 향,RESOLVED,0.5,1.0,0.6673895756403605,93.299999833107,4.305806010961533,31.277668476104736,,,0.40319458246231077,0.21015620231628418,0.6659741461277008,0.3799435496330261,3148.0
Q124,ACCORD_SEASON,겨울에 어울리는 patchouli 향,RESOLVED,0.9,1.0,0.7455631136894226,100.0,5.673076957464218,50.49582123756409,,,0.4911262273788452,0.21015620231628418,,,236.5
Q125,ACCORD_DAYPART,밤에 어울리는 patchouli 향,RESOLVED,1.0,1.0,0.873109957575798,99.39999997615814,5.673076957464218,50.49582123756409,,,,,0.7522199153900146,0.3799435496330261,677.5
Q126,ACCORD_SEASON_DAYPART,겨울 밤에 어울리는 patchouli 향,RESOLVED,0.9,1.0,0.7298112094402314,99.49999988079071,5.673076957464218,50.49582123756409,,,0.44976313710212706,0.21015620231628418,0.7446704924106597,0.3799435496330261,677.5
P001,PARTIAL_RESOLUTION,여름에 어울리는 포근한 vanilla 향,PARTIALLY_RESOLVED,1.0,1.0,0.8422151267528534,97.90000021457672,15.82527756690979,60.408222675323486,,,0.7054302513599395,0.23873846232891083,,,680.0
P002,PARTIAL_RESOLUTION,밤에 쓰기 좋은 깨끗한 woody 향,PARTIALLY_RESOLVED,1.0,1.0,0.9485269635915756,99.90000009536743,40.63166081905365,65.82835912704468,,,,,0.8980539262294769,0.3799435496330261,351.5
P003,PARTIAL_RESOLUTION,봄 낮에 어울리는 촉촉한 citrus 향,PARTIALLY_RESOLVED,1.0,1.0,0.8338947544495264,99.60000038146973,30.583620071411133,67.28305220603943,,,0.5679930418729782,0.2857808768749237,0.9376912176609039,0.6200564503669739,351.0
