metric,value
extended_rule_positive_additional_micro_precision,0.0
extended_rule_positive_additional_micro_recall,0.0
extended_rule_positive_additional_micro_f1,0.0
extended_rule_positive_intensity_eligible_count,12.0
extended_rule_positive_intensity_accuracy,0.5833333333333334
extended_rule_positive_longevity_eligible_count,6.0
extended_rule_positive_longevity_accuracy,0.8333333333333334
llm_exact_match_count,31.0
llm_exact_match_rate,0.155
llm_overall_exact_match,0.155
llm_scent_exact_match,0.86
llm_context_exact_match,0.92
llm_performance_exact_match,0.97
llm_avoid_exact_match,0.88
llm_additional_exact_match,0.2
llm_context_season_exact_match,0.98
llm_context_daypart_exact_match,0.965
llm_context_gender_exact_match,0.975
llm_performance_intensity_exact_match,0.975
llm_performance_longevity_exact_match,0.995
llm_scent_micro_precision,0.6304347826086957
llm_scent_micro_recall,0.6304347826086957
llm_scent_micro_f1,0.6304347826086957
llm_season_micro_precision,0.5882352941176471
llm_season_micro_recall,1.0
llm_season_micro_f1,0.7407407407407407
llm_daypart_micro_precision,0.0
llm_daypart_micro_recall,0.0
llm_daypart_micro_f1,0.0
llm_gender_micro_precision,0.9428571428571428
llm_gender_micro_recall,0.9166666666666666
llm_gender_micro_f1,0.9295774647887323
llm_avoid_micro_precision,0.5483870967741935
llm_avoid_micro_recall,0.425
llm_avoid_micro_f1,0.47887323943661964
llm_additional_micro_precision,0.3125
llm_additional_micro_recall,0.33088235294117646
llm_additional_micro_f1,0.32142857142857145
llm_intensity_accuracy,0.975
llm_longevity_accuracy,0.995
llm_positive_scent_eligible_count,39.0
llm_positive_scent_micro_precision,0.8285714285714286
llm_positive_scent_micro_recall,0.6304347826086957
llm_positive_scent_micro_f1,0.7160493827160495
llm_positive_season_eligible_count,10.0
llm_positive_season_micro_precision,1.0
llm_positive_season_micro_recall,1.0
llm_positive_season_micro_f1,1.0
llm_positive_daypart_eligible_count,0.0
llm_positive_gender_eligible_count,36.0
llm_positive_gender_micro_precision,0.9705882352941176
llm_positive_gender_micro_recall,0.9166666666666666
llm_positive_gender_micro_f1,0.9428571428571428
llm_positive_avoid_eligible_count,36.0
llm_positive_avoid_micro_precision,0.5862068965517241
llm_positive_avoid_micro_recall,0.425
llm_positive_avoid_micro_f1,0.4927536231884058
llm_positive_additional_eligible_count,170.0
llm_positive_additional_micro_precision,0.3435114503816794
llm_positive_additional_micro_recall,0.33088235294117646
llm_positive_additional_micro_f1,0.3370786516853933
llm_positive_intensity_eligible_count,12.0
llm_positive_intensity_accuracy,0.75
llm_positive_longevity_eligible_count,6.0
llm_positive_longevity_accuracy,1.0
max_excess_tokens,1.0
min_match_chars,2.0
alias_rows_total,40.0
alias_rows_sensory,5.0
normalizer_divergent_strings,0.0
greedy_suboptimal_queries,0.0
baseline_reproduction_mismatches,0.0
baseline_metrics_checked,174.0
