query_id,query_text,gold_scent,pred_scent,scent_match,gold_context,pred_context,context_match,gold_performance,pred_performance,performance_match,gold_avoid,pred_avoid,avoid_match,gold_additional,pred_additional,additional_match,overall_exact_match,parser_error,error_components,error_type
UQ0023,남자가 뿌릴 깔끔한 향수 추천 좀.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""season"":[],""daypart"":[],""gender"":[]}",False,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""깔끔한""]",[],False,False,,"[""MISSED_GENDER"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0024,나 25살 여잔데 이번에 회사 취직해서 나한테 선물할 겸 하나 사고 싶음! 어떤 게 좋을까???,[],[],True,"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""season"":[],""daypart"":[],""gender"":[]}",False,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""25살"",""회사 취직"",""나한테 선물""]",[],False,False,,"[""MISSED_GENDER"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0025,소개팅할 때 부담스럽지 않으면서 좋은 인상을 줄 수 있는 향수 추천해줘.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""부담""]",[],False,"[""소개팅"",""좋은 인상""]",[],False,False,,"[""MISSED_AVOID"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0026,조용하고 차분한 사람에게 잘 어울릴 것 같은 향수를 추천해줘.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""조용"",""차분한""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0027,지나갈 때 은은하게 좋은 냄새가 나는 정도의 향수를 찾고 있어.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""지나갈 때 은은"",""좋은 냄새""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0028,회사에서 매일 사용해도 부담 없는 깔끔한 향수 추천해줘.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""회사"",""매일 사용"",""부담 없는"",""깔끔한""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0029,처음 향수를 사는 사람도 무난하게 사용할 수 있는 향수를 추천해줘.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""처음 향수를 사는"",""무난하게 사용""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0030,사람 많은 곳에서도 너무 강하게 느껴지지 않는 은은한 향수를 추천해줘.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":""LOW"",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",False,"[""강하게""]",[],False,"[""사람 많은 곳"",""은은한""]",[],False,False,,"[""MISSED_INTENSITY"",""MISSED_AVOID"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0031,특별히 원하는 향은 모르겠는데 사람들이 맡았을 때 그냥 ‘좋은 냄새 난다’고 느낄 만한 향수를 추천해줘.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""좋은 냄새""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0032,향수 냄새가 강하면 머리가 아파서 최대한 부드럽고 편안한 향을 찾고 있어.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""강하면""]",[],False,"[""부드럽"",""편안한 향""]",[],False,False,,"[""MISSED_AVOID"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0033,내가 20대 후반인데 너무 어려 보이지 않으면서 세련된 향수를 찾고 있어.,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""어려 보이지""]",[],False,"["" 20대 후반"",""세련된 향수""]",[],False,False,,"[""MISSED_AVOID"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0034,너무 향수 뿌린 티 안나는 걸로 추천해줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":""LOW"",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",False,[],[],True,"[""향수 뿌린 티 안나는""]",[],False,False,,"[""MISSED_INTENSITY"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0035,나한테 무슨 향이 어울리는지 모르겠음 그냥 골라줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""그냥 골라줘""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0036,면접 갈 때 향수 뿌려도 됨? 뿌린다면 뭐가 좋아,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""면접""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0037,남자친구한테서 났으면 하는 향 찾아줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""남자친구""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0038,향수 하나만 사서 사계절 내내 쓰고 싶은데 가능?,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""사계절""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0039,출근할때 매일 막 뿌릴 수 있는거,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""출근할때"",""매일"",""막 뿌릴""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0040,담배 피우는데 담배냄새랑 섞여도 이상하지 않은 향수 있을까,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""담배냄새랑 섞여도 이상하지 않은""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0041,여자 향수인데 남자가 써도 안 이상한거 추천해줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""season"":[],""daypart"":[],""gender"":[]}",False,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""여자 향수""]",[],False,False,,"[""MISSED_GENDER"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0042,여름에 땀 많이 나는데 땀냄새랑 섞여서 이상해지지 않는거,[],[],True,"{""season"":[""summer""],""daypart"":[],""gender"":[]}","{""season"":[""summer""],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""땀냄새랑 섞여서 이상해지지 않는""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0043,향수 입문자한테 괜찮은 향수 추천해줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""향수 입문자"",""괜찮은 향수""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0044,면세점에서 사기 좋은 향수 추천해줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""면세점에서 사기 좋은""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0045,헬스장에서 반응 좋은 향수 추천해줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""헬스장"",""반응 좋은""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0046,오늘 뿌리기 좋은 향수 추천해줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""오늘"",""뿌리기 좋은""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0047,남자가 쓰기 좋은 엄청 섹시한 느낌의 향수 추천해줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""season"":[],""daypart"":[],""gender"":[]}",False,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""엄청 섹시한 느낌""]",[],False,False,,"[""MISSED_GENDER"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0048,비누향이나 섬유유연제 향이 강하게 나는 향수 추천해줘,"[""Soap""]",[],False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":""HIGH"",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",False,[],[],True,"[""섬유유연제 향""]",[],False,False,,"[""MISSED_SCENT"",""MISSED_INTENSITY"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0049,나한테 맞는 향수 추천해줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""나한테 맞는""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0050,향수 입문자에게 괜찮은 향수 추천해줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""향수 입문자"",""괜찮은 향수""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0051,향수 입문용으로 조말론이나 메종 마르지엘라는 어때?,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""향수 입문용"",""조말론"",""메종 마르지엘라""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0052,향수 사보려고 하는데 난 달콤한 향기는 별로 안 좋아하거든 좀 화한거 사고싶어,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""달콤한 향기""]",[],False,"[""화한거""]",[],False,False,,"[""MISSED_AVOID"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0053,맑고 산뜻한거 갖고싶은데,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""맑고 산뜻""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0054,홍차향 같은 향수도 있나? 근데 너무 음식같은 느낌 안 났으면 좋곘음,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,"[""너무 음식같은 느낌""]",[],False,"[""홍차향""]",[],False,False,,"[""MISSED_AVOID"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0055,플로럴 계열인데 톡 쏘는 거 추천 받고싶음,"[""floral""]","[""floral""]",True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""플로럴 계열"",""톡 쏘는 거""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0056,아로마 계열이면 다 좋은데 너무 진한 향 아니고 은은한 게 좋아,"[""aromatic""]",[],False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":""LOW"",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",False,"[""너무 진한 향""]",[],False,"[""아로마 계열""]",[],False,False,,"[""MISSED_SCENT"",""MISSED_INTENSITY"",""MISSED_AVOID"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0057,대학교 들어가는데 좀 어른스러운 느낌의 향수 추천해줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""대학교 들어가는데"",""어른스러운""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0058,내 추구미 겨울 느낌나는 서늘한 여자임 추천해줘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""season"":[""winter""],""daypart"":[],""gender"":[]}",False,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""겨울 느낌"",""서늘한 여자""]",[],False,False,,"[""EXTRA_SEASON"",""MISSED_GENDER"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0059,무조건 달콤한 향이 좋아 달콤한데 약간 민트계열도 있었으면 좋겠어,"[""Mint""]",[],False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""무조건 달콤한 향"",""약간 민트계열""]",[],False,False,,"[""MISSED_SCENT"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0060,살같에서 날 것 같은 베이비 파우더 같은 거 가지고 싶어,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""살같에서 날 것 같은"",""베이비 파우더""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0061,흰 꽃에서만 나는 맑은 향에 시트러스 향 섞인 거 갖고싶어.,"[""Citrus""]","[""citrus""]",True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""흰 꽃에서만 나는 맑은 향""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0062,풍성한 복숭아!!! 나는 복숭아 밭한다!!! 할 정도로 복숭아 향나는 폭닥한거,"[""Peach""]",[],False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""풍성한 복숭아"",""폭닥""]",[],False,False,,"[""MISSED_SCENT"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0063,쨍한 허브 비누향에 세제 잔뜩 쓴 것 같은 향 갖고 싶어,"[""herbal"",""Soap""]",[],False,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""쨍한 허브 비누향"",""세제 잔뜩""]",[],False,False,,"[""MISSED_SCENT"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
UQ0064,차가운데 쨍한 향수 추천,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":"""",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",True,[],[],True,"[""차가운데"",""쨍한""]",[],False,False,,"[""MISSED_ADDITIONAL""]",MISSED_ADDITIONAL
UQ0065,은은하게 잔향 좋은 거. 향은 딱히 선호 없음 모름 잘,[],[],True,"{""season"":[],""daypart"":[],""gender"":[]}","{""season"":[],""daypart"":[],""gender"":[]}",True,"{""intensity"":""LOW"",""longevity"":""""}","{""intensity"":"""",""longevity"":""""}",False,[],[],True,"[""잔향 좋은 거"",""선호 없음""]",[],False,False,,"[""MISSED_INTENSITY"",""MISSED_ADDITIONAL""]",MULTIPLE_ERRORS
