note,accord,note_frequency,accord_frequency,cooccurrence_count,p_accord_given_note,lift,p_rank,lift_rank,selected_by
Agarwood,fresh spicy,1249,47271,602,0.4819855884707766,1.3451875079213378,5.0,,P_TOP5
Agarwood,metallic,1249,2235,96,0.07686148919135308,4.537063207613071,,2.0,LIFT_TOP5
Agarwood,leather,1249,10809,306,0.24499599679743794,2.990315649688777,,3.0,LIFT_TOP5
Agarwood,smoky,1249,7407,182,0.14571657325860687,2.5954350627795337,,4.0,LIFT_TOP5
Agarwood,tobacco,1249,4372,94,0.07526020816653323,2.2710611306977877,,5.0,LIFT_TOP5
Agarwood (Oud),oud,5939,8298,4409,0.7423808722007071,11.803122254692612,1.0,1.0,P_AND_LIFT_TOP5
Agarwood (Oud),woody,5939,81432,4054,0.6826064994106752,1.1059076955895764,2.0,,P_TOP5
Agarwood (Oud),warm spicy,5939,45319,3512,0.5913453443340629,1.7214896903725354,3.0,,P_TOP5
Agarwood (Oud),amber,5939,45478,3189,0.5369590840208789,1.5576984905860978,4.0,,P_TOP5
Agarwood (Oud),fresh spicy,5939,47271,3060,0.5152382555985856,1.4379933375879799,5.0,,P_TOP5
Agarwood (Oud),metallic,5939,2235,373,0.06280518605825897,3.7073325264725305,,2.0,LIFT_TOP5
Agarwood (Oud),cannabis,5939,388,49,0.00825054723017343,2.805398701228816,,3.0,LIFT_TOP5
Agarwood (Oud),leather,5939,10809,1224,0.20609530223943426,2.5155105212738054,,4.0,LIFT_TOP5
Agarwood (Oud),smoky,5939,7407,837,0.1409328169725543,2.510229045928053,,5.0,LIFT_TOP5
Agave,woody,78,81432,54,0.6923076923076923,1.1216248384683398,1.0,,P_TOP5
Agave,green,78,29755,53,0.6794871794871795,3.012762345479536,2.0,2.0,P_AND_LIFT_TOP5
Agave,sweet,78,60625,42,0.5384615384615384,1.1717811260904045,3.0,4.0,P_AND_LIFT_TOP5
Agave,citrus,78,59969,40,0.5128205128205128,1.1281897356369166,4.0,5.0,P_AND_LIFT_TOP5
Agave,powdery,78,62885,33,0.4230769230769231,0.8875970177552431,5.0,,P_TOP5
Agave,aquatic,78,8872,27,0.34615384615384615,5.147438787542485,,1.0,LIFT_TOP5
Agave,white floral,78,39497,30,0.38461538461538464,1.2847129577514165,,3.0,LIFT_TOP5
Airy Note,woody,77,81432,46,0.5974025974025974,0.9678667437288127,1.0,5.0,P_AND_LIFT_TOP5
Airy Note,aromatic,77,54606,34,0.44155844155844154,1.0668205910486979,2.0,4.0,P_AND_LIFT_TOP5
Airy Note,powdery,77,62885,33,0.42857142857142855,0.8991242517520645,3.0,,P_TOP5
Airy Note,sweet,77,60625,31,0.4025974025974026,0.8761183558709332,4.0,,P_TOP5
Airy Note,musky,77,41154,26,0.33766233766233766,1.0824656705980513,5.0,3.0,P_AND_LIFT_TOP5
Airy Note,green,77,29755,24,0.3116883116883117,1.381987530197915,,1.0,LIFT_TOP5
Airy Note,fresh,77,33478,25,0.3246753246753247,1.279479526387944,,2.0,LIFT_TOP5
Akigalawood,woody,443,81432,399,0.9006772009029346,1.4592094399637017,1.0,5.0,P_AND_LIFT_TOP5
Akigalawood,warm spicy,443,45319,298,0.672686230248307,1.9582844801663573,2.0,4.0,P_AND_LIFT_TOP5
Akigalawood,oud,443,8298,267,0.6027088036117382,9.582474386659028,3.0,1.0,P_AND_LIFT_TOP5
Akigalawood,amber,443,45478,211,0.4762979683972912,1.3817228323728974,4.0,,P_TOP5
Akigalawood,citrus,443,59969,199,0.4492099322799097,0.9882483677514797,5.0,,P_TOP5
Akigalawood,metallic,443,2235,23,0.05191873589164785,3.0647153584720814,,2.0,LIFT_TOP5
Akigalawood,leather,443,10809,80,0.18058690744920994,2.2041660375404075,,3.0,LIFT_TOP5
Aldehydes,woody,3019,81432,1994,0.6604836038423318,1.0700658445687057,1.0,,P_TOP5
Aldehydes,aldehydic,3019,3556,1892,0.6266975819807883,23.250903259484083,2.0,1.0,P_AND_LIFT_TOP5
Aldehydes,fresh,3019,33478,1830,0.606160980457105,2.388757337705534,3.0,3.0,P_AND_LIFT_TOP5
Aldehydes,powdery,3019,62885,1599,0.5296455780059622,1.1111734293762678,4.0,,P_TOP5
Aldehydes,floral,3019,46586,1299,0.43027492547201057,1.218524254443875,5.0,,P_TOP5
Aldehydes,soapy,3019,1720,324,0.10732030473666777,8.231841746458477,,2.0,LIFT_TOP5
Aldehydes,yellow floral,3019,6986,334,0.11063265982113282,2.0892881205556906,,4.0,LIFT_TOP5
Aldehydes,mossy,3019,6173,269,0.08910235177210997,1.9043047577020036,,5.0,LIFT_TOP5
Algae,marine,108,4326,82,0.7592592592592593,23.155125768394377,1.0,1.0,P_AND_LIFT_TOP5
Algae,aromatic,108,54606,79,0.7314814814814815,1.7672847645286571,2.0,5.0,P_AND_LIFT_TOP5
Algae,woody,108,81432,78,0.7222222222222222,1.1700901092663545,3.0,,P_TOP5
Algae,aquatic,108,8872,65,0.6018518518518519,8.949764970109875,4.0,3.0,P_AND_LIFT_TOP5
Algae,citrus,108,59969,49,0.4537037037037037,0.9981345300009944,5.0,,P_TOP5
Algae,salty,108,2520,38,0.35185185185185186,18.420561434450324,,2.0,LIFT_TOP5
Algae,ozonic,108,5777,20,0.18518518518518517,4.229094942267869,,4.0,LIFT_TOP5
Allspice,fresh spicy,169,47271,142,0.8402366863905325,2.345040850320555,1.0,2.0,P_AND_LIFT_TOP5
Allspice,woody,169,81432,123,0.727810650887574,1.1791440609538957,2.0,,P_TOP5
Allspice,aromatic,169,54606,105,0.621301775147929,1.5010867522848454,3.0,,P_TOP5
Allspice,warm spicy,169,45319,100,0.591715976331361,1.7225686523841315,4.0,5.0,P_AND_LIFT_TOP5
Allspice,amber,169,45478,77,0.4556213017751479,1.3217405854082251,5.0,,P_TOP5
Allspice,herbal,169,8607,34,0.20118343195266272,3.0837841498216325,,1.0,LIFT_TOP5
Allspice,balsamic,169,18162,41,0.24260355029585798,1.7622886461035427,,3.0,LIFT_TOP5
Allspice,leather,169,10809,24,0.14201183431952663,1.7333353040776343,,4.0,LIFT_TOP5
Almond,sweet,2713,60625,2260,0.8330261702911905,1.8128023529322355,1.0,,P_TOP5
Almond,almond,2713,3438,1867,0.6881680796166605,26.407799518274004,2.0,1.0,P_AND_LIFT_TOP5
Almond,vanilla,2713,34562,1561,0.5753778105418356,2.196331072993009,3.0,,P_TOP5
Almond,fruity,2713,43222,1457,0.537043862882418,1.6392623393197308,4.0,,P_TOP5
Almond,powdery,2713,62885,1375,0.5068190195355695,1.0632843006651456,5.0,,P_TOP5
Almond,nutty,2713,3619,1144,0.42167342425359383,15.3720295279847,,2.0,LIFT_TOP5
Almond,cherry,2713,1803,248,0.09141172134168817,6.688823292628353,,3.0,LIFT_TOP5
Almond,cacao,2713,2035,156,0.05750092148912643,3.7278115833220884,,4.0,LIFT_TOP5
Almond,coffee,2713,1815,121,0.044600073719130114,3.241921611991645,,5.0,LIFT_TOP5
Almond Blossom,floral,275,46586,252,0.9163636363636364,2.5951112897749224,1.0,3.0,P_AND_LIFT_TOP5
Almond Blossom,sweet,275,60625,248,0.9018181818181819,1.9625051171508903,2.0,,P_TOP5
Almond Blossom,powdery,275,62885,169,0.6145454545454545,1.2892896846335664,3.0,,P_TOP5
Almond Blossom,vanilla,275,34562,149,0.5418181818181819,2.0682273227033368,4.0,5.0,P_AND_LIFT_TOP5
Almond Blossom,woody,275,81432,127,0.4618181818181818,0.7482030740651431,5.0,,P_TOP5
Almond Blossom,almond,275,3438,81,0.29454545454545455,11.30290337934317,,1.0,LIFT_TOP5
Almond Blossom,nutty,275,3619,44,0.16,5.832771483835313,,2.0,LIFT_TOP5
Almond Blossom,lactonic,275,7015,33,0.12,2.2568210976478973,,4.0,LIFT_TOP5
Almond Milk,sweet,197,60625,168,0.8527918781725888,1.8558157936051076,1.0,,P_TOP5
Almond Milk,almond,197,3438,157,0.7969543147208121,30.58236845291354,2.0,1.0,P_AND_LIFT_TOP5
Almond Milk,fruity,197,43222,113,0.5736040609137056,1.7508579833498028,3.0,,P_TOP5
Almond Milk,nutty,197,3619,110,0.5583756345177665,20.355484239272986,4.0,2.0,P_AND_LIFT_TOP5
Almond Milk,vanilla,197,34562,103,0.5228426395939086,1.9957939193803704,5.0,5.0,P_AND_LIFT_TOP5
Almond Milk,coconut,197,3269,23,0.116751269035533,4.711836929904518,,3.0,LIFT_TOP5
Almond Milk,lactonic,197,7015,33,0.16751269035532995,3.150384780980567,,4.0,LIFT_TOP5
Aloe Vera,green,158,29755,132,0.8354430379746836,3.7042513863216264,1.0,4.0,P_AND_LIFT_TOP5
Aloe Vera,woody,158,81432,114,0.7215189873417721,1.1689507810197466,2.0,,P_TOP5
Aloe Vera,aquatic,158,8872,89,0.5632911392405063,8.376352569882778,3.0,2.0,P_AND_LIFT_TOP5
Aloe Vera,sweet,158,60625,80,0.5063291139240507,1.1018556701030928,4.0,,P_TOP5
Aloe Vera,powdery,158,62885,60,0.379746835443038,0.7966923749701836,5.0,,P_TOP5
Aloe Vera,bitter,158,1034,21,0.13291139240506328,16.958413926499034,,1.0,LIFT_TOP5
Aloe Vera,coconut,158,3269,22,0.13924050632911392,5.619455490975834,,3.0,LIFT_TOP5
Aloe Vera,herbal,158,8607,38,0.24050632911392406,3.686534216335541,,5.0,LIFT_TOP5
Amalfi Lemon,citrus,1325,59969,1166,0.88,1.935973586352949,1.0,2.0,P_AND_LIFT_TOP5
Amalfi Lemon,aromatic,1325,54606,952,0.7184905660377359,1.7358982598498056,2.0,5.0,P_AND_LIFT_TOP5
Amalfi Lemon,woody,1325,81432,921,0.6950943396226416,1.1261395547992816,3.0,,P_TOP5
Amalfi Lemon,fresh spicy,1325,47271,656,0.4950943396226415,1.3817731003451397,4.0,,P_TOP5
Amalfi Lemon,powdery,1325,62885,599,0.4520754716981132,0.9484347138607311,5.0,,P_TOP5
Amalfi Lemon,lavender,1325,8336,175,0.1320754716981132,2.090297142650201,,1.0,LIFT_TOP5
Amalfi Lemon,herbal,1325,8607,156,0.11773584905660377,1.804681139309601,,3.0,LIFT_TOP5
Amalfi Lemon,mossy,1325,6173,109,0.08226415094339623,1.7581580161934658,,4.0,LIFT_TOP5
Amaretto,fruity,118,43222,110,0.9322033898305084,2.845439665455994,1.0,3.0,P_AND_LIFT_TOP5
Amaretto,almond,118,3438,106,0.8983050847457628,34.471608444010606,2.0,1.0,P_AND_LIFT_TOP5
Amaretto,sweet,118,60625,89,0.7542372881355932,1.6413447492573825,3.0,5.0,P_AND_LIFT_TOP5
Amaretto,vanilla,118,34562,63,0.5338983050847458,2.037995584452014,4.0,4.0,P_AND_LIFT_TOP5
Amaretto,amber,118,45478,57,0.4830508474576271,1.4013126853662154,5.0,,P_TOP5
Amaretto,nutty,118,3619,21,0.17796610169491525,6.487722519096482,,2.0,LIFT_TOP5
Amaryllis,floral,74,46586,62,0.8378378378378378,2.3727288444156174,1.0,1.0,P_AND_LIFT_TOP5
Amaryllis,fresh,74,33478,42,0.5675675675675675,2.236668534237087,2.0,2.0,P_AND_LIFT_TOP5
Amaryllis,citrus,74,59969,35,0.47297297297297297,1.0405263440164807,3.0,,P_TOP5
Amaryllis,powdery,74,62885,35,0.47297297297297297,0.992276764320972,4.0,,P_TOP5
Amaryllis,sweet,74,60625,33,0.44594594594594594,0.970451936472555,5.0,,P_TOP5
Amaryllis,green,74,29755,28,0.3783783783783784,1.6776830603078292,,3.0,LIFT_TOP5
Amaryllis,white floral,74,39497,30,0.40540540540540543,1.3541569014136552,,4.0,LIFT_TOP5
Amaryllis,fruity,74,43222,32,0.43243243243243246,1.319948424663616,,5.0,LIFT_TOP5
Amber,amber,36671,45478,24418,0.665866761200949,1.9316549057839218,1.0,1.0,P_AND_LIFT_TOP5
Amber,woody,36671,81432,24304,0.6627580376864552,1.0737507111697373,2.0,,P_TOP5
Amber,powdery,36671,62885,20646,0.5630061901775245,1.18116254544201,3.0,,P_TOP5
Amber,citrus,36671,59969,17549,0.4785525347004445,1.0528012123435382,4.0,,P_TOP5
Amber,sweet,36671,60625,15476,0.422022851844782,0.9183913376310447,5.0,,P_TOP5
Amber,animalic,36671,18242,6327,0.17253415505440267,1.2478034796802622,,2.0,LIFT_TOP5
Amber,oud,36671,8298,2860,0.07799078290747458,1.2399763785229116,,3.0,LIFT_TOP5
Amber,cinnamon,36671,4259,1424,0.038831774426658666,1.2028823667783701,,4.0,LIFT_TOP5
Amber,leather,36671,10809,3594,0.09800659922009217,1.1962263516612786,,5.0,LIFT_TOP5
Amber Xtreme,woody,109,81432,102,0.9357798165137615,1.516080056889927,1.0,3.0,P_AND_LIFT_TOP5
Amber Xtreme,amber,109,45478,93,0.8532110091743119,2.4751336567212054,2.0,2.0,P_AND_LIFT_TOP5
Amber Xtreme,balsamic,109,18162,56,0.5137614678899083,3.7319981532163635,3.0,1.0,P_AND_LIFT_TOP5
Amber Xtreme,warm spicy,109,45319,45,0.41284403669724773,1.2018472111359009,4.0,4.0,P_AND_LIFT_TOP5
Amber Xtreme,sweet,109,60625,44,0.4036697247706422,0.8784519057977869,5.0,,P_TOP5
Amber Xtreme,vanilla,109,34562,32,0.29357798165137616,1.1206453075419842,,5.0,LIFT_TOP5
Ambergris,amber,6452,45478,4675,0.7245815251084935,2.101984269483345,1.0,4.0,P_AND_LIFT_TOP5
Ambergris,woody,6452,81432,4461,0.6914135151890887,1.1201761599726945,2.0,,P_TOP5
Ambergris,citrus,6452,59969,2903,0.4499380037197768,0.9898501030657533,3.0,,P_TOP5
Ambergris,aromatic,6452,54606,2897,0.449008059516429,1.0848191277882007,4.0,,P_TOP5
Ambergris,animalic,6452,18242,2657,0.41181029138251707,2.9782990758741077,5.0,1.0,P_AND_LIFT_TOP5
Ambergris,salty,6452,2520,343,0.05316181029138252,2.7831895364055934,,2.0,LIFT_TOP5
Ambergris,marine,6452,4326,525,0.08137011779293242,2.4815440685209373,,3.0,LIFT_TOP5
Ambergris,balsamic,6452,18162,1626,0.25201487910725356,1.8306531769970247,,5.0,LIFT_TOP5
Amberwood,woody,1757,81432,1517,0.8634035287421742,1.3988214405510737,1.0,5.0,P_AND_LIFT_TOP5
Amberwood,amber,1757,45478,1327,0.755264655663062,2.1909948991078716,2.0,2.0,P_AND_LIFT_TOP5
Amberwood,warm spicy,1757,45319,989,0.5628912919749574,1.6386559312927496,3.0,3.0,P_AND_LIFT_TOP5
Amberwood,aromatic,1757,54606,824,0.46898121798520204,1.1330749750721112,4.0,,P_TOP5
Amberwood,citrus,1757,59969,814,0.4632896983494593,1.0192234304931576,5.0,,P_TOP5
Amberwood,metallic,1757,2235,91,0.05179282868525897,3.0572831715643023,,1.0,LIFT_TOP5
Amberwood,marine,1757,4326,88,0.05008537279453614,1.527453359404335,,4.0,LIFT_TOP5
Ambrarome,woody,57,81432,50,0.8771929824561403,1.4211620760320094,1.0,4.0,P_AND_LIFT_TOP5
Ambrarome,amber,57,45478,49,0.8596491228070176,2.4938103868228554,2.0,2.0,P_AND_LIFT_TOP5
Ambrarome,balsamic,57,18162,43,0.7543859649122807,5.479910822094328,3.0,1.0,P_AND_LIFT_TOP5
Ambrarome,warm spicy,57,45319,43,0.7543859649122807,2.1961239292764003,4.0,3.0,P_AND_LIFT_TOP5
Ambrarome,aromatic,57,54606,27,0.47368421052631576,1.144437569035213,5.0,,P_TOP5
Ambrarome,fresh spicy,57,47271,24,0.42105263157894735,1.1751279576105969,,5.0,LIFT_TOP5
Ambrette,musky,1062,41154,798,0.751412429378531,2.4088507024325607,1.0,2.0,P_AND_LIFT_TOP5
Ambrette,floral,1062,46586,737,0.6939736346516008,1.9653102137892433,2.0,3.0,P_AND_LIFT_TOP5
Ambrette,woody,1062,81432,596,0.5612052730696798,0.9092225620896314,3.0,,P_TOP5
Ambrette,aromatic,1062,54606,568,0.5348399246704332,1.2921919067825924,4.0,,P_TOP5
Ambrette,powdery,1062,62885,546,0.5141242937853108,1.0786104489003108,5.0,,P_TOP5
Ambrette,iris,1062,7451,163,0.1534839924670433,2.7176410047211146,,1.0,LIFT_TOP5
Ambrette,violet,1062,7614,106,0.09981167608286252,1.7294660396128254,,4.0,LIFT_TOP5
Ambrette,salty,1062,2520,31,0.02919020715630885,1.528200011957074,,5.0,LIFT_TOP5
Ambrette (Musk Mallow),floral,1192,46586,891,0.74748322147651,2.1168475810199623,1.0,3.0,P_AND_LIFT_TOP5
Ambrette (Musk Mallow),musky,1192,41154,826,0.6929530201342282,2.2214436493732985,2.0,2.0,P_AND_LIFT_TOP5
Ambrette (Musk Mallow),woody,1192,81432,756,0.6342281879194631,1.0275287949726737,3.0,,P_TOP5
Ambrette (Musk Mallow),aromatic,1192,54606,622,0.5218120805369127,1.260716181101617,4.0,,P_TOP5
Ambrette (Musk Mallow),powdery,1192,62885,582,0.48825503355704697,1.0243378639927043,5.0,,P_TOP5
Ambrette (Musk Mallow),iris,1192,7451,205,0.17197986577181207,3.045135376630676,,1.0,LIFT_TOP5
Ambrette (Musk Mallow),yellow floral,1192,6986,103,0.08640939597315436,1.6318338979012676,,4.0,LIFT_TOP5
Ambrette (Musk Mallow),violet,1192,7614,109,0.09144295302013423,1.5844587328534685,,5.0,LIFT_TOP5
Ambrettolide,amber,131,45478,96,0.732824427480916,2.1258966251276936,1.0,3.0,P_AND_LIFT_TOP5
Ambrettolide,musky,131,41154,94,0.7175572519083969,2.3003190028739566,2.0,1.0,P_AND_LIFT_TOP5
Ambrettolide,woody,131,81432,88,0.6717557251908397,1.088328087538406,3.0,4.0,P_AND_LIFT_TOP5
Ambrettolide,sweet,131,60625,58,0.44274809160305345,0.9634928779412922,4.0,,P_TOP5
Ambrettolide,aromatic,131,54606,57,0.4351145038167939,1.051251812777893,5.0,5.0,P_AND_LIFT_TOP5
Ambrettolide,balsamic,131,18162,41,0.31297709923664124,2.273486879324418,,2.0,LIFT_TOP5
Ambrocenide,woody,87,81432,79,0.9080459770114943,1.4711477766372734,1.0,2.0,P_AND_LIFT_TOP5
Ambrocenide,amber,87,45478,75,0.8620689655172413,2.5008302612403726,2.0,1.0,P_AND_LIFT_TOP5
Ambrocenide,aromatic,87,54606,46,0.5287356321839081,1.277443723290902,3.0,5.0,P_AND_LIFT_TOP5
Ambrocenide,fresh spicy,87,47271,44,0.5057471264367817,1.4115042709230734,4.0,3.0,P_AND_LIFT_TOP5
Ambrocenide,musky,87,41154,38,0.4367816091954023,1.4002186349115378,5.0,4.0,P_AND_LIFT_TOP5
Ambrofix™,woody,139,81432,99,0.7122302158273381,1.1539018122372129,1.0,,P_TOP5
Ambrofix™,citrus,139,59969,89,0.6402877697841727,1.4086138749624957,2.0,4.0,P_AND_LIFT_TOP5
Ambrofix™,sweet,139,60625,82,0.5899280575539568,1.2837807609582437,3.0,,P_TOP5
Ambrofix™,fresh spicy,139,47271,78,0.5611510791366906,1.5661327636500941,4.0,3.0,P_AND_LIFT_TOP5
Ambrofix™,white floral,139,39497,67,0.48201438848920863,1.61005033985825,5.0,2.0,P_AND_LIFT_TOP5
Ambrofix™,oud,139,8298,28,0.2014388489208633,3.202678638000662,,1.0,LIFT_TOP5
Ambrofix™,patchouli,139,14822,21,0.1510791366906475,1.3447490557007908,,5.0,LIFT_TOP5
Ambrox Super,woody,132,81432,88,0.6666666666666666,1.0800831777843272,1.0,,P_TOP5
Ambrox Super,musky,132,41154,68,0.5151515151515151,1.6514540359124117,2.0,1.0,P_AND_LIFT_TOP5
Ambrox Super,citrus,132,59969,64,0.48484848484848486,1.0666521136930849,3.0,,P_TOP5
Ambrox Super,powdery,132,62885,64,0.48484848484848486,1.0171910726892042,4.0,,P_TOP5
Ambrox Super,sweet,132,60625,63,0.4772727272727273,1.0386241799437677,5.0,,P_TOP5
Ambrox Super,soft spicy,132,13661,21,0.1590909090909091,1.536407557013662,,2.0,LIFT_TOP5
Ambrox Super,balsamic,132,18162,27,0.20454545454545456,1.4858320569420669,,3.0,LIFT_TOP5
Ambrox Super,earthy,132,19049,28,0.21212121212121213,1.4691139437845302,,4.0,LIFT_TOP5
Ambrox Super,floral,132,46586,52,0.3939393939393939,1.115623239651918,,5.0,LIFT_TOP5
Ambroxan,amber,3051,45478,2385,0.7817109144542773,2.267714520074603,1.0,1.0,P_AND_LIFT_TOP5
Ambroxan,musky,3051,41154,2089,0.6846935431006227,2.1949657175794615,2.0,2.0,P_AND_LIFT_TOP5
Ambroxan,woody,3051,81432,2040,0.6686332350049164,1.0832692638544874,3.0,,P_TOP5
Ambroxan,citrus,3051,59969,1621,0.5313012127171419,1.1688467207019049,4.0,,P_TOP5
Ambroxan,aromatic,3051,54606,1432,0.4693543100622747,1.1339763785392796,5.0,,P_TOP5
Ambroxan,marine,3051,4326,158,0.05178629957391019,1.5793265147447924,,3.0,LIFT_TOP5
Ambroxan,salty,3051,2520,85,0.027859718125204852,1.4585446874040777,,4.0,LIFT_TOP5
Ambroxan,mineral,3051,770,23,0.0075385119632907244,1.291631017294734,,5.0,LIFT_TOP5
Amyl Salicylate,sweet,50,60625,34,0.68,1.4797921649484536,1.0,4.0,P_AND_LIFT_TOP5
Amyl Salicylate,fruity,50,43222,32,0.64,1.9535236685021518,2.0,1.0,P_AND_LIFT_TOP5
Amyl Salicylate,floral,50,46586,27,0.54,1.5292620100459366,3.0,3.0,P_AND_LIFT_TOP5
Amyl Salicylate,woody,50,81432,26,0.52,0.8424648786717752,4.0,,P_TOP5
Amyl Salicylate,citrus,50,59969,24,0.48,1.055985592556154,5.0,,P_TOP5
Amyl Salicylate,fresh,50,33478,22,0.44,1.7339506541609415,,2.0,LIFT_TOP5
Amyl Salicylate,white floral,50,39497,22,0.44,1.4697116236676204,,5.0,LIFT_TOP5
Amyris,woody,725,81432,665,0.9172413793103448,1.486045475641195,1.0,,P_TOP5
Amyris,aromatic,725,54606,543,0.7489655172413793,1.8095268045572863,2.0,5.0,P_AND_LIFT_TOP5
Amyris,warm spicy,725,45319,363,0.5006896551724138,1.4575781947284043,3.0,,P_TOP5
Amyris,balsamic,725,18162,357,0.4924137931034483,3.5769271954706494,4.0,1.0,P_AND_LIFT_TOP5
Amyris,amber,725,45478,345,0.47586206896551725,1.3804583042046856,5.0,,P_TOP5
Amyris,oud,725,8298,105,0.14482758620689656,2.302615503528062,,2.0,LIFT_TOP5
Amyris,leather,725,10809,126,0.17379310344827587,2.121243791093629,,3.0,LIFT_TOP5
Amyris,smoky,725,7407,85,0.11724137931034483,2.0882483019324685,,4.0,LIFT_TOP5
Angelica,musky,883,41154,673,0.7621744054360136,2.443351054798398,1.0,2.0,P_AND_LIFT_TOP5
Angelica,amber,883,45478,645,0.7304643261608154,2.1190500582786487,2.0,3.0,P_AND_LIFT_TOP5
Angelica,powdery,883,62885,619,0.7010192525481314,1.4707079587926368,3.0,5.0,P_AND_LIFT_TOP5
Angelica,woody,883,81432,610,0.6908267270668177,1.1192254900030119,4.0,,P_TOP5
Angelica,aromatic,883,54606,507,0.5741789354473387,1.3872363284907774,5.0,,P_TOP5
Angelica,iris,883,7451,126,0.14269535673839184,2.52661366454114,,1.0,LIFT_TOP5
Angelica,smoky,883,7407,79,0.08946772366930918,1.5935570114340434,,4.0,LIFT_TOP5
