accord,frequency,mean_strength,representative_notes,season_profile,dominant_season,dominant_season_by_share,season_eligible_perfume_count,day_share,night_share,daypart_eligible_perfume_count,daypart_tendency,representative_note_1,representative_note_2,representative_note_3,representative_note_4,representative_note_5,winter_share,winter_lift,spring_share,spring_lift,summer_share,summer_lift,autumn_share,autumn_lift
musky,41154,52.094037031637264,"[""Musk"", ""Amber"", ""Bergamot"", ""Jasmine"", ""Vanilla""]","{""winter"": 0.19195417822992994, ""spring"": 0.3028038487037306, ""summer"": 0.25623706761476595, ""autumn"": 0.2490049054515681}",summer,spring,18127,0.6491232541663587,0.35087674583364187,13957,Neutral,Musk,Amber,Bergamot,Jasmine,Vanilla,0.19195417822992994,0.913388091008698,0.3028038487037306,1.0595665368167124,0.25623706761476595,1.0732960955686917,0.2490049054515681,0.9384921210921667
white floral,39497,66.38035800187356,"[""Jasmine"", ""Musk"", ""Bergamot"", ""Vanilla"", ""Amber""]","{""winter"": 0.1744990347231093, ""spring"": 0.3174141624159521, ""summer"": 0.2749179173645839, ""autumn"": 0.23316888549635353}",summer,spring,16700,0.6694175507838206,0.3305824492161857,12923,Neutral,Jasmine,Musk,Bergamot,Vanilla,Amber,0.1744990347231093,0.830330142736896,0.3174141624159521,1.1106907202382077,0.2749179173645839,1.1515442713108868,0.23316888549635353,0.8788066304369722
vanilla,34562,60.40822290376714,"[""Vanilla"", ""Musk"", ""Amber"", ""Jasmine"", ""Sandalwood""]","{""winter"": 0.26701514159116074, ""spring"": 0.2459143700984436, ""summer"": 0.18569350189952147, ""autumn"": 0.30137698641088}",winter,autumn,16355,0.5614522453510115,0.43854775464898765,12963,Neutral,Vanilla,Musk,Amber,Jasmine,Sandalwood,0.26701514159116074,1.2705555705915854,0.2459143700984436,0.8604997545246227,0.18569350189952147,0.7778113932402366,0.30137698641088,1.1358809446431761
fresh,33478,42.17507019535217,"[""Musk"", ""Jasmine"", ""Amber"", ""Bergamot"", ""Sandalwood""]","{""winter"": 0.13611829365998704, ""spring"": 0.340139846269124, ""summer"": 0.323223107728945, ""autumn"": 0.20051875234193792}",summer,spring,14966,0.7297437007233272,0.270256299276683,11510,Day leaning,Musk,Jasmine,Amber,Bergamot,Sandalwood,0.13611829365998704,0.6477005582474541,0.340139846269124,1.1902120811461947,0.323223107728945,1.353879447467826,0.20051875234193792,0.7557492446298114
green,29755,48.68086035960343,"[""Musk"", ""Bergamot"", ""Jasmine"", ""Amber"", ""Sandalwood""]","{""winter"": 0.13783860059165134, ""spring"": 0.33959152088395245, ""summer"": 0.31112069974374923, ""autumn"": 0.21144917878064626}",summer,spring,13440,0.7189598992361816,0.2810401007638269,10253,Day leaning,Musk,Bergamot,Jasmine,Amber,Sandalwood,0.13783860059165134,0.6558864069679738,0.33959152088395245,1.1882933894522083,0.31112069974374923,1.303186285239562,0.21144917878064626,0.7969456984679488
rose,25617,59.02018191045009,"[""Rose"", ""Musk"", ""Jasmine"", ""Amber"", ""Sandalwood""]","{""winter"": 0.2064051591715991, ""spring"": 0.30455729652248986, ""summer"": 0.23071088110949461, ""autumn"": 0.25832666319641767}",spring,spring,10486,0.625843949596521,0.37415605040347855,7929,Neutral,Rose,Musk,Jasmine,Amber,Sandalwood,0.2064051591715991,0.9821511365294033,0.30455729652248986,1.0657021742624218,0.23071088110949461,0.9663749675449523,0.25832666319641767,0.9736255502204246
earthy,19049,42.93637461284057,"[""Patchouli"", ""Vetiver"", ""Bergamot"", ""Musk"", ""Amber""]","{""winter"": 0.21773574227764228, ""spring"": 0.2803879403662623, ""summer"": 0.20994428070322294, ""autumn"": 0.2919320366528698}",autumn,autumn,8404,0.593539148246883,0.40646085175311625,6480,Neutral,Patchouli,Vetiver,Bergamot,Musk,Amber,0.21773574227764228,1.0360661894273273,0.2803879403662623,0.9811291375947138,0.20994428070322294,0.8793902414794945,0.2919320366528698,1.10028320846232
animalic,18242,30.52543580747725,"[""Musk"", ""Amber"", ""Jasmine"", ""Leather"", ""Vanilla""]","{""winter"": 0.24522152410309814, ""spring"": 0.2666635424701853, ""summer"": 0.19834613404657447, ""autumn"": 0.2897687993801357}",winter,autumn,7217,0.5538563948013618,0.44614360519863866,5398,Neutral,Musk,Amber,Jasmine,Leather,Vanilla,0.24522152410309814,1.1668535784955807,0.2666635424701853,0.933104937073838,0.19834613404657447,0.8308092705907357,0.2897687993801357,1.0921300311872293
balsamic,18162,31.277667657746946,"[""Vanilla"", ""Patchouli"", ""Sandalwood"", ""Musk"", ""Amber""]","{""winter"": 0.2978898728322652, ""spring"": 0.22087223061946368, ""summer"": 0.14532630465825896, ""autumn"": 0.33591159189001496}",winter,autumn,7967,0.5157608535540359,0.48423914644596544,6096,Night leaning,Vanilla,Patchouli,Sandalwood,Musk,Amber,0.2978898728322652,1.4174688187884505,0.22087223061946368,0.7728726879737445,0.14532630465825896,0.6087259615678926,0.33591159189001496,1.2660408508844545
patchouli,14822,50.49581702874106,"[""Patchouli"", ""Musk"", ""Bergamot"", ""Amber"", ""Vanilla""]","{""winter"": 0.2662176714497331, ""spring"": 0.24719568822815108, ""summer"": 0.1704520345964058, ""autumn"": 0.31613460572570584}",winter,autumn,6369,0.5281979012783139,0.47180209872168627,4991,Night leaning,Patchouli,Musk,Bergamot,Amber,Vanilla,0.2662176714497331,1.2667609163838371,0.24719568822815108,0.8649833230759028,0.1704520345964058,0.7139697035914699,0.31613460572570584,1.1915019751924536
soft spicy,13661,35.8906375814362,"[""Pink Pepper"", ""Amber"", ""Musk"", ""Vanilla"", ""Bergamot""]","{""winter"": 0.2120067505043652, ""spring"": 0.28791968565299253, ""summer"": 0.23162286812795863, ""autumn"": 0.26845069571468033}",autumn,spring,6014,0.6252836567467465,0.37471634325325276,4665,Neutral,Pink Pepper,Amber,Musk,Vanilla,Bergamot,0.2120067505043652,1.0088055540639749,0.28791968565299253,1.0074841040319287,0.23162286812795863,0.9701949929426764,0.26845069571468033,1.0117827292319779
leather,10809,59.46100471829031,"[""Leather"", ""Patchouli"", ""Amber"", ""Musk"", ""Saffron""]","{""winter"": 0.3003466598489971, ""spring"": 0.22410897057277568, ""summer"": 0.1354944162465131, ""autumn"": 0.34004995333170823}",winter,autumn,5086,0.4774161832608737,0.5225838167391257,3987,Night leaning,Leather,Patchouli,Amber,Musk,Saffron,0.3003466598489971,1.4291591087520261,0.22410897057277568,0.7841986382798207,0.1354944162465131,0.5675432882621753,0.34004995333170823,1.2816382127123973
aquatic,8872,47.09839945897205,"[""Musk"", ""Amber"", ""Sandalwood"", ""Jasmine"", ""Bergamot""]","{""winter"": 0.10900378417787691, ""spring"": 0.34907129738194664, ""summer"": 0.36756931835619794, ""autumn"": 0.17435560008397652}",summer,summer,4236,0.7622697940880178,0.23773020591198374,3276,Day leaning,Musk,Amber,Sandalwood,Jasmine,Bergamot,0.10900378417787691,0.5186798185955352,0.34907129738194664,1.2214648765280014,0.36756931835619794,1.5396317086943534,0.17435560008397652,0.6571410978846571
herbal,8607,36.32601370977112,"[""Lavender"", ""Bergamot"", ""Musk"", ""Patchouli"", ""Sage""]","{""winter"": 0.15960114406678927, ""spring"": 0.3120953752802428, ""summer"": 0.2833136897746153, ""autumn"": 0.24498979087835349}",summer,spring,3833,0.6723230208255978,0.3276769791744008,2891,Neutral,Lavender,Bergamot,Musk,Patchouli,Sage,0.15960114406678927,0.7594405375607439,0.3120953752802428,1.092079302683331,0.2833136897746153,1.1867115085527589,0.24498979087835349,0.9233592730648931
lavender,8336,55.860724568138195,"[""Lavender"", ""Bergamot"", ""Musk"", ""Patchouli"", ""Amber""]","{""winter"": 0.1917947337019495, ""spring"": 0.2988195454650124, ""summer"": 0.24730811573989253, ""autumn"": 0.26207760509314604}",spring,spring,3884,0.6130477275991889,0.3869522724008115,3020,Neutral,Lavender,Bergamot,Musk,Patchouli,Amber,0.1917947337019495,0.9126293957076799,0.2988195454650124,1.045624724642433,0.24730811573989253,1.0358955380536081,0.26207760509314604,0.9877627392463604
oud,8298,64.53759942154736,"[""Agarwood (Oud)"", ""Amber"", ""Patchouli"", ""Musk"", ""Oud""]","{""winter"": 0.3341763645003337, ""spring"": 0.20383248313046004, ""summer"": 0.12028498659112433, ""autumn"": 0.3417061657780825}",winter,autumn,3430,0.42232855717626805,0.5776714428237331,2554,Night leaning,Agarwood (Oud),Amber,Patchouli,Musk,Oud,0.3341763645003337,1.5901331997346129,0.20383248313046004,0.7132474675135516,0.12028498659112433,0.5038357941946201,0.3417061657780825,1.2878804284187835
violet,7614,52.74954032046231,"[""Violet"", ""Musk"", ""Iris"", ""Sandalwood"", ""Rose""]","{""winter"": 0.1968407954241212, ""spring"": 0.3157302320284161, ""summer"": 0.22739287755437695, ""autumn"": 0.26003609499308694}",spring,spring,3290,0.647617117404954,0.35238288259504746,2533,Neutral,Violet,Musk,Iris,Sandalwood,Rose,0.1968407954241212,0.9366404004486427,0.3157302320284161,1.1047983371109784,0.22739287755437695,0.9524768992680205,0.26003609499308694,0.9800683480834192
iris,7451,55.55428801503154,"[""Iris"", ""Musk"", ""Sandalwood"", ""Vanilla"", ""Bergamot""]","{""winter"": 0.22436949971405848, ""spring"": 0.2904693972872822, ""summer"": 0.19698046695271473, ""autumn"": 0.28818063604594435}",autumn,spring,3647,0.6041730360369942,0.39582696396300493,2867,Neutral,Iris,Musk,Sandalwood,Vanilla,Bergamot,0.22436949971405848,1.0676320302802678,0.2904693972872822,1.016406015486459,0.19698046695271473,0.8250889227373566,0.28818063604594435,1.0861442905712237
smoky,7407,47.0851896854327,"[""Incense"", ""Leather"", ""Amber"", ""Patchouli"", ""Musk""]","{""winter"": 0.31324673630948074, ""spring"": 0.2075888912504102, ""summer"": 0.12797528746121073, ""autumn"": 0.35118908497889906}",winter,autumn,3318,0.4681690255705183,0.5318309744294818,2560,Night leaning,Incense,Leather,Amber,Patchouli,Musk,0.31324673630948074,1.4905423842855938,0.2075888912504102,0.7263918326184351,0.12797528746121073,0.5360480341115298,0.35118908497889906,1.3236212703061374
lactonic,7015,34.68153955808981,"[""Vanilla"", ""Musk"", ""Coconut"", ""Jasmine"", ""Sandalwood""]","{""winter"": 0.20736409515004262, ""spring"": 0.2801955680859667, ""summer"": 0.2643059387891367, ""autumn"": 0.24813439797485526}",summer,spring,3348,0.6692591386740818,0.33074086132591823,2589,Neutral,Vanilla,Musk,Coconut,Jasmine,Sandalwood,0.20736409515004262,0.9867141041648404,0.2801955680859667,0.9804559914914363,0.2643059387891367,1.1070940468476185,0.24813439797485526,0.9352112041690032
yellow floral,6986,53.03750357858574,"[""Ylang-Ylang"", ""Jasmine"", ""Musk"", ""Sandalwood"", ""Vanilla""]","{""winter"": 0.18057612267815704, ""spring"": 0.3169861868960967, ""summer"": 0.25441366454382003, ""autumn"": 0.24802402588192698}",spring,spring,3153,0.657506239357542,0.34249376064245707,2425,Neutral,Ylang-Ylang,Jasmine,Musk,Sandalwood,Vanilla,0.18057612267815704,0.8592471468747488,0.3169861868960967,1.1091931549286624,0.25441366454382003,1.0656584363692956,0.24802402588192698,0.9347952150164449
tropical,6512,49.13682432432432,"[""Musk"", ""Vanilla"", ""Jasmine"", ""Sandalwood"", ""Amber""]","{""winter"": 0.13406948105554578, ""spring"": 0.31171654393218146, ""summer"": 0.3662705489044589, ""autumn"": 0.1879434261078146}",summer,summer,3278,0.7196241566166367,0.2803758433833631,2558,Day leaning,Musk,Vanilla,Jasmine,Sandalwood,Amber,0.13406948105554578,0.6379515595496317,0.31171654393218146,1.0907537018984623,0.3662705489044589,1.5341915739216159,0.1879434261078146,0.7083532121320346
mossy,6173,49.16847561963389,"[""Oakmoss"", ""Bergamot"", ""Musk"", ""Patchouli"", ""Jasmine""]","{""winter"": 0.19167794431548413, ""spring"": 0.29535456811162575, ""summer"": 0.2379380182088416, ""autumn"": 0.2750294693640499}",autumn,spring,2755,0.6291713071110057,0.3708286928889949,2093,Neutral,Oakmoss,Bergamot,Musk,Patchouli,Jasmine,0.19167794431548413,0.9120736691497203,0.29535456811162575,1.0335001295615154,0.2379380182088416,0.996647160803621,0.2750294693640499,1.0365779324637594
ozonic,5777,50.83503548554613,"[""Musk"", ""Violet Leaf"", ""Bergamot"", ""Sandalwood"", ""Amber""]","{""winter"": 0.12263046284022844, ""spring"": 0.3461644826869854, ""summer"": 0.34100684027133593, ""autumn"": 0.1901982142014515}",summer,spring,2844,0.7387119764059576,0.261288023594041,2228,Day leaning,Musk,Violet Leaf,Bergamot,Sandalwood,Amber,0.12263046284022844,0.5835205327960118,0.3461644826869854,1.2112933955752558,0.34100684027133593,1.4283698827513045,0.1901982142014515,0.7168514417423033
tobacco,4372,56.64455626715462,"[""Tobacco"", ""Vanilla"", ""Amber"", ""Patchouli"", ""Musk""]","{""winter"": 0.3338327524820191, ""spring"": 0.19722055010396602, ""summer"": 0.11086023381748153, ""autumn"": 0.35808646359653457}",winter,autumn,1966,0.43812755851384877,0.5618724414861507,1506,Night leaning,Tobacco,Vanilla,Amber,Patchouli,Musk,0.3338327524820191,1.5884981682476706,0.19722055010396602,0.6901110938890508,0.11086023381748153,0.4643584834065533,0.35808646359653457,1.3496172862364322
marine,4326,62.832639852057326,"[""Sea Notes"", ""Musk"", ""Amber"", ""Bergamot"", ""Patchouli""]","{""winter"": 0.0975495351433142, ""spring"": 0.3253766377026482, ""summer"": 0.40464429040498623, ""autumn"": 0.1724295367490512}",summer,summer,1914,0.7354124236980779,0.26458757630192214,1464,Day leaning,Sea Notes,Musk,Amber,Bergamot,Patchouli,0.0975495351433142,0.46417631804091086,0.3253766377026482,1.1385528904191025,0.40464429040498623,1.6949270495039348,0.1724295367490512,0.6498818221636674
cinnamon,4259,49.63042967832825,"[""Cinnamon"", ""Vanilla"", ""Amber"", ""Patchouli"", ""Sandalwood""]","{""winter"": 0.3375099095073334, ""spring"": 0.1896069447506146, ""summer"": 0.11408281524637985, ""autumn"": 0.3588003304956736}",winter,autumn,1991,0.4745869696904319,0.5254130303095681,1573,Night leaning,Cinnamon,Vanilla,Amber,Patchouli,Sandalwood,0.3375099095073334,1.6059954244504917,0.1896069447506146,0.663469683974764,0.11408281524637985,0.47785685855377735,0.3588003304956736,1.3523078294574
caramel,4008,54.11726546906188,"[""Caramel"", ""Vanilla"", ""Musk"", ""Amber"", ""Jasmine""]","{""winter"": 0.2972564863726937, ""spring"": 0.22466014170883214, ""summer"": 0.16327270165833607, ""autumn"": 0.31481067026013726}",winter,autumn,1937,0.5522427723079268,0.44775722769207316,1569,Neutral,Caramel,Vanilla,Musk,Amber,Jasmine,0.2972564863726937,1.4144549346703055,0.22466014170883214,0.7861272877812215,0.16327270165833607,0.6838977468564565,0.31481067026013726,1.1865121015953157
tuberose,3931,52.76672602391249,"[""Tuberose"", ""Jasmine"", ""Musk"", ""Vanilla"", ""Sandalwood""]","{""winter"": 0.20112702950609884, ""spring"": 0.305920664846557, ""summer"": 0.22969677563865143, ""autumn"": 0.2632555300086924}",spring,spring,1867,0.606140089955507,0.3938599100444931,1473,Neutral,Tuberose,Jasmine,Musk,Vanilla,Sandalwood,0.20112702950609884,0.9570358677515969,0.305920664846557,1.0704728515828108,0.22969677563865143,0.9621272002235309,0.2632555300086924,0.9922023034006233
nutty,3619,41.97982868195634,"[""Vanilla"", ""Almond"", ""Musk"", ""Sandalwood"", ""Hazelnut""]","{""winter"": 0.27924572339132087, ""spring"": 0.23181892166223964, ""summer"": 0.17667362906303094, ""autumn"": 0.3122617258834084}",winter,autumn,1890,0.5815660624819706,0.41843393751803004,1501,Neutral,Vanilla,Almond,Musk,Sandalwood,Hazelnut,0.27924572339132087,1.3287531459993611,0.23181892166223964,0.8111771797014738,0.17667362906303094,0.7400299965514248,0.3122617258834084,1.1769052056575666
aldehydic,3556,41.32283464566929,"[""Aldehydes"", ""Musk"", ""Jasmine"", ""Rose"", ""Bergamot""]","{""winter"": 0.1712056148478458, ""spring"": 0.3119769814136177, ""summer"": 0.28895362920298423, ""autumn"": 0.22786377453555104}",summer,spring,1516,0.6853460188247821,0.31465398117521853,1177,Day leaning,Aldehydes,Musk,Jasmine,Rose,Bergamot,0.1712056148478458,0.8146588480534652,0.3119769814136177,1.0916650206992107,0.28895362920298423,1.2103354323825968,0.22786377453555104,0.8588118241932806
honey,3467,55.06951254687049,"[""Honey"", ""Vanilla"", ""Musk"", ""Amber"", ""Patchouli""]","{""winter"": 0.27228940647460326, ""spring"": 0.24486520405448808, ""summer"": 0.17085607868001942, ""autumn"": 0.3119893107908885}",winter,autumn,1582,0.5515229572933246,0.4484770427066757,1225,Neutral,Honey,Vanilla,Musk,Amber,Patchouli,0.27228940647460326,1.295652449324755,0.24486520405448808,0.8568285289556659,0.17085607868001942,0.7156621165644131,0.3119893107908885,1.1758784812340743
almond,3438,52.55061082024433,"[""Almond"", ""Vanilla"", ""Musk"", ""Sandalwood"", ""Heliotrope""]","{""winter"": 0.2713632865117341, ""spring"": 0.25115643242841007, ""summer"": 0.16964037608023366, ""autumn"": 0.3078399049796217}",winter,autumn,1733,0.5805212409035405,0.4194787590964606,1387,Neutral,Almond,Vanilla,Musk,Sandalwood,Heliotrope,0.2713632865117341,1.2912456322774237,0.25115643242841007,0.8788426978277455,0.16964037608023366,0.7105699225822198,0.3078399049796217,1.16023949350399
coconut,3269,59.025695931477514,"[""Coconut"", ""Vanilla"", ""Musk"", ""Sandalwood"", ""Jasmine""]","{""winter"": 0.16217080745924448, ""spring"": 0.27414726569509673, ""summer"": 0.35779641629465186, ""autumn"": 0.20588551055100648}",summer,summer,1610,0.6869558998334869,0.3130441001665131,1287,Day leaning,Coconut,Vanilla,Musk,Sandalwood,Jasmine,0.16217080745924448,0.7716679345479465,0.27414726569509673,0.9592918654562199,0.35779641629465186,1.4986961105676906,0.20588551055100648,0.7759763975281996
salty,2520,42.88174603174603,"[""Sea Notes"", ""Musk"", ""Salt"", ""Sea Salt"", ""Amber""]","{""winter"": 0.10366545443982429, ""spring"": 0.31402781364970145, ""summer"": 0.41282622007637676, ""autumn"": 0.1694805118340973}",summer,summer,1152,0.7340745466323167,0.2659254533676826,887,Day leaning,Sea Notes,Musk,Salt,Sea Salt,Amber,0.10366545443982429,0.49327809588453375,0.31402781364970145,1.098841261091404,0.41282622007637676,1.7291985670960877,0.1694805118340973,0.6387670345149274
metallic,2235,38.93288590604027,"[""Saffron"", ""Amber"", ""Musk"", ""Rose"", ""Patchouli""]","{""winter"": 0.3075654312905965, ""spring"": 0.22055543527365054, ""summer"": 0.13864843039437594, ""autumn"": 0.333230703041377}",winter,autumn,975,0.4648809506114947,0.5351190493885053,729,Night leaning,Saffron,Amber,Musk,Rose,Patchouli,0.3075654312905965,1.4635086599171618,0.22055543527365054,0.7717641626069771,0.13864843039437594,0.5807544567390133,0.333230703041377,1.255936660136052
cacao,2035,53.467321867321864,"[""Cacao"", ""Vanilla"", ""Tonka Bean"", ""Patchouli"", ""Amber""]","{""winter"": 0.3586694393886462, ""spring"": 0.17876061906420945, ""summer"": 0.10148400308495578, ""autumn"": 0.36108593846218817}",winter,autumn,974,0.47243583682481377,0.5275641631751863,765,Night leaning,Cacao,Vanilla,Tonka Bean,Patchouli,Amber,0.3586694393886462,1.706680196113984,0.17876061906420945,0.6255163891473431,0.10148400308495578,0.4250844161139133,0.36108593846218817,1.3609222182566465
sour,1912,13.080020920502092,"[""Fruity Notes"", ""Musk"", ""Floral Notes"", ""Red Berries"", ""Vanilla""]","{""winter"": 0.1531273665122731, ""spring"": 0.31280740877007546, ""summer"": 0.33575424619015354, ""autumn"": 0.19831097852749857}",summer,summer,693,0.72925296045382,0.27074703954618046,513,Day leaning,Fruity Notes,Musk,Floral Notes,Red Berries,Vanilla,0.1531273665122731,0.7286359394183082,0.31280740877007546,1.0945708392412357,0.33575424619015354,1.4063684261649532,0.19831097852749857,0.7474282104467803
conifer,1828,25.61597374179431,"[""Lime"", ""Cedar"", ""Pine"", ""Bergamot"", ""Musk""]","{""winter"": 0.1844121181701818, ""spring"": 0.28875661041240636, ""summer"": 0.27552155675807455, ""autumn"": 0.2513097146593379}",summer,spring,774,0.6711771918743145,0.32882280812568654,552,Neutral,Lime,Cedar,Pine,Bergamot,Musk,0.1844121181701818,0.8775002145177023,0.28875661041240636,1.0104126581857298,0.27552155675807455,1.1540727259571875,0.2513097146593379,0.947178878801578
coffee,1815,58.274931129476585,"[""Coffee"", ""Vanilla"", ""Patchouli"", ""Amber"", ""Musk""]","{""winter"": 0.35451128165729295, ""spring"": 0.1785168847618191, ""summer"": 0.0973626057339377, ""autumn"": 0.3696092278469507}",winter,autumn,900,0.4555706371546563,0.544429362845344,692,Night leaning,Coffee,Vanilla,Patchouli,Amber,Musk,0.35451128165729295,1.6868941628670056,0.1785168847618191,0.6246635178519724,0.0973626057339377,0.40782118512898313,0.3696092278469507,1.3930462437608107
cherry,1803,61.24403771491958,"[""Cherry"", ""Vanilla"", ""Musk"", ""Sandalwood"", ""Jasmine""]","{""winter"": 0.2615162288557618, ""spring"": 0.26118732123858146, ""summer"": 0.18557210573692065, ""autumn"": 0.291724344168737}",winter,autumn,887,0.5594865719454082,0.44051342805459176,689,Neutral,Cherry,Vanilla,Musk,Sandalwood,Jasmine,0.2615162288557618,1.2443897353264985,0.26118732123858146,0.9139426285693321,0.18557210573692065,0.7773029030809113,0.291724344168737,1.0995004216348265
soapy,1720,21.455813953488374,"[""Orange Blossom"", ""Jasmine"", ""Musk"", ""Aldehydes"", ""Lily-of-the-Valley""]","{""winter"": 0.13343167330790107, ""spring"": 0.36021753730335515, ""summer"": 0.31830400847246426, ""autumn"": 0.18804678091628074}",summer,spring,669,0.7390373289578227,0.2609626710421774,479,Day leaning,Orange Blossom,Jasmine,Musk,Aldehydes,Lily-of-the-Valley,0.13343167330790107,0.6349166373279651,0.36021753730335515,1.26046762660074,0.31830400847246426,1.3332748953050872,0.18804678091628074,0.7087427533470825
