역할,순위,화해 순위,브랜드,향수명,출시,국내 상품명,국내 브랜드 표기,지도 영역,영역 성격,대표 향,잘 맞는 계절,밤/낮,성별 표기,매칭 근거,상품 묶음 수,무신사,올리브영,롯데,지도 x,지도 y,fragrantica_id
지도 200,20,30,Calvin Klein,CK One,1994,씨케이원 EDT 50ML ‖ 캘빈클라인 CK One EDT 단품/기획 | 원 EDT ‖ CK 캘빈클라인 One EDT 어워즈 한정기획 (200ml),Calvin Klein,2,fresh spicy · aromatic · citrus,citrus(100) · green(60) · powdery(38),여름,낮 우세,공용,사람 검토,3,169,33,,0.8915,0.1726,276
지도 200,21,32,Chanel,Chance Eau Fraiche,2007,샹스 오 후레쉬 오 드 뚜왈렛,Chanel,2,fresh spicy · aromatic · citrus,woody(100) · citrus(96) · aromatic(46),여름,낮 우세,여성,사람 확정,1,,,,0.7288,0.2381,1483
지도 200,22,33,Ariana Grande,"Thank U, Next",2019,아리아나그란데 땡큐 넥스트 EDP 50ml | 땡큐 넥스트 EDP ‖ 아리아나그란데 땡큐 넥스트 EDP 30ml 단품/기획 중 택1,Ariana Grande,5,coconut · lactonic · vanilla,sweet(100) · coconut(50) · fruity(41),여름,낮 우세,여성,사람 확정,2,,31,,0.1542,0.5391,56741
지도 200,23,34,Chanel,Chanel N°5 Eau Premiere,2008,N°5 오 프르미에르 오 드 빠르펭,Chanel,6,white floral · animalic · fresh,woody(100) · aldehydic(98) · fresh(85),봄,낮 우세,여성,자동 판정,1,,,,0.3789,0.1009,1360
지도 200,24,36,Diptyque,Fleur de Peau,2018,오 드 퍼퓸 플레르 드 뽀,Diptyque,6,white floral · animalic · fresh,musky(100) · powdery(91) · aldehydic(52),,,공용,사람 확정,1,,,,0.3898,0.1839,131717
지도 200,25,37,Chanel,Allure Homme Sport,2004,알뤼르 옴므 스포츠 오 드 뚜왈렛,Chanel,2,fresh spicy · aromatic · citrus,citrus(100) · aromatic(55) · vanilla(53),여름,낮 우세,남성,사람 확정,1,,,,0.816,0.0619,607
지도 200,26,38,Ariana Grande,Sweet Like Candy,2016,"스위트 라이크 캔디 EDP 30ML | 아리아나그란데 스위트 라이크 캔디 EDP 50ml 기획(+맥세이프 하트 스마트톡) | 아리아나그란데 스위트 라이크 캔디 EDP 30ml 기획(+땡큐넥스트 1.5ml 바이알) | 스위트 라이크 캔디 EDP ‖ [단독기획] 아리아나그란데 스위트 라이크 캔디 EDP 30ml, 50ml, 100ml 중 택 1",Ariana Grande,5,coconut · lactonic · vanilla,sweet(100) · fruity(67) · vanilla(60),봄,낮 우세,여성,사람 확정,2,294,39,,0.1914,0.4979,39970
지도 200,27,39,Ariana Grande,Ari,2015,아리아나그란데 아리 EDP 30ml 기획(+땡큐넥스트 1.5ml 바이알) | 아리 EDP,Ariana Grande,1,fruity · rose · floral,sweet(100) · fruity(64) · powdery(42),봄,낮 우세,여성,자동 판정,1,,199,,0.1475,0.4679,31661
지도 200,28,40,Chanel,Coco Mademoiselle,2001,코코 마드모아젤 오 드 빠르펭,Chanel,2,fresh spicy · aromatic · citrus,citrus(100) · woody(47) · patchouli(46),봄,낮 우세,여성,사람 검토,1,,,,0.6349,0.1679,611
지도 200,29,41,Chanel,Chance Eau Vive,2015,샹스 오 비브 오 드 뚜왈렛,Chanel,2,fresh spicy · aromatic · citrus,citrus(100) · woody(32) · powdery(24),여름,낮 우세,여성,자동 판정,1,,,,0.7027,0.1577,30796
지도 200,30,42,Lancôme,Miracle,2000,미라클 오 드 퍼퓸,Lancôme,1,fruity · rose · floral,floral(100) · fresh spicy(79) · citrus(56),봄,낮 우세,여성,사람 검토,1,,,,0.1702,0.1494,184
지도 200,31,43,Tom Ford,Neroli Portofino,2011,네롤리 포르토피노 EDP,Tom Ford,2,fresh spicy · aromatic · citrus,citrus(100) · white floral(59) · aromatic(32),여름,낮 우세,공용,사람 확정,1,,,,0.6682,0.0692,12192
지도 200,32,44,Lanvin,Modern Princess Eau Sensuelle,2018,모던 프린세스 오 센슈얼 EDT,Lanvin,2,fresh spicy · aromatic · citrus,citrus(100) · powdery(59) · fruity(57),봄,낮 우세,여성,자동 판정,1,,,,0.2699,0.2479,48478
지도 200,33,45,Hermès,Un Jardin Sur Le Nil,2005,운 자르뎅 수르닐 오 드 뚜왈렛,Hermès,2,fresh spicy · aromatic · citrus,citrus(100) · aromatic(79) · floral(68),여름,낮 우세,공용,자동 판정,1,,,,0.8816,0.1739,18
지도 200,34,46,Yves Saint Laurent,Libre,2019,리브르 오 드 빠르펭 ‖ 리브르 오 드 뚜왈렛,Yves Saint Laurent,6,white floral · animalic · fresh,white floral(100) · citrus(73) · lavender(65),가을,비슷,여성,사람 검토,2,,,,0.4393,0.0368,56077
지도 200,35,47,Jo Malone London,English Oak & Hazelnut,2017,잉글리쉬 오크 앤 헤이즐넛 코롱,Jo Malone London,0,earthy · green · aromatic,woody(100) · nutty(28) · aromatic(13),가을,낮 우세,공용,사람 확정,1,,,,0.7715,0.465,46187
지도 200,36,48,Gucci,Flora Gorgeous Gardenia,2021,플로라 오 드 퍼퓸 [골저스가드니아],Gucci,6,white floral · animalic · fresh,white floral(100) · floral(73) · sweet(66),봄,낮 우세,여성,사람 확정,1,,,,0.1882,0.3303,68578
지도 200,37,49,Byredo,Mojave Ghost,2014,모하비 고스트 오 드 퍼퓸,Byredo,1,fruity · rose · floral,floral(100) · woody(72) · powdery(71),봄,낮 우세,공용,사람 확정,1,,,,0.282,0.2217,27040
지도 200,38,50,Chanel,Chance Eau Tendre Eau de Parfum,2019,샹스 오 땅드르 오 드 빠르펭,Chanel,1,fruity · rose · floral,rose(100) · citrus(89) · fruity(89),봄,낮 우세,여성,사람 확정,1,,,,0.1478,0.1994,52359
지도 200,39,52,Jimmy Choo,Jimmy Choo Blossom,2015,블러썸 EDP 40ML | 지미추 블러썸 EDP (40ml/60ml) | 지미추 블러썸 EDP 40ml | 블러썸 EDP,Jimmy Choo,1,fruity · rose · floral,fruity(100) · sweet(78) · rose(33),봄,낮 우세,여성,사람 검토,1,324,107,,0.1447,0.4241,29165
지도 200,40,53,Le Labo,Santal 33,2011,상탈 33 EDP,Le Labo,0,earthy · green · aromatic,woody(100) · powdery(52) · leather(42),가을,낮 우세,공용,자동 판정,1,,,,0.6884,0.4776,12201
지도 200,41,54,Lanvin,Marry Me,2010,랑방 메리미 EDP 50ml | 랑방 메리미 EDP 30ml | 메리미 EDP,Lanvin,1,fruity · rose · floral,floral(100) · citrus(74) · white floral(70),봄,낮 우세,여성,자동 판정,1,,87,,0.197,0.1168,9405
지도 200,42,55,Aesop,Rozu,2020,로즈 오 드 퍼퓸,Aesop,0,earthy · green · aromatic,woody(100) · aromatic(64) · rose(63),가을,비슷,공용,사람 확정,1,,,,0.8476,0.4756,64167
지도 200,43,56,Huxley,Moroccan Gardener,,퍼퓸 [모로칸가드너],Huxley,6,white floral · animalic · fresh,white floral(100) · green(55) · musky(50),,,공용,자동 판정,1,,,,0.2625,0.0445,131985
지도 200,44,57,Jo Malone London,English Pear & Freesia,2010,잉글리쉬 페어 앤 프리지아 코롱,Jo Malone London,1,fruity · rose · floral,floral(100) · fruity(83) · rose(58),봄,낮 우세,여성,자동 판정,1,,,,0.0744,0.2883,10314
지도 200,45,58,Salvatore Ferragamo,Incanto Charms,2006,인칸토 참 오 드 뚜왈렛,Salvatore Ferragamo,1,fruity · rose · floral,white floral(100) · fruity(97) · tropical(76),여름,낮 우세,여성,사람 확정,1,,,,0.2165,0.3699,653
지도 200,46,59,Lanvin,Jeanne Lanvin,2008,랑방 잔느 EDP 30ml | 랑방 잔느 EDP 50ml | 잔느 EDP,Lanvin,1,fruity · rose · floral,fruity(100) · sweet(58) · rose(41),봄,낮 우세,여성,사람 검토,1,,44,,0.116,0.3943,3779
지도 200,47,61,Estée Lauder,Pleasures,1995,플레져 오 드 퍼퓸 스프레이,Estée Lauder,6,white floral · animalic · fresh,floral(100) · white floral(93) · fresh(73),봄,낮 우세,여성,사람 확정,1,,,,0.1963,0.0336,536
지도 200,48,62,Clean,Pure Soap,2021,퓨어솝 EDP 60ML | 퓨어솝 EDP 30ML | 퓨어솝 EDP ‖ 클린 퓨어솝 EDP 30ml/60ml 2종 중 택1,Clean,6,white floral · animalic · fresh,white floral(100) · aldehydic(82) · citrus(78),여름,낮 우세,공용,사람 확정,2,68,150,,0.418,0.105,68416
지도 200,49,63,Versace,Bright Crystal,2006,브라이트 크리스탈 EDT 30ML + 베르사체 향수샘플 (쇼핑백증정)] | 브라이트 크리스탈 EDT 90ml | [베르사체] 브라이트 크리스탈 오드뚜왈렛 90ml (+ 미니어처 1종) | [베르사체] 브라이트 크리스탈 오드뚜왈렛 90ml (미니어처 1종) | [베르사체] 브라이트 크리스탈 오드뚜왈렛 50ml (미니어처 1종) | [베르사체] 브라이트 크리스탈 오드뚜왈렛 50ml (+ 미니어처 1종) ‖ [베르사체] 브라이트 크리스탈 EDT 90ml (미니어처1종 랜덤증정) | [베르사체] 브라이트 크리스탈 EDT 50ml (미니어처1종 랜덤증정) | 브라이트 크리스탈 EDT,Versace,1,fruity · rose · floral,floral(100) · citrus(43) · fresh(43),봄,낮 우세,여성,사람 확정,2,35,,8,0.1002,0.1543,632
지도 200,50,64,Gucci,Gucci Bloom,2017,블룸 오 드 퍼퓸,Gucci,6,white floral · animalic · fresh,white floral(100) · tuberose(56) · floral(20),봄,낮 우세,여성,사람 검토,1,,,,0.3534,0.007,44894
지도 200,51,65,Byredo,Gypsy Water,2008,집시 워터 오 드 퍼퓸,Byredo,2,fresh spicy · aromatic · citrus,woody(100) · aromatic(86) · fresh spicy(63),봄,낮 우세,공용,사람 확정,1,,,,0.8075,0.3525,3575
지도 200,52,66,Jo Malone London,Wild Bluebell,2011,와일드 블루벨 코롱,Jo Malone London,3,animalic · musky · balsamic,powdery(100) · musky(98) · green(95),봄,낮 우세,여성,사람 확정,1,,,,0.3868,0.2825,12310
지도 200,53,69,Yves Saint Laurent,Mon Paris,2016,몽 파리 오 드 빠르펭,Yves Saint Laurent,1,fruity · rose · floral,fruity(100) · sweet(79) · fresh(32),봄,낮 우세,여성,사람 검토,1,,,,0.1637,0.4088,38914
지도 200,54,70,Santa Maria Novella,Angeli di Firenze,2006,피렌체 1221 에디션 엔젤 디 피렌체 오드코롱,Santa Maria Novella,1,fruity · rose · floral,fruity(100) · powdery(69) · ozonic(64),여름,낮 우세,공용,자동 판정,1,,,,0.0756,0.3153,73661
지도 200,55,72,Ariana Grande,Cloud,2018,아리아나그란데 클라우드 EDP 50ml | 클라우드 EDP,Ariana Grande,5,coconut · lactonic · vanilla,sweet(100) · lactonic(49) · vanilla(43),겨울,낮 우세,여성,자동 판정,1,,112,,0.1732,0.5534,50384
지도 200,56,73,Byredo,Inflorescence,2013,인플로레센스 오 드 퍼퓸,Byredo,6,white floral · animalic · fresh,white floral(100) · floral(83) · fresh(46),봄,낮 우세,여성,사람 확정,1,,,,0.2261,0.0416,17798
지도 200,57,75,Chanel,Gabrielle Essence,2019,가브리엘 에쌍스 오 드 빠르펭,Chanel,6,white floral · animalic · fresh,white floral(100) · citrus(42) · fruity(35),봄,낮 우세,여성,자동 판정,1,,,,0.3866,0.0053,56076
지도 200,58,76,Jo Malone London,Red Roses,2001,레드 로즈 코롱,Jo Malone London,1,fruity · rose · floral,rose(100) · floral(30) · citrus(29),봄,낮 우세,여성,자동 판정,1,,,,0.0094,0.158,5484
지도 200,59,77,Jo Malone London,Lime Basil & Mandarin,1999,라임 바질 앤 만다린 코롱,Jo Malone London,2,fresh spicy · aromatic · citrus,citrus(100) · aromatic(71) · fresh spicy(69),여름,낮 우세,공용,사람 확정,1,,,,0.8565,0.1986,5585
지도 200,60,78,Sennok,After Bath,,퍼퓸 애프터배스 50ml | 퍼퓸 [애프터배스],Sennok,2,fresh spicy · aromatic · citrus,aromatic(100) · woody(91) · fresh spicy(84),,,공용,자동 판정,1,45,,,0.8997,0.39,109563
지도 200,61,79,Calvin Klein,CK All,2017,캘빈클라인 CK 올 EDT 100ml | 씨케이 올 EDT,Calvin Klein,2,fresh spicy · aromatic · citrus,citrus(100) · white floral(72) · aromatic(34),여름,낮 우세,공용,자동 판정,1,,41,,0.62,0.062,42944
지도 200,62,81,Dior,J'adore Parfum d'Eau,2022,쟈도르 퍼퓸 도,Dior,6,white floral · animalic · fresh,white floral(100) · floral(62) · green(51),봄,낮 우세,여성,자동 판정,1,,,,0.231,0.0278,75642
지도 200,63,84,Montblanc,Legend,2011,몽블랑 레전드 EDT 30ml/50ml 중 택1 ‖ 몽블랑 레전드 EDT 30ml | 레전드 오 드 뚜왈렛,Montblanc,1,fruity · rose · floral,fruity(100) · sweet(88) · aromatic(74),봄,낮 우세,남성,사람 검토,2,,71,,0.6702,0.2786,11784
지도 200,64,85,Burberry,My Burberry,2014,마이 버버리 오드퍼퓸,Burberry,1,fruity · rose · floral,floral(100) · sweet(58) · citrus(53),가을,낮 우세,여성,사람 검토,1,,,,0.0933,0.1749,25836
지도 200,65,86,Calvin Klein,CK be,1996,캘빈클라인 CK 비 EDT 3종 택1 (50ml/100ml/200ml) | 비 오 드 뚜왈렛,Calvin Klein,2,fresh spicy · aromatic · citrus,green(100) · aromatic(73) · woody(67),여름,낮 우세,공용,자동 판정,1,,30,,0.9767,0.3021,275
지도 200,66,87,Tamburins,Pumkini,2025,에그 퍼퓸 [펌키니],Tamburins,2,fresh spicy · aromatic · citrus,fresh spicy(100) · coconut(90) · aromatic(87),가을,낮 우세,공용,자동 판정,1,,,,0.7892,0.2876,108962
지도 200,67,88,Clean,Cool Cotton,2013,클리어 쿨 코튼 EDP 60ML | 클리어 쿨 코튼 EDP 30ML ‖ 클래식 쿨 코튼 EDP 60ML | 쿨 코튼 오 드 퍼퓸,Clean,2,fresh spicy · aromatic · citrus,powdery(100) · citrus(89) · green(54),여름,낮 우세,공용,사람 검토,2,89,,,0.9846,0.2301,23032
지도 200,68,90,Frederic Malle,Portrait of a Lady,2010,포트레이트 오브 어 레이디,Frederic Malle,0,earthy · green · aromatic,warm spicy(100) · amber(77) · rose(72),가을,밤 우세,여성,사람 확정,1,,,,0.5169,0.4544,10464
지도 200,69,91,Jo Malone London,Peony & Blush Suede,2013,피오니 앤 블러쉬 스웨이드 코롱,Jo Malone London,1,fruity · rose · floral,floral(100) · rose(73) · fresh(69),봄,낮 우세,여성,사람 확정,1,,,,0.0615,0.1272,18767
지도 200,70,93,Dior,Dior Homme Cologne 2022,2022,옴므 코롱,Dior,2,fresh spicy · aromatic · citrus,citrus(100) · musky(44) · fresh spicy(38),여름,낮 우세,남성,사람 검토,1,,,,0.6656,0.0942,72062
지도 200,71,94,Yves Saint Laurent,Mon Paris Lumière,2022,몽파리 오 드 뚜왈렛 루미에르,Yves Saint Laurent,6,white floral · animalic · fresh,white floral(100) · floral(89) · rose(73),봄,낮 우세,여성,사람 확정,1,,,,0.2327,0.1075,72606
지도 200,72,95,Dior,Sauvage,2015,소바쥬 오 드 뚜왈렛,Dior,2,fresh spicy · aromatic · citrus,fresh spicy(100) · amber(59) · citrus(56),봄,비슷,남성,사람 확정,1,,,,0.8626,0.3251,31861
지도 200,73,96,Jo Malone London,Earl Grey & Cucumber,2022,얼 그레이 앤 큐컴버 코롱,Jo Malone London,2,fresh spicy · aromatic · citrus,green(100) · citrus(90) · ozonic(67),봄,낮 우세,공용,자동 판정,1,,,,0.9571,0.2391,79437
지도 200,74,97,Montblanc,Explorer,2019,익스플로러 EDP 100ML | 익스플로러 EDP 30ML | 익스플로러 EDP 60ML | 몽블랑 익스플로러 EDP (30ml/60ml/100ml) | 몽블랑 익스플로러 EDP 100ml | 몽블랑 익스플로러 EDP 30ml | 익스플로러 오 드 퍼퓸,Montblanc,2,fresh spicy · aromatic · citrus,woody(100) · citrus(96) · aromatic(82),봄,낮 우세,남성,자동 판정,1,71,25,,0.8605,0.321,52002
지도 200,75,98,Prada,Prada Candy,2011,캔디 EDP,Prada,3,animalic · musky · balsamic,caramel(100) · powdery(73) · amber(51),가을,낮 우세,여성,사람 검토,1,,,,0.3978,0.2857,12426
지도 200,76,99,Lanvin,Rumeur 2 Rose,2006,루머2 로즈 EDP,Lanvin,2,fresh spicy · aromatic · citrus,citrus(100) · rose(33) · floral(26),봄,낮 우세,여성,자동 판정,1,,,,0.7091,0.1049,2271
지도 200,77,100,Diptyque,Philosykos Eau de Parfum,1996,오 드 퍼퓸 필로시코스,Diptyque,1,fruity · rose · floral,green(100) · woody(75) · sweet(45),여름,낮 우세,공용,사람 확정,1,,,,0.3399,0.5393,3865
지도 200,78,,John Varvatos,Artisan,2009,아티산 EDT 75ML | 아티산 EDT 125ML ‖ 존바바토스 아티산 EDT 40ml 단품/기획 중 택1,John Varvatos,2,fresh spicy · aromatic · citrus,citrus(100) · white floral(52) · sweet(41),여름,낮 우세,남성,사람 검토,2,42,34,,0.7246,0.0712,5534
지도 200,79,,Versace,Versace Man Eau Fraiche,2006,베르사체 오프레쉬 맨 30ml 기획(+5ml 미니어처) ‖ [베르사체] 오프레쉬 맨 EDT 100ml (미니어처 1종) | [베르사체] 오프레쉬 맨 오드뚜왈렛 100ml (+ 미니어처 1종) | [베르사체] 오프레쉬 맨 EDT 50ml (미니어처 1종) | [베르사체] 오 프레쉬 맨 오드뚜왈렛 50ml (+ 미니어처 1종) ‖ [베르사체] 오프레쉬 맨 오드뚜왈렛 100ml (미니어처1종 랜덤증정) | [베르사체] 오프레쉬 맨 오드뚜왈렛 50ml (미니어처1종 랜덤증정),Versace,2,fresh spicy · aromatic · citrus,citrus(100) · aromatic(63) · woody(54),여름,낮 우세,남성,자동 판정,3,,186,15,0.8041,0.2092,644
지도 200,80,,Montale,Chocolate Greedy,2007,[몽탈] 초콜릿 그리디 오드퍼퓸 100ml (바이알 3종),Montale,5,coconut · lactonic · vanilla,vanilla(100) · cacao(90) · warm spicy(77),겨울,비슷,공용,자동 판정,1,,,2,0.403,0.4741,2186
지도 200,81,,Versace,Eros Energy,2024,[베르사체] 에로스 에너지 EDP 100ml (미니어처 1종) | [베르사체] 에로스 에너지 EDP 50ml (미니어처 1종) | [베르사체] 에로스 에너지 오드퍼퓸 100ml (+ 미니어처 1종) | [베르사체] 에로스 에너지 오드퍼퓸 50ml (+ 미니어처 1종) ‖ [베르사체] 에로스 에너지 EDP 100ml (미니어처1종 랜덤증정) | [베르사체] 에로스 에너지 EDP 50ml (미니어처1종 랜덤증정),Versace,2,fresh spicy · aromatic · citrus,citrus(100) · aromatic(18) · fresh spicy(18),여름,낮 우세,남성,자동 판정,2,,,3,0.7583,0.1171,92647
지도 200,82,,Jaguar,Jaguar Classic Electric Sky,2020,재규어 클래식 일렉트릭 스카이 오드뚜왈렛 100ml,Jaguar,2,fresh spicy · aromatic · citrus,fresh spicy(100) · aromatic(94) · citrus(73),봄,낮 우세,남성,자동 판정,1,,,4,0.9248,0.3396,65792
지도 200,83,,Lalique,Soleil Lunar,2024,라리끄 솔레이 루나 오드퍼퓸 100ml | 라리끄 솔레이 루나 오드퍼퓸 30ml,Lalique,1,fruity · rose · floral,floral(100) · musky(93) · citrus(64),가을,낮 우세,여성,사람 확정,1,,,5,0.2517,0.1862,96192
지도 200,84,,Mancera,Aoud Lemon Mint,2016,[만세라] 오드 레몬 민트 오드퍼퓸 60ml (바이알 3종) | [만세라] 오드 레몬 민트 오드퍼퓸 120ml (바이알 3종),Mancera,2,fresh spicy · aromatic · citrus,citrus(100) · aromatic(82) · oud(80),봄,낮 우세,공용,자동 판정,1,,,6,0.8253,0.1465,39181
지도 200,85,,Parfums Berdoues,Azur Riviera,2019,[베르두콜렉션] 그랑크뤼 아주르 리비에라 EDP 100ml | 베르두콜렉션 그랑크뤼 아주르 리비에라 EDP 100ml,Parfums Berdoues,4,salty · marine · aquatic,marine(100) · white floral(77) · aquatic(44),여름,낮 우세,공용,자동 판정,1,,,7,0.8382,0.0026,53671
지도 200,86,,Banana Republic,Metal Rain,2020,바나나리퍼블릭 메탈레인 오드퍼퓸 30ml | 바나나리퍼블릭 메탈레인 오드퍼퓸 75ml,Banana Republic,2,fresh spicy · aromatic · citrus,woody(100) · ozonic(78) · musky(62),봄,낮 우세,공용,자동 판정,1,,,9,0.9973,0.3109,64022
지도 200,87,,Nishane,Fan Your Flames,2016,[니샤네] 팬 유어 플레임즈 엑스트레 드 퍼퓸 50ml (바이알 3종) | [니샤네] 팬 유어 플레임즈 엑스트레 드 퍼퓸 50ml (+바이알3종),Nishane,5,coconut · lactonic · vanilla,sweet(100) · coconut(84) · woody(80),겨울,밤 우세,공용,자동 판정,1,,,10,0.1845,0.5583,37603
지도 200,88,,Banana Republic,Midnight Hour,2022,바나나리퍼블릭 미드나잇 아워 오드퍼퓸 75ml,Banana Republic,1,fruity · rose · floral,fresh spicy(100) · soft spicy(89) · green(86),봄,비슷,공용,사람 확정,1,,,11,0.2966,0.4103,74740
지도 200,89,,Banana Republic,90 Pure White,2017,[바나나리퍼블릭] 퓨어 화이트 오드퍼퓸 30ml | [바나나리퍼블릭] 퓨어 화이트 오드퍼퓸 75ml,Banana Republic,2,fresh spicy · aromatic · citrus,citrus(100) · musky(84) · green(72),여름,낮 우세,공용,사람 확정,1,,,12,1.0,0.2948,45029
지도 200,90,,BMW Fragrances,Bergamood,2025,[BMW] 더 센트 오브 베르가무드 오드퍼퓸 100ml | [BMW] 더 센트 오브 베르가무드 오드퍼퓸 50ml | [비엠더블유] 더 센트 오브 베르가무드 오드퍼퓸 100ml | [비엠더블유] 더 센트 오브 베르가무드 오드퍼퓸 50ml ‖ 비엠더블유 베르가무드 오드퍼퓸 50ml | 비엠더블유 베르가무드 오드퍼퓸 100ml,BMW Fragrances,2,fresh spicy · aromatic · citrus,citrus(100) · aromatic(43) · fresh spicy(43),여름,,공용,사람 확정,2,,,13,0.7953,0.1701,106298
지도 200,91,,Rance 1795,Le Vainqueur,2005,[랑세] 르방케 오드퍼퓸 포 맨 50ml (바이알3종) | [랑세] 르방케 오드퍼퓸 포 맨 100ml (바이알3종) ‖ [랑세] 르방케 오드퍼퓸 포 맨 100ml (바이알 3종),Rance 1795,2,fresh spicy · aromatic · citrus,fresh spicy(100) · citrus(83) · ozonic(76),봄,낮 우세,남성,자동 판정,2,,,14,0.971,0.3579,1923
