source,source_rank,source_product_id,product_name_raw,product_url,first_pass_cleaning_rule,first_pass_option_type,manual_check_reason,manual_check_question
musinsa,127,6239517,오드퍼퓸 50ml,https://www.musinsa.com/products/6239517,identity_unclear,NONE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
musinsa,132,6257932,오 드 퍼퓸 50mL,https://www.musinsa.com/products/6257932,identity_unclear,NONE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
musinsa,142,6292056,퍼시픽 락 모스 10ml,https://www.musinsa.com/products/6292056,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,152,6210281,스파클링 딜라이트 50ml,https://www.musinsa.com/products/6210281,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,165,5690889,시그니처 퍼퓸 15ml,https://www.musinsa.com/products/5690889,identity_unclear,NONE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
musinsa,179,2657732,1725 카사노바 60ml,https://www.musinsa.com/products/2657732,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,202,3146377,아뜰리에페이 오스만투스 러브 30ml,https://www.musinsa.com/products/3146377,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,209,3620385,아이리스 솝 50ml,https://www.musinsa.com/products/3620385,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,211,3822886,어스 리프레싱 오 파퓨메 벨머스크 1753 30ml,https://www.musinsa.com/products/3822886,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,220,6257934,더 블룸 컬렉션 오 드 퍼퓸 30mL,https://www.musinsa.com/products/6257934,identity_unclear,NONE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
musinsa,224,4733521,퍼퓸 스프레이 포레스트블루,https://www.musinsa.com/products/4733521,unclear_use,NONE,퍼퓸 스프레이·멀티 프래그런스·미스트만으로 인체용 일반 향수인지 공간/섬유용인지 구별할 수 없다.,"사용 부위가 피부인가, 공간/섬유인가? 제품 제형이 일반 액상 향수에 해당하는가?"
musinsa,237,4733548,퍼퓸 스프레이 웜그레이,https://www.musinsa.com/products/4733548,unclear_use,NONE,퍼퓸 스프레이·멀티 프래그런스·미스트만으로 인체용 일반 향수인지 공간/섬유용인지 구별할 수 없다.,"사용 부위가 피부인가, 공간/섬유인가? 제품 제형이 일반 액상 향수에 해당하는가?"
musinsa,243,3164686,라잉 아카시아 50ml,https://www.musinsa.com/products/3164686,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,254,5690982,시그니처 퍼퓸 50ml,https://www.musinsa.com/products/5690982,identity_unclear,NONE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
musinsa,269,6585643,에어 오아시스 프래그런스 워터 칠 위드 60ml (+이노센트 타임 2ml 2개 증정),https://www.musinsa.com/products/6585643,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,272,5084571,A/O. Multi Fragrance (TIDE),https://www.musinsa.com/products/5084571,unclear_use,NONE,퍼퓸 스프레이·멀티 프래그런스·미스트만으로 인체용 일반 향수인지 공간/섬유용인지 구별할 수 없다.,"사용 부위가 피부인가, 공간/섬유인가? 제품 제형이 일반 액상 향수에 해당하는가?"
musinsa,273,4733531,퍼퓸 스프레이 오키드허쉬,https://www.musinsa.com/products/4733531,unclear_use,NONE,퍼퓸 스프레이·멀티 프래그런스·미스트만으로 인체용 일반 향수인지 공간/섬유용인지 구별할 수 없다.,"사용 부위가 피부인가, 공간/섬유인가? 제품 제형이 일반 액상 향수에 해당하는가?"
musinsa,288,6292098,보헤미안 라임 10ml,https://www.musinsa.com/products/6292098,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,296,5352161,[SET] 스테이퍼퓸 기획세트 (향수 본품 80ml+핸드크림30ml),https://www.musinsa.com/products/5352161,identity_unclear,NONE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
musinsa,298,5082299,데오 드 콘크리트 퍼퓸 스프레이,https://www.musinsa.com/products/5082299,unclear_use,NONE,퍼퓸 스프레이·멀티 프래그런스·미스트만으로 인체용 일반 향수인지 공간/섬유용인지 구별할 수 없다.,"사용 부위가 피부인가, 공간/섬유인가? 제품 제형이 일반 액상 향수에 해당하는가?"
musinsa,299,4733598,퍼퓸 스프레이 단델리온,https://www.musinsa.com/products/4733598,unclear_use,NONE,퍼퓸 스프레이·멀티 프래그런스·미스트만으로 인체용 일반 향수인지 공간/섬유용인지 구별할 수 없다.,"사용 부위가 피부인가, 공간/섬유인가? 제품 제형이 일반 액상 향수에 해당하는가?"
musinsa,331,2657715,디스이즈낫어블루보틀 1.2 60ml,https://www.musinsa.com/products/2657715,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
musinsa,340,5043057,퍼퓸드 미스트 베르가못 앤 화이트 로즈 120ml,https://www.musinsa.com/products/5043057,unclear_use,NONE,퍼퓸 스프레이·멀티 프래그런스·미스트만으로 인체용 일반 향수인지 공간/섬유용인지 구별할 수 없다.,"사용 부위가 피부인가, 공간/섬유인가? 제품 제형이 일반 액상 향수에 해당하는가?"
musinsa,350,3327624,퍼퓸 스프레이 기프트세트 900ml,https://www.musinsa.com/products/3327624,unclear_use,NONE,퍼퓸 스프레이·멀티 프래그런스·미스트만으로 인체용 일반 향수인지 공간/섬유용인지 구별할 수 없다.,"사용 부위가 피부인가, 공간/섬유인가? 제품 제형이 일반 액상 향수에 해당하는가?"
oliveyoung,4,A000000202395,[NEW/기획] 아뜰리에페이 퍼퓸 중 택 1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202395&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=4,option_unknown,UNKNOWN,택1/N종/묶음 표기는 있으나 향·용량·구성 중 무엇을 선택하는지 확정할 수 없다.,"상세 옵션명이 향, 용량, 단품/기획 중 무엇이며 모든 옵션에서 동일한 향수 정체성이 유지되는가?"
oliveyoung,7,A000000204767,[리뷰 이벤트]센녹 퍼퓸 10ml/30ml/50ml 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204767&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=7,option_unknown,UNKNOWN,택1/N종/묶음 표기는 있으나 향·용량·구성 중 무엇을 선택하는지 확정할 수 없다.,"상세 옵션명이 향, 용량, 단품/기획 중 무엇이며 모든 옵션에서 동일한 향수 정체성이 유지되는가?"
oliveyoung,11,A000000189934,[단독기획/단품] 롱테이크 오드퍼퓸 20ML + 헤어오일 15ML(샌달우드/블랙티앤피그/로즈리메인즈/바질),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189934&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=11,option_mixed,MIXED,일반 액상 향수와 다른 제품/옵션의 대응 관계가 상품명만으로 분리되지 않는다.,"선택 가능한 모든 옵션과 각 옵션의 제품 유형·향수명을 확인하고, 판매순위를 개별 액상 향수에 귀속할 근거가 있는가?"
oliveyoung,12,A000000237852,[원필PICK] 애프터블로우 솔리드/오 드 퍼퓸 20종 택1 (단품/기획),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000237852&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=12,mixed_product_types,MIXED,일반 액상 향수와 다른 제품/옵션의 대응 관계가 상품명만으로 분리되지 않는다.,"선택 가능한 모든 옵션과 각 옵션의 제품 유형·향수명을 확인하고, 판매순위를 개별 액상 향수에 귀속할 근거가 있는가?"
oliveyoung,15,A000000267382,[NEW] 아뜰리에페이 퍼퓸 30ml / 헤어퍼퓸 30ml 중 택 1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000267382&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=15,mixed_product_types,MIXED,일반 액상 향수와 다른 제품/옵션의 대응 관계가 상품명만으로 분리되지 않는다.,"선택 가능한 모든 옵션과 각 옵션의 제품 유형·향수명을 확인하고, 판매순위를 개별 액상 향수에 귀속할 근거가 있는가?"
oliveyoung,16,A000000176260,[기획/1등퍼퓸] 헉슬리 퍼퓸 / 헤어퍼퓸 택 1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000176260&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=16,mixed_product_types,MIXED,일반 액상 향수와 다른 제품/옵션의 대응 관계가 상품명만으로 분리되지 않는다.,"선택 가능한 모든 옵션과 각 옵션의 제품 유형·향수명을 확인하고, 판매순위를 개별 액상 향수에 귀속할 근거가 있는가?"
oliveyoung,26,A000000199659,로이비 오드퍼퓸 롤온 7.5ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199659&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=26,identity_unclear,NONE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
oliveyoung,46,A000000230142,[김재원PICK] 아디다스 향수 9종 & 미스트 4종 (단품/기획),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230142&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=46,mixed_product_types,MIXED,일반 액상 향수와 다른 제품/옵션의 대응 관계가 상품명만으로 분리되지 않는다.,"선택 가능한 모든 옵션과 각 옵션의 제품 유형·향수명을 확인하고, 판매순위를 개별 액상 향수에 귀속할 근거가 있는가?"
oliveyoung,53,A000000187658,버버리 브릿쉬어 50ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000187658&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=53,product_type_unconfirmed,NONE,제품명과 용량만으로 일반 액상 향수임을 확인할 수 없고 같은 상품의 로컬 보강 근거도 없다.,상품 유형과 사용 부위는 무엇이며 EDP/EDT/Parfum 등 일반 액상 향수인가?
oliveyoung,77,A000000218512,[고발향/니치향수] 누다라 향수&샤쉐&미니샤쉐 10종,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218512&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=77,mixed_product_types,MIXED,일반 액상 향수와 다른 제품/옵션의 대응 관계가 상품명만으로 분리되지 않는다.,"선택 가능한 모든 옵션과 각 옵션의 제품 유형·향수명을 확인하고, 판매순위를 개별 액상 향수에 귀속할 근거가 있는가?"
oliveyoung,94,A000000113251,필로소피 EDT 60ml 단품/기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000113251&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=94,identity_unclear,PACKAGE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
oliveyoung,106,A000000000600,베르사체 브라이트 크리스탈 3종 택1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000000600&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=106,option_unknown,UNKNOWN,택1/N종/묶음 표기는 있으나 향·용량·구성 중 무엇을 선택하는지 확정할 수 없다.,"상세 옵션명이 향, 용량, 단품/기획 중 무엇이며 모든 옵션에서 동일한 향수 정체성이 유지되는가?"
oliveyoung,174,A000000171370,로이비 오드퍼퓸 50ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171370&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=174,identity_unclear,NONE,상품명에 개별 향수명 또는 판매 옵션별 향수명이 부족하다.,"정확한 향수명과 농도는 무엇이며, 한 상품 ID에 서로 다른 향 선택이 포함되는가?"
oliveyoung,176,A000000106821,베르사체 에로스 EDT 50ml 택1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000106821&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=176,option_unknown,UNKNOWN,택1/N종/묶음 표기는 있으나 향·용량·구성 중 무엇을 선택하는지 확정할 수 없다.,"상세 옵션명이 향, 용량, 단품/기획 중 무엇이며 모든 옵션에서 동일한 향수 정체성이 유지되는가?"
oliveyoung,226,A000000230677,베르사체 에로스 5종 택1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230677&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=226,option_unknown,UNKNOWN,택1/N종/묶음 표기는 있으나 향·용량·구성 중 무엇을 선택하는지 확정할 수 없다.,"상세 옵션명이 향, 용량, 단품/기획 중 무엇이며 모든 옵션에서 동일한 향수 정체성이 유지되는가?"
oliveyoung,255,A000000208710,에이딕트 솔리드&오드 퍼퓸 중 택1(단품/기획),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208710&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=255,mixed_product_types,MIXED,일반 액상 향수와 다른 제품/옵션의 대응 관계가 상품명만으로 분리되지 않는다.,"선택 가능한 모든 옵션과 각 옵션의 제품 유형·향수명을 확인하고, 판매순위를 개별 액상 향수에 귀속할 근거가 있는가?"
oliveyoung,312,A000000198260,[임현주PICK] 루에브르 오 드 퍼퓸 50ml/14ml 2종 택 1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198260&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=312,option_unknown,UNKNOWN,택1/N종/묶음 표기는 있으나 향·용량·구성 중 무엇을 선택하는지 확정할 수 없다.,"상세 옵션명이 향, 용량, 단품/기획 중 무엇이며 모든 옵션에서 동일한 향수 정체성이 유지되는가?"
oliveyoung,314,A000000199812,[NEW] 필로소피 어메이징 그레이스 인텐스 EDP 2종 택 1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199812&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=314,option_unknown,UNKNOWN,택1/N종/묶음 표기는 있으나 향·용량·구성 중 무엇을 선택하는지 확정할 수 없다.,"상세 옵션명이 향, 용량, 단품/기획 중 무엇이며 모든 옵션에서 동일한 향수 정체성이 유지되는가?"
oliveyoung,343,A000000215987,메모 퍼퓸 베스트 택1 (100ml/75ml/30ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000215987&dispCatNo=100000100050013&trackingCd=Cat100000100050013_Small&t_page=카테고리관&t_click=향수_전체__상품상세&t_number=343,option_unknown,UNKNOWN,택1/N종/묶음 표기는 있으나 향·용량·구성 중 무엇을 선택하는지 확정할 수 없다.,"상세 옵션명이 향, 용량, 단품/기획 중 무엇이며 모든 옵션에서 동일한 향수 정체성이 유지되는가?"
