query_id,query_text,selection_reason,gold_scent,gold_context,gold_performance,gold_avoid,gold_additional,extended_scent,extended_context,extended_performance,extended_avoid,extended_additional,llm_scent,llm_context,llm_performance,llm_avoid,llm_additional,extended_exact,llm_exact,avoid_exact,additional_exact,avoid_normalized_equal,additional_normalized_equal,avoid_item_count_gold,avoid_item_count_llm,additional_item_count_gold,additional_item_count_llm,diff_fields,manual_decision,manual_issue_type,manual_comment
UQ0027,지나갈 때 은은하게 좋은 냄새가 나는 정도의 향수를 찾고 있어.,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""지나갈 때 은은"",""좋은 냄새""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],"[""지나갈 때 은은하게 좋은 냄새가 나는 정도""]",False,False,True,False,True,False,0,0,2,1,performance|additional,SURFACE_MISMATCH,ADDITIONAL_SEGMENTATION,[AI 초안] gold 지나갈 때 은은/좋은 냄새 2개 vs llm 1개 긴 구
UQ0030,사람 많은 곳에서도 너무 강하게 느껴지지 않는 은은한 향수를 추천해줘.,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}","[""강하게""]","[""사람 많은 곳"",""은은한""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],"[""사람 많은 곳에서도 너무 강하게 느껴지지 않는 향""]",False,False,False,False,False,False,1,0,2,1,avoid|additional,GOLD_ERROR,OTHER_GOLD_ERROR,[검토 반영] gold avoid의 '강하게'는 강도 조건이지 향이 아니다. additional이 맞고 llm이 옳다
UQ0032,향수 냄새가 강하면 머리가 아파서 최대한 부드럽고 편안한 향을 찾고 있어.,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""강하면""]","[""부드럽"",""편안한 향""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],"[""향이 강하면 머리가 아픔"",""최대한 부드럽고 편안한 향""]",False,False,False,False,False,False,1,0,2,2,performance|avoid|additional,GOLD_ERROR,OTHER_GOLD_ERROR,[검토 반영] gold avoid의 '강하면'은 강도 조건이지 향이 아니다. additional이 맞고 llm이 옳다
UQ0033,내가 20대 후반인데 너무 어려 보이지 않으면서 세련된 향수를 찾고 있어.,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""어려 보이지""]","["" 20대 후반"",""세련된 향수""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""20대 후반"",""너무 어려 보이지 않게"",""세련된 향수""]",False,False,False,False,False,False,1,0,2,3,avoid|additional,GOLD_ERROR,OTHER_GOLD_ERROR,[검토 반영] gold avoid의 '어려 보이지'는 나이 인상이지 향이 아니다. additional이 맞고 llm이 옳다
UQ0037,남자친구한테서 났으면 하는 향 찾아줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""남자친구""]",[],"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""남자친구에게서 났으면 하는 향""]",False,False,True,False,True,False,0,0,1,1,additional,SURFACE_MISMATCH,ADDITIONAL_SEGMENTATION,"[AI 초안] gold 남자친구 vs llm 남자친구에게서 났으면 하는 향 — 같은 내용, 예측이 김"
UQ0045,헬스장에서 반응 좋은 향수 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""헬스장"",""반응 좋은""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""헬스장에서 반응 좋은 향수 추천""]",False,False,True,False,True,False,0,0,2,1,additional,SURFACE_MISMATCH,ADDITIONAL_SEGMENTATION,[AI 초안] gold 헬스장/반응 좋은 2개 vs llm 1개 긴 구
UQ0050,향수 입문자에게 괜찮은 향수 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""향수 입문자"",""괜찮은 향수""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""향수 입문자에게 괜찮은 향수 추천""]",False,False,True,False,True,False,0,0,2,1,additional,SURFACE_MISMATCH,ADDITIONAL_SEGMENTATION,[AI 초안] gold 향수 입문자/괜찮은 향수 2개 vs llm 1개 긴 구
UQ0052,향수 사보려고 하는데 난 달콤한 향기는 별로 안 좋아하거든 좀 화한거 사고싶어,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""달콤한 향기""]","[""화한거""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""향수 사보려고 하는데 난 달콤한 향기""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""sweet (달콤한)""]","[""좀 화한 향기(화한 느낌) 선호""]",False,False,False,False,False,False,1,1,1,1,avoid|additional,SURFACE_MISMATCH,WORDING_VARIATION,[AI 초안] avoid 달콤한 향기 vs sweet (달콤한) — 동일. llm이 영어와 한국어를 병기
UQ0054,홍차향 같은 향수도 있나? 근데 너무 음식같은 느낌 안 났으면 좋곘음,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""너무 음식같은 느낌""]","[""홍차향""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],"[""black tea""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""too food-like""]","[""홍차향 같은 향수 찾아보기""]",False,False,False,False,False,False,1,1,1,1,scent|avoid|additional,GOLD_ERROR,SCENT_CANONICALIZATION,[AI 초안] avoid 너무 음식같은 느낌 vs too food-like는 번역으로 동일. 그러나 gold scent가 비어 있는 것이 문제 — 홍차는 Fragrantica의 Black Tea에 해당하는 명시적 언급인데 additional에만 있음. UQ0169 딸기->Strawberry와 불일치. llm의 black tea가 정책에 맞음
UQ0056,아로마 계열이면 다 좋은데 너무 진한 향 아니고 은은한 게 좋아,AVOID_MISMATCH,"[""aromatic""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}","[""너무 진한 향""]","[""아로마 계열""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],"[""아로마 계열을 선호"",""너무 진한 향은 싫고 은은한 향을 원함""]",False,False,False,False,False,False,1,0,1,2,scent|avoid|additional,GOLD_ERROR,OTHER_GOLD_ERROR,[검토 반영] gold avoid의 '너무 진한 향'은 강도 조건이지 특정 향이 아니다. additional이 맞고 llm이 옳다. 다만 scent=aromatic을 llm이 놓친 것은 별개의 예측 오류
UQ0065,은은하게 잔향 좋은 거. 향은 딱히 선호 없음 모름 잘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],"[""잔향 좋은 거"",""선호 없음""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],"[""은은하게 잔향 좋은 거"",""향은 딱히 선호 없음/모름""]",False,False,True,False,True,False,0,0,2,2,additional,SURFACE_MISMATCH,ADDITIONAL_SEGMENTATION,[AI 초안] gold 2개 vs llm 2개로 개수는 같고 각 항목의 길이만 다름
UQ0074,비 오는 날에 뿌릴 만한 30대 여성 향수 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}",[],"[""비 오는 날"",""30대""]",[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],False,False,True,False,True,False,0,0,2,0,context|additional,GOLD_OK,NONE,[AI 초안] llm이 gender=female과 additional 2개를 모두 놓침. 명시된 '30대 여성'과 '비 오는 날'을 전혀 잡지 못한 예측 실패
UQ0078,가볍고 부드러운 느낌의 향수,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""가볍고"",""부드러운""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""가볍고 부드러운 느낌""]",False,False,True,False,True,False,0,0,2,1,additional,SURFACE_MISMATCH,ADDITIONAL_SEGMENTATION,[AI 초안] gold 가볍고/부드러운 2개 vs llm 1개 긴 구
UQ0087,가을에 잘 어울리는 우디 향수 추천해줘,LLM_REGRESSED,"[""woody""]","{""season"":[""autumn""],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],"[""woody""]","{""season"":[""autumn""],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],"[""woody""]","{""season"":[""autumn""],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""가을에 잘 어울리는 우디 향수 추천해줘""]",True,False,True,False,True,False,0,0,0,1,additional,GOLD_OK,NONE,"[AI 초안] 가을은 season, 우디는 scent로 처리되므로 gold additional이 빈 것이 맞음. llm이 쿼리 문장을 그대로 복사한 과추출"
UQ0090,데이트할 때 반응 좋은 향수 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""데이트"",""반응 좋은""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""데이트할 때 반응 좋은 향수 추천""]",False,False,True,False,True,False,0,0,2,1,additional,SURFACE_MISMATCH,ADDITIONAL_SEGMENTATION,[AI 초안] gold 데이트/반응 좋은 2개 vs llm 1개 긴 구
UQ0092,향이 너무 세지 않은 향수 추천해줘,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}","[""향이 너무 세""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":""LOW"",""longevity"":""""}",[],[],False,False,False,True,False,True,1,0,0,0,avoid,GOLD_ERROR,OTHER_GOLD_ERROR,[검토 반영] gold avoid의 '향이 너무 세'는 강도 조건이지 향이 아니다. additional이 맞고 llm이 옳다
UQ0093,인기많은 남자 향수 추천해줘.,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],"[""인기많은 남자""]",[],"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],"[""인기 많은 남자 향수""]",False,False,True,False,True,False,0,0,1,1,additional,SURFACE_MISMATCH,WORDING_VARIATION,[AI 초안] gold 인기많은 남자 vs llm 인기 많은 남자 향수 — 띄어쓰기와 어미 차이
UQ0094,너무 흔하지 않으면서 섹시한 느낌의 향수 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""흔하지 않으면서"",""섹시한""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""너무 흔하지 않음"",""섹시한 느낌""]",False,False,True,False,True,False,0,0,2,2,additional,SURFACE_MISMATCH,WORDING_VARIATION,"[AI 초안] gold 흔하지 않으면서/섹시한 vs llm 너무 흔하지 않음/섹시한 느낌 — 2:2, 표현 차이"
UQ0105,시향 없이 블라인드 구매해도 괜찮은 향수 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""시향 없이"",""블라인드 구매""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""시향 없이 블라인드 구매해도 괜찮은 향수 추천""]",False,False,True,False,True,False,0,0,2,1,additional,SURFACE_MISMATCH,ADDITIONAL_SEGMENTATION,[AI 초안] gold 시향 없이/블라인드 구매 2개 vs llm 1개 긴 구
UQ0111,남자가 쓰기 좋은 파우더리 향수 추천해줘,LLM_REGRESSED,"[""powdery""]","{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],[],"[""powdery""]","{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],"[""파우더리 향수"",""남자가 쓰기 좋은 향수 추천""]",True,False,True,False,True,False,0,0,0,2,scent|additional,GOLD_OK,SCENT_CANONICALIZATION,[AI 초안] gold scent=powdery를 llm이 scent에 넣지 않고 additional에 '파우더리 향수'로 보냄. 명시된 accord이므로 scent에 들어가야 함
UQ0114,부드러운 우디 향수 추천해줘,ADDITIONAL_SAMPLE,"[""woody""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""부드러운""]","[""woody""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],[],"[""woody""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""부드러운 우디 향수 추천""]",False,False,True,False,True,False,0,0,1,1,additional,SURFACE_MISMATCH,ADDITIONAL_SEGMENTATION,[AI 초안] gold 부드러운 vs llm 부드러운 우디 향수 추천 — 예측이 scent 내용까지 포함해 김
UQ0116,달달하지만 너무 느끼하지 않은 향수 추천해줘,AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""느끼""]","[""달달하지만""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""너무 느끼""]",[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}",[],"[""달달한 향"",""너무 느끼하지 않은 향""]",False,False,False,False,False,False,1,0,1,2,avoid|additional,GOLD_ERROR,OTHER_GOLD_ERROR,[검토 반영] gold avoid의 '느끼'는 질감 표현이지 특정 향이 아니다. additional이 맞고 llm이 옳다
UQ0140,중성적인 향수에는 뭐가 있을까?,LLM_REGRESSED,[],"{""season"":[],""daypart"":[],""gender"":[""neuter""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[""neuter""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[""neuter""]}","{""intensity"":"""",""longevity"":""""}",[],"[""중성적인 향수 추천""]",True,False,True,False,True,False,0,0,0,1,additional,GOLD_OK,NONE,[AI 초안] 중성적인은 context.gender=neuter로 처리되어 gold additional이 빈 것이 맞음. llm이 중복 삽입한 과추출
UQ0143,카리스마 있어보이는 딱딱한 향수 근데 여자걸로 추천해줘,ADDITIONAL_SAMPLE,[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}",[],"[""카리스마"",""딱딱한""]",[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[""female""]}","{""intensity"":"""",""longevity"":""""}",[],"[""카리스마 있어보이는"",""딱딱한 느낌""]",False,False,True,False,True,False,0,0,2,2,additional,SURFACE_MISMATCH,WORDING_VARIATION,"[AI 초안] gold 카리스마/딱딱한 vs llm 카리스마 있어보이는/딱딱한 느낌 — 2:2, 길이 차이"
UQ0148,"향추 추천해줘. 달콤한 향은 좋은데, 바닐라는 싫어.",AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""바닐라""]","[""달콤한 향""]",[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""vanilla""]",[],"[""sweet""]","{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""Vanilla""]",[],False,False,False,False,False,False,1,1,1,0,scent|avoid|additional,SURFACE_MISMATCH,WORDING_VARIATION,[AI 초안] avoid 바닐라 vs Vanilla — 음차 표기. 별건으로 llm이 달콤한을 scent=sweet로 변환했는데 Stage 1 프롬프트가 감각 표현의 향 변환을 금지하므로 gold가 맞음
UQ0149,"시원한 향은 좋은데, 남자 스킨 냄새는 진짜 별로야. 안 그런 거 있어?",AVOID_MISMATCH,[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""남자 스킨 냄새""]","[""시원한 향""]",[],"{""season"":[],""daypart"":[],""gender"":[""male""]}","{""intensity"":"""",""longevity"":""""}",[],[],[],"{""season"":[],""daypart"":[],""gender"":[]}","{""intensity"":"""",""longevity"":""""}","[""male skin scent""]","[""시원한 향을 선호"",""남자 스킨 냄새는 피하고 싶음"",""안 그런(남자 스킨 냄새가 아닌) 향이 있는지 문의""]",False,False,False,False,False,False,1,1,1,3,avoid|additional,SURFACE_MISMATCH,WORDING_VARIATION,[AI 초안] avoid 남자 스킨 냄새 vs male skin scent — 번역
