raw_note,canonical_note,relation,evidence_source,reason,manual_review_required
Moss,Moss,NOT_SAME,"v0.3 dictionary/evidence, Stage 20 decisions, or explicit audit exclusion",Moss is RELATED to Mossy and must not be collapsed with Oakmoss.,False
Pineapple,Pineapple,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Heliotrope,Heliotrope,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Gardenia,Gardenia,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Guaiac Wood,Guaiac Wood,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Honey,Honey,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Coconut,Coconut,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Lime,Lime,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Oud,Agarwood,SAME_CONCEPT,"scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (Givaudan, IFRA)",Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Plum,Plum,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Coriander,Coriander,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Sage,Sage,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Woodsy Notes,Woodsy Notes,REVIEW,Candidate rule; existing project evidence insufficient,Existing v0.3 evidence explicitly did not equate Woodsy Notes with Woody.,True
Olibanum,Olibanum,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Rosemary,Rosemary,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Lily of the Valley,Muguet,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (dsm-firmenich),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Ambroxan,Ambroxide,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (PubChem),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Lily,Lily,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Aldehydes,Aldehydic,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFRA),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Jasmine Sambac,Jasmine Sambac,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Spices,Spicy,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFRA),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Mandarin,Mandarin,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Basil,Basil,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Osmanthus,Osmanthus,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Violet Leaf,Violet Leaf,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Orchid,Orchid,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Tangerine,Tangerine,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Petitgrain,Petitgrain,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Almond,Almond,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Myrrh,Myrrh,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Galbanum,Galbanum,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Virginia Cedar,Virginia Cedar,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Cashmere Wood,Cashmere Wood,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Cypress,Cypress,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Carnation,Carnation,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Clary Sage,Clary Sage,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Fruity Notes,Fruity,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFRA),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Coffee,Coffee,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Cashmeran,Cashmeran,CANONICAL,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFF),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Cloves,Clove,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFRA),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Orris,Orris,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
White Flowers,White Flowers,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Spicy Notes,Spicy,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFRA),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Sea Notes,Sea Notes,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Praline,Praline,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Orris Root,Orris Root,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Bulgarian Rose,Bulgarian Rose,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Clove,Clove,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Sugar,Sugar,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Mimosa,Mimosa,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Cassis,Cassis,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Vanille,Vanille,REVIEW,Candidate rule; existing project evidence insufficient,"Vanilla/Vanille is a plausible language variant, but existing v0.3 evidence explicitly left Vanille unresolved.",True
Strawberry,Strawberry,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Apricot,Apricot,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Rum,Rum,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Juniper,Juniper,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
elemi,elemi,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Melon,Melon,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Turkish Rose,Turkish Rose,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Fig,Fig,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Bitter Orange,Bitter Orange,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Lotus,Lotus,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Artemisia,Artemisia,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Amberwood,Amberwood,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Suede,Suede,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Litchi,Litchi,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Cyclamen,Cyclamen,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Green Apple,Green Apple,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Milk,Milk,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Damask Rose,Damask Rose,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Cherry,Cherry,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Powdery Notes,Powdery,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFRA),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Tea,Tea,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Thyme,Thyme,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Mango,Mango,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Frankincense,Frankincense,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Ylang Ylang,Ylang-Ylang,SAME_CONCEPT,Fragrantica internal vocabulary; case/space/hyphen/punctuation rule,Existing raw labels differ only by a case/space/hyphen/punctuation form; an existing representative raw label is retained.,False
Red Berries,Red Berries,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Passionfruit,Passion Fruit,SAME_CONCEPT,Fragrantica internal vocabulary; case/space/hyphen/punctuation rule,Existing raw labels differ only by a case/space/hyphen/punctuation form; an existing representative raw label is retained.,False
Honeysuckle,Honeysuckle,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Tonka,Tonka,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Styrax,Styrax,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Lilac,Lilac,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Blackcurrant,Blackcurrant,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Rhubarb,Rhubarb,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Narcissus,Narcissus,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Madagascar Vanilla,Madagascar Vanilla,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Birch,Birch,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Blackberry,Blackberry,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Anise,Anise,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Civet,Civet,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Amalfi Lemon,Amalfi Lemon,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Green Tea,Green Tea,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Juniper Berries,Juniper Berries,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Cacao,Cacao,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Frangipani,Frangipani,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Hyacinth,Hyacinth,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Blood Orange,Blood Orange,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Citrus,Citrus,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Agarwood,Agarwood,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Palisander Rosewood,Palisander Rosewood,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Cumin,Cumin,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Smoke,Smoky,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFRA),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Yuzu,Yuzu,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Sweet Notes,Sweet,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFRA),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Haitian Vetiver,Haitian Vetiver,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Cypriol Oil or Nagarmotha,Cypriol Oil or Nagarmotha,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Ambrette (Musk Mallow),Ambrette (Musk Mallow),CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Water Lily,Water Lily,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Green Leaves,Green Leaves,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Ozonic notes,Ozonic,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFRA),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Bourbon Vanilla,Bourbon Vanilla,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Chocolate,Chocolate,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Oak,Oak,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Castoreum,Castoreum,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Ambrette,Ambrette,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Red Apple,Red Apple,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Calabrian bergamot,Calabrian bergamot,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
oak moss,Oakmoss,SAME_CONCEPT,Fragrantica internal vocabulary; case/space/hyphen/punctuation rule,Existing raw labels differ only by a case/space/hyphen/punctuation form; an existing representative raw label is retained.,False
Chamomile,Chamomile,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Opoponax,Opoponax,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Pine,Pine,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Peru Balsam,Peru Balsam,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Watery Notes,Watery,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFRA),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Water Notes,Water Notes,NOT_SAME,"v0.3 dictionary/evidence, Stage 20 decisions, or explicit audit exclusion","Existing v0.3 relation to Watery is RELATED, not SAME_CONCEPT.",False
Herbal Notes,Herbal,SAME_CONCEPT,scent_term_dictionary_v0.3.csv; scent_term_evidence_v0.3.csv (IFRA),Existing HIGH-confidence SAME_CONCEPT decision reused without reinterpretation.,False
Star Anise,Star Anise,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Resins,Resin,SAME_CONCEPT,Fragrantica internal vocabulary; clear singular/plural rule,Existing raw labels differ only by a clear singular/plural form; an existing representative raw label is retained.,False
Hazelnut,Hazelnut,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Salt,Salt,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Licorice,Licorice,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Red Fruits,Red Fruits,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Black Tea,Black Tea,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Eucalyptus,Eucalyptus,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Marigold,Marigold,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Watermelon,Watermelon,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Davana,Davana,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Tolu Balsam,Tolu Balsam,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Coumarin,Coumarin,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Immortelle,Immortelle,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Whipped Cream,Whipped Cream,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
Angelica,Angelica,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
African Orange Flower,African Orange Flower,CANONICAL,17_fragrantica_note_vocabulary.csv,No confirmed duplicate expression; retained as its own canonical concept.,False
