fragrantica_id,brand,name,note,note_type,rank
68905,Dior,Miss Dior Eau de Parfum (2021),Apricot,middle,5
68905,Dior,Miss Dior Eau de Parfum (2021),Peach,middle,6
68905,Dior,Miss Dior Eau de Parfum (2021),Vanilla,base,7
68905,Dior,Miss Dior Eau de Parfum (2021),Musk,base,8
68905,Dior,Miss Dior Eau de Parfum (2021),Tonka Bean,base,9
68905,Dior,Miss Dior Eau de Parfum (2021),Sandalwood,base,10
68905,Dior,Miss Dior Eau de Parfum (2021),Benzoin,base,11
78945,Dior,Miss Dior Blooming Bouquet (2023),Bergamot,top,1
78945,Dior,Miss Dior Blooming Bouquet (2023),Sweet Pea,top,2
78945,Dior,Miss Dior Blooming Bouquet (2023),Peony,middle,3
78945,Dior,Miss Dior Blooming Bouquet (2023),Damask Rose,middle,4
78945,Dior,Miss Dior Blooming Bouquet (2023),White Musk,base,5
72040,Diptyque,Philosykos Eau de Toilette,Fig,top,1
72040,Diptyque,Philosykos Eau de Toilette,Fig Leaf,middle,2
72040,Diptyque,Philosykos Eau de Toilette,Fig Tree,base,3
75979,Forment,Cotton Hug,Lily-of-the-Valley,top,1
75979,Forment,Cotton Hug,Rose,middle,2
75979,Forment,Cotton Hug,Jasmine,middle,3
75979,Forment,Cotton Hug,Orange Blossom,middle,4
75979,Forment,Cotton Hug,Musk,base,5
75979,Forment,Cotton Hug,Cedar,base,6
75979,Forment,Cotton Hug,Amber,base,7
75979,Forment,Cotton Hug,Patchouli,base,8
6188,Kiehl's,Original Musk,Orange Blossom,top,1
6188,Kiehl's,Original Musk,Bergamot,top,2
6188,Kiehl's,Original Musk,Ylang-Ylang,middle,3
6188,Kiehl's,Original Musk,Lily,middle,4
6188,Kiehl's,Original Musk,Neroli,middle,5
6188,Kiehl's,Original Musk,Rose,middle,6
6188,Kiehl's,Original Musk,Musk,base,7
6188,Kiehl's,Original Musk,Tonka Bean,base,8
6188,Kiehl's,Original Musk,Patchouli,base,9
8441,Byredo,La Tulipe,Freesia,top,1
8441,Byredo,La Tulipe,Cyclamen,top,2
8441,Byredo,La Tulipe,Rhuburb,top,3
8441,Byredo,La Tulipe,pink tulip,middle,4
8441,Byredo,La Tulipe,Green Notes,base,5
8441,Byredo,La Tulipe,Vetyver,base,6
8441,Byredo,La Tulipe,Woodsy Notes,base,7
15134,Jo Malone London,Blackberry & Bay,Blackberry,flat,1
15134,Jo Malone London,Blackberry & Bay,Bay Leaf,flat,2
15134,Jo Malone London,Blackberry & Bay,Grapefruit,flat,3
15134,Jo Malone London,Blackberry & Bay,Cedar,flat,4
15134,Jo Malone London,Blackberry & Bay,Vetiver,flat,5
15134,Jo Malone London,Blackberry & Bay,Floral Notes,flat,6
6458,Byredo,Bal d'Afrique,Bergamot,top,1
6458,Byredo,Bal d'Afrique,African Marigold,top,2
6458,Byredo,Bal d'Afrique,Buchu or Agathosma,top,3
6458,Byredo,Bal d'Afrique,Violet,middle,4
6458,Byredo,Bal d'Afrique,Cyclamen,middle,5
6458,Byredo,Bal d'Afrique,Vetiver,base,6
6458,Byredo,Bal d'Afrique,Cedar,base,7
68919,Dashu,Acqua Dive,Cassis,top,1
68919,Dashu,Acqua Dive,Acácia,middle,2
68919,Dashu,Acqua Dive,Musk,base,3
68919,Dashu,Acqua Dive,Woody Notes,base,4
276,Calvin Klein,CK One,Lemon,top,1
276,Calvin Klein,CK One,Green Notes,top,2
276,Calvin Klein,CK One,Bergamot,top,3
276,Calvin Klein,CK One,Mandarin Orange,top,4
276,Calvin Klein,CK One,Pineapple,top,5
276,Calvin Klein,CK One,Cardamom,top,6
276,Calvin Klein,CK One,Papaya,top,7
276,Calvin Klein,CK One,Lily-of-the-Valley,middle,8
276,Calvin Klein,CK One,Jasmine,middle,9
276,Calvin Klein,CK One,Violet,middle,10
276,Calvin Klein,CK One,Rose,middle,11
276,Calvin Klein,CK One,Nutmeg,middle,12
276,Calvin Klein,CK One,Freesia,middle,13
276,Calvin Klein,CK One,Orris Root,middle,14
276,Calvin Klein,CK One,Green Accord,base,15
276,Calvin Klein,CK One,Musk,base,16
276,Calvin Klein,CK One,Cedar,base,17
276,Calvin Klein,CK One,Green Tea,base,18
276,Calvin Klein,CK One,Sandalwood,base,19
276,Calvin Klein,CK One,Oakmoss,base,20
276,Calvin Klein,CK One,Amber,base,21
1483,Chanel,Chance Eau Fraiche,Lemon,top,1
1483,Chanel,Chance Eau Fraiche,Cedar,top,2
1483,Chanel,Chance Eau Fraiche,Citron,top,3
1483,Chanel,Chance Eau Fraiche,Water Hyacinth,middle,4
1483,Chanel,Chance Eau Fraiche,Pink Pepper,middle,5
1483,Chanel,Chance Eau Fraiche,Jasmine,middle,6
1483,Chanel,Chance Eau Fraiche,White Musk,base,7
1483,Chanel,Chance Eau Fraiche,Patchouli,base,8
1483,Chanel,Chance Eau Fraiche,Vetiver,base,9
1483,Chanel,Chance Eau Fraiche,Teak Wood,base,10
1483,Chanel,Chance Eau Fraiche,Iris,base,11
1483,Chanel,Chance Eau Fraiche,Amber,base,12
56741,Ariana Grande,"Thank U, Next",Raspberry,top,1
56741,Ariana Grande,"Thank U, Next",Pear,top,2
56741,Ariana Grande,"Thank U, Next",Coconut,middle,3
56741,Ariana Grande,"Thank U, Next",Pink Rose,middle,4
56741,Ariana Grande,"Thank U, Next",Macarons,base,5
56741,Ariana Grande,"Thank U, Next",Musk,base,6
1360,Chanel,Chanel N°5 Eau Premiere,Aldehydes,top,1
1360,Chanel,Chanel N°5 Eau Premiere,Ylang-Ylang,top,2
1360,Chanel,Chanel N°5 Eau Premiere,Neroli,top,3
1360,Chanel,Chanel N°5 Eau Premiere,Jasmine,middle,4
1360,Chanel,Chanel N°5 Eau Premiere,Tincture of Rose,middle,5
1360,Chanel,Chanel N°5 Eau Premiere,Vanille,base,6
1360,Chanel,Chanel N°5 Eau Premiere,Sandalwood,base,7
1360,Chanel,Chanel N°5 Eau Premiere,Vetyver,base,8
131717,Diptyque,Fleur de Peau,Aldehydes,top,1
131717,Diptyque,Fleur de Peau,Iris,middle,2
131717,Diptyque,Fleur de Peau,Carrot,middle,3
131717,Diptyque,Fleur de Peau,Ambrette,base,4
131717,Diptyque,Fleur de Peau,Musk,base,5
131717,Diptyque,Fleur de Peau,Cedar,base,6
607,Chanel,Allure Homme Sport,Orange,top,1
607,Chanel,Allure Homme Sport,Sea Notes,top,2
607,Chanel,Allure Homme Sport,Aldehydes,top,3
607,Chanel,Allure Homme Sport,Blood Mandarin,top,4
607,Chanel,Allure Homme Sport,Pepper,middle,5
607,Chanel,Allure Homme Sport,Neroli,middle,6
607,Chanel,Allure Homme Sport,Cedar,middle,7
607,Chanel,Allure Homme Sport,Vanilla,base,8
607,Chanel,Allure Homme Sport,Tonka Bean,base,9
607,Chanel,Allure Homme Sport,White Musk,base,10
607,Chanel,Allure Homme Sport,Amber,base,11
607,Chanel,Allure Homme Sport,Vetiver,base,12
607,Chanel,Allure Homme Sport,Elemi resin,base,13
39970,Ariana Grande,Sweet Like Candy,Blackberry,top,1
39970,Ariana Grande,Sweet Like Candy,Pear,top,2
39970,Ariana Grande,Sweet Like Candy,Bergamot,top,3
39970,Ariana Grande,Sweet Like Candy,Whipped Cream,middle,4
39970,Ariana Grande,Sweet Like Candy,Marshmallow,middle,5
39970,Ariana Grande,Sweet Like Candy,Black Currant,middle,6
39970,Ariana Grande,Sweet Like Candy,Jasmine,middle,7
39970,Ariana Grande,Sweet Like Candy,Honeysuckle,middle,8
39970,Ariana Grande,Sweet Like Candy,Frangipani,middle,9
39970,Ariana Grande,Sweet Like Candy,Vanilla,base,10
39970,Ariana Grande,Sweet Like Candy,Cashmere Wood,base,11
31661,Ariana Grande,Ari,Raspberry,top,1
31661,Ariana Grande,Ari,Pear,top,2
31661,Ariana Grande,Ari,Grapefruit,top,3
31661,Ariana Grande,Ari,Vanilla Orchid,middle,4
31661,Ariana Grande,Ari,Rose,middle,5
31661,Ariana Grande,Ari,Lily-of-the-Valley,middle,6
31661,Ariana Grande,Ari,Marshmallow,base,7
31661,Ariana Grande,Ari,Musk,base,8
31661,Ariana Grande,Ari,Woody Notes,base,9
611,Chanel,Coco Mademoiselle,Orange,top,1
611,Chanel,Coco Mademoiselle,Mandarin Orange,top,2
611,Chanel,Coco Mademoiselle,Bergamot,top,3
611,Chanel,Coco Mademoiselle,Orange Blossom,top,4
611,Chanel,Coco Mademoiselle,Turkish Rose,middle,5
611,Chanel,Coco Mademoiselle,Jasmine,middle,6
611,Chanel,Coco Mademoiselle,Mimosa,middle,7
611,Chanel,Coco Mademoiselle,Ylang-Ylang,middle,8
611,Chanel,Coco Mademoiselle,Patchouli,base,9
611,Chanel,Coco Mademoiselle,White Musk,base,10
611,Chanel,Coco Mademoiselle,Vanilla,base,11
611,Chanel,Coco Mademoiselle,Vetiver,base,12
611,Chanel,Coco Mademoiselle,Tonka Bean,base,13
611,Chanel,Coco Mademoiselle,Opoponax,base,14
30796,Chanel,Chance Eau Vive,Blood Orange,top,1
30796,Chanel,Chance Eau Vive,Grapefruit,top,2
30796,Chanel,Chance Eau Vive,Citruses,top,3
30796,Chanel,Chance Eau Vive,Jasmine,middle,4
30796,Chanel,Chance Eau Vive,White Musk,middle,5
30796,Chanel,Chance Eau Vive,Vetiver,base,6
30796,Chanel,Chance Eau Vive,Cedar,base,7
30796,Chanel,Chance Eau Vive,Iris,base,8
184,Lancôme,Miracle,Litchi,top,1
184,Lancôme,Miracle,Freesia,top,2
184,Lancôme,Miracle,Magnolia,middle,3
184,Lancôme,Miracle,Pepper,middle,4
184,Lancôme,Miracle,Ginger,middle,5
184,Lancôme,Miracle,Mandarin Orange,middle,6
184,Lancôme,Miracle,Jasmine,middle+base,7
184,Lancôme,Miracle,Musk,base,8
184,Lancôme,Miracle,Amber,base,9
12192,Tom Ford,Neroli Portofino,Bergamot,top,1
12192,Tom Ford,Neroli Portofino,Mandarin Orange,top,2
12192,Tom Ford,Neroli Portofino,Lemon,top,3
12192,Tom Ford,Neroli Portofino,Bitter Orange,top,4
12192,Tom Ford,Neroli Portofino,Lavender,top,5
12192,Tom Ford,Neroli Portofino,Rosemary,top,6
12192,Tom Ford,Neroli Portofino,Myrtle,top,7
12192,Tom Ford,Neroli Portofino,African Orange Flower,middle,8
12192,Tom Ford,Neroli Portofino,Neroli,middle,9
12192,Tom Ford,Neroli Portofino,Jasmine,middle,10
12192,Tom Ford,Neroli Portofino,Pitosporum,middle,11
12192,Tom Ford,Neroli Portofino,Amber,base,12
12192,Tom Ford,Neroli Portofino,Ambrette (Musk Mallow),base,13
12192,Tom Ford,Neroli Portofino,Angelica,base,14
48478,Lanvin,Modern Princess Eau Sensuelle,Pink Grapefruit,top,1
48478,Lanvin,Modern Princess Eau Sensuelle,Peach,top,2
48478,Lanvin,Modern Princess Eau Sensuelle,Tangerine,top,3
48478,Lanvin,Modern Princess Eau Sensuelle,Lemon,top,4
48478,Lanvin,Modern Princess Eau Sensuelle,Peony,middle,5
48478,Lanvin,Modern Princess Eau Sensuelle,Jasmine,middle,6
48478,Lanvin,Modern Princess Eau Sensuelle,Orange Blossom,middle,7
48478,Lanvin,Modern Princess Eau Sensuelle,Pear,middle,8
48478,Lanvin,Modern Princess Eau Sensuelle,Musk,base,9
48478,Lanvin,Modern Princess Eau Sensuelle,Sandalwood,base,10
48478,Lanvin,Modern Princess Eau Sensuelle,Vanilla,base,11
18,Hermès,Un Jardin Sur Le Nil,Grapefruit,top,1
18,Hermès,Un Jardin Sur Le Nil,Green Mango,top,2
18,Hermès,Un Jardin Sur Le Nil,Tomato,top,3
18,Hermès,Un Jardin Sur Le Nil,Carrot,top,4
18,Hermès,Un Jardin Sur Le Nil,Lotus,middle,5
18,Hermès,Un Jardin Sur Le Nil,Bulrush,middle,6
18,Hermès,Un Jardin Sur Le Nil,Orange,middle,7
18,Hermès,Un Jardin Sur Le Nil,Hiacynth,middle,8
18,Hermès,Un Jardin Sur Le Nil,Peony,middle,9
18,Hermès,Un Jardin Sur Le Nil,Musk,base,10
18,Hermès,Un Jardin Sur Le Nil,Iris,base,11
18,Hermès,Un Jardin Sur Le Nil,Incense,base,12
18,Hermès,Un Jardin Sur Le Nil,Labdanum,base,13
18,Hermès,Un Jardin Sur Le Nil,Cinnamon,base,14
56077,Yves Saint Laurent,Libre,Lavender,top+middle,1
56077,Yves Saint Laurent,Libre,Mandarin Orange,top,2
56077,Yves Saint Laurent,Libre,Black Currant,top,3
56077,Yves Saint Laurent,Libre,Petitgrain,top,4
56077,Yves Saint Laurent,Libre,Orange Blossom,middle,5
56077,Yves Saint Laurent,Libre,Jasmine,middle,6
56077,Yves Saint Laurent,Libre,Madagascar Vanilla,base,7
56077,Yves Saint Laurent,Libre,Musk,base,8
56077,Yves Saint Laurent,Libre,Cedar,base,9
56077,Yves Saint Laurent,Libre,Ambergris,base,10
46187,Jo Malone London,English Oak & Hazelnut,Hazelnut,top,1
46187,Jo Malone London,English Oak & Hazelnut,Cedar,middle,2
46187,Jo Malone London,English Oak & Hazelnut,Oak,base,3
68578,Gucci,Flora Gorgeous Gardenia,Pear Blossom,top,1
68578,Gucci,Flora Gorgeous Gardenia,Red Berries,top,2
68578,Gucci,Flora Gorgeous Gardenia,Italian Mandarin,top,3
68578,Gucci,Flora Gorgeous Gardenia,Gardenia,middle,4
68578,Gucci,Flora Gorgeous Gardenia,Jasmine,middle,5
68578,Gucci,Flora Gorgeous Gardenia,Frangipani,middle,6
68578,Gucci,Flora Gorgeous Gardenia,Brown sugar,base,7
68578,Gucci,Flora Gorgeous Gardenia,Patchouli,base,8
27040,Byredo,Mojave Ghost,Sapodilla,top,1
27040,Byredo,Mojave Ghost,Ambrette (Musk Mallow),top,2
27040,Byredo,Mojave Ghost,Magnolia,middle,3
27040,Byredo,Mojave Ghost,Violet,middle,4
27040,Byredo,Mojave Ghost,Sandalwood,middle,5
27040,Byredo,Mojave Ghost,Ambergris,base,6
27040,Byredo,Mojave Ghost,Cedar,base,7
27040,Byredo,Mojave Ghost,Musk,base,8
52359,Chanel,Chance Eau Tendre Eau de Parfum,Quince,top,1
52359,Chanel,Chance Eau Tendre Eau de Parfum,Grapefruit,top,2
52359,Chanel,Chance Eau Tendre Eau de Parfum,Rose,middle,3
52359,Chanel,Chance Eau Tendre Eau de Parfum,Jasmine,middle,4
52359,Chanel,Chance Eau Tendre Eau de Parfum,White Musk,base,5
29165,Jimmy Choo,Jimmy Choo Blossom,Raspberry,top,1
29165,Jimmy Choo,Jimmy Choo Blossom,Red Berries,top,2
29165,Jimmy Choo,Jimmy Choo Blossom,Citruses,top,3
29165,Jimmy Choo,Jimmy Choo Blossom,Sweet Pea,middle,4
29165,Jimmy Choo,Jimmy Choo Blossom,Rose,middle,5
29165,Jimmy Choo,Jimmy Choo Blossom,White Musk,base,6
29165,Jimmy Choo,Jimmy Choo Blossom,Sandalwood,base,7
12201,Le Labo,Santal 33,Sandalwood,flat,1
12201,Le Labo,Santal 33,Leather,flat,2
12201,Le Labo,Santal 33,Papyrus,flat,3
12201,Le Labo,Santal 33,Virginia Cedar,flat,4
12201,Le Labo,Santal 33,Cardamom,flat,5
12201,Le Labo,Santal 33,Violet,flat,6
12201,Le Labo,Santal 33,Iris,flat,7
12201,Le Labo,Santal 33,Amber,flat,8
9405,Lanvin,Marry Me,Bitter Orange,top,1
9405,Lanvin,Marry Me,Peach,top,2
9405,Lanvin,Marry Me,Freesia,top,3
9405,Lanvin,Marry Me,Jasmine,middle,4
9405,Lanvin,Marry Me,Magnolia,middle,5
9405,Lanvin,Marry Me,Rose,middle,6
9405,Lanvin,Marry Me,Musk,base,7
9405,Lanvin,Marry Me,Virginia Cedar,base,8
9405,Lanvin,Marry Me,Amber,base,9
64167,Aesop,Rozu,Rose,top+middle,1
64167,Aesop,Rozu,Shiso,top,2
64167,Aesop,Rozu,Pink Pepper,top,3
64167,Aesop,Rozu,Bergamot,top,4
64167,Aesop,Rozu,Bitter Orange,top,5
64167,Aesop,Rozu,Guaiac Wood,middle,6
64167,Aesop,Rozu,Jasmine,middle,7
64167,Aesop,Rozu,Ylang-Ylang,middle,8
64167,Aesop,Rozu,Sandalowood,base,9
64167,Aesop,Rozu,Vetiver,base,10
64167,Aesop,Rozu,Patchouli,base,11
64167,Aesop,Rozu,Myrrh,base,12
64167,Aesop,Rozu,Musk,base,13
131985,Huxley,Moroccan Gardener,Green Leaves,top,1
131985,Huxley,Moroccan Gardener,Jasmine,middle,2
131985,Huxley,Moroccan Gardener,Rose,middle,3
131985,Huxley,Moroccan Gardener,Lily,middle,4
131985,Huxley,Moroccan Gardener,Musk,base,5
10314,Jo Malone London,English Pear & Freesia,Pear,top,1
10314,Jo Malone London,English Pear & Freesia,Melon,top,2
10314,Jo Malone London,English Pear & Freesia,Freesia,middle,3
10314,Jo Malone London,English Pear & Freesia,Rose,middle,4
10314,Jo Malone London,English Pear & Freesia,Musk,base,5
10314,Jo Malone London,English Pear & Freesia,Patchouli,base,6
10314,Jo Malone London,English Pear & Freesia,Rhuburb,base,7
10314,Jo Malone London,English Pear & Freesia,Amber,base,8
653,Salvatore Ferragamo,Incanto Charms,Passionfruit,top,1
653,Salvatore Ferragamo,Incanto Charms,Honeysuckle,top,2
653,Salvatore Ferragamo,Incanto Charms,Rose,middle,3
653,Salvatore Ferragamo,Incanto Charms,Jasmine,middle,4
653,Salvatore Ferragamo,Incanto Charms,Musk,base,5
653,Salvatore Ferragamo,Incanto Charms,Woodsy Notes,base,6
3779,Lanvin,Jeanne Lanvin,Blackberry,top,1
3779,Lanvin,Jeanne Lanvin,Pear,top,2
3779,Lanvin,Jeanne Lanvin,Lemon,top,3
3779,Lanvin,Jeanne Lanvin,Raspberry,middle,4
3779,Lanvin,Jeanne Lanvin,Peony,middle,5
3779,Lanvin,Jeanne Lanvin,Rose,middle,6
3779,Lanvin,Jeanne Lanvin,Freesia,middle,7
3779,Lanvin,Jeanne Lanvin,Musk,base,8
3779,Lanvin,Jeanne Lanvin,Sandalwood,base,9
3779,Lanvin,Jeanne Lanvin,Amber,base,10
536,Estée Lauder,Pleasures,Green Notes,top,1
536,Estée Lauder,Pleasures,Freesia,top,2
536,Estée Lauder,Pleasures,Pink Pepper,top,3
536,Estée Lauder,Pleasures,Violet,top,4
536,Estée Lauder,Pleasures,Violet Leaf,top,5
536,Estée Lauder,Pleasures,Tuberose,top,6
536,Estée Lauder,Pleasures,Red Berries,top,7
536,Estée Lauder,Pleasures,Lily-of-the-Valley,middle,8
536,Estée Lauder,Pleasures,Peony,middle,9
536,Estée Lauder,Pleasures,Lilac,middle,10
536,Estée Lauder,Pleasures,Lily,middle,11
536,Estée Lauder,Pleasures,Jasmine,middle,12
536,Estée Lauder,Pleasures,Rose,middle,13
536,Estée Lauder,Pleasures,Geranium,middle,14
536,Estée Lauder,Pleasures,Karo Karounde,middle,15
536,Estée Lauder,Pleasures,Musk,base,16
536,Estée Lauder,Pleasures,Cedar,base,17
536,Estée Lauder,Pleasures,Sandalwood,base,18
536,Estée Lauder,Pleasures,Patchouli,base,19
68416,Clean,Pure Soap,Aldehydes,top,1
68416,Clean,Pure Soap,Mandarin Orange,top,2
68416,Clean,Pure Soap,Herbal Notes,top,3
68416,Clean,Pure Soap,Lavender,middle,4
68416,Clean,Pure Soap,Jasmine,middle,5
68416,Clean,Pure Soap,Cyclamen,middle,6
68416,Clean,Pure Soap,Musk,base,7
68416,Clean,Pure Soap,Orange Blossom,base,8
68416,Clean,Pure Soap,Sandalwood,base,9
632,Versace,Bright Crystal,Yuzu,top,1
632,Versace,Bright Crystal,Pomegranate,top,2
632,Versace,Bright Crystal,Ice,top,3
632,Versace,Bright Crystal,Peony,middle,4
632,Versace,Bright Crystal,Lotus,middle,5
632,Versace,Bright Crystal,Magnolia,middle,6
632,Versace,Bright Crystal,Musk,base,7
632,Versace,Bright Crystal,Mahogany,base,8
632,Versace,Bright Crystal,Amber,base,9
44894,Gucci,Gucci Bloom,Jasmine,top,1
44894,Gucci,Gucci Bloom,Tuberose,middle,2
44894,Gucci,Gucci Bloom,Rangoon Creeper,base,3
3575,Byredo,Gypsy Water,Juniper,top,1
3575,Byredo,Gypsy Water,Lemon,top,2
3575,Byredo,Gypsy Water,Bergamot,top,3
3575,Byredo,Gypsy Water,Pepper,top,4
3575,Byredo,Gypsy Water,Pine needles,middle,5
3575,Byredo,Gypsy Water,Incense,middle,6
3575,Byredo,Gypsy Water,Orris Root,middle,7
3575,Byredo,Gypsy Water,Vanilla,base,8
3575,Byredo,Gypsy Water,Sandalwood,base,9
3575,Byredo,Gypsy Water,Amber,base,10
12310,Jo Malone London,Wild Bluebell,Dew Drop,top,1
12310,Jo Malone London,Wild Bluebell,Green Leaves,top,2
12310,Jo Malone London,Wild Bluebell,Bluebell,top,3
12310,Jo Malone London,Wild Bluebell,Clove,top,4
12310,Jo Malone London,Wild Bluebell,Persimmon,middle,5
12310,Jo Malone London,Wild Bluebell,Peach,middle,6
12310,Jo Malone London,Wild Bluebell,Musk,base,7
12310,Jo Malone London,Wild Bluebell,Powdery Notes,base,8
38914,Yves Saint Laurent,Mon Paris,Strawberry,top,1
38914,Yves Saint Laurent,Mon Paris,Raspberry,top,2
38914,Yves Saint Laurent,Mon Paris,Pear,top,3
38914,Yves Saint Laurent,Mon Paris,Orange,top,4
38914,Yves Saint Laurent,Mon Paris,Calabrian bergamot,top,5
38914,Yves Saint Laurent,Mon Paris,Tangerine,top,6
38914,Yves Saint Laurent,Mon Paris,Calone,top,7
38914,Yves Saint Laurent,Mon Paris,Peony,middle,8
38914,Yves Saint Laurent,Mon Paris,Jasmine Sambac,middle,9
38914,Yves Saint Laurent,Mon Paris,Chinese Jasmine,middle,10
38914,Yves Saint Laurent,Mon Paris,Datura,middle,11
38914,Yves Saint Laurent,Mon Paris,Orange Blossom,middle,12
38914,Yves Saint Laurent,Mon Paris,Indonesian Patchouli Leaf,base,13
38914,Yves Saint Laurent,Mon Paris,Patchouli,base,14
38914,Yves Saint Laurent,Mon Paris,White Musk,base,15
38914,Yves Saint Laurent,Mon Paris,Vanila,base,16
38914,Yves Saint Laurent,Mon Paris,Ambroxan,base,17
38914,Yves Saint Laurent,Mon Paris,Moss,base,18
38914,Yves Saint Laurent,Mon Paris,Cedar,base,19
