commercial_identity_id,source_brands,existing_canonical_brand,query_cores,reconstructed_brand_latin,reconstructed_fragrance_latin,reconstruction_status
ci_cbb9c5fbc6d6,"[""향수존""]",Replay,"[""리플레이 소스 오브 라이프 포 맨""]",Replay,Source of Life for Men,OK
ci_2fc2db319ecd,"[""몽블랑""]",Montblanc,"[""레전드 / 중""]",Montblanc,Legend,OK
ci_135a36451863,"[""존바바토스""]",John Varvatos,"[""아티산 블루""]",John Varvatos,Artisan Blue,OK
ci_fe5476d260a3,"[""무신사 스탠다드 뷰티""]",무신사 스탠다드 뷰티,"[""무신사 스탠다드 스모크 오우드""]",Musinsa Standard Beauty,Smoke Oud,UNCERTAIN
ci_d68c89b83d25,"[""향수존""]",퓨레앙스,"[""퓨레앙스 페어 가든""]",Pureance,Pear Garden,UNCERTAIN
ci_b1e45f9c38b7,"[""에틀리에""]",에틀리에,"[""트와일라잇블룸""]",Atelier,Twilight Bloom,UNCERTAIN
ci_9d1a7b03ec31,"[""아쿠아디파르마""]",Acqua di Parma,"[""피코 디 아말피 오 드 뜨왈렛""]",Acqua di Parma,Fico di Amalfi,OK
ci_c565283367da,"[""끌로에""]",Chloé,"[""나츄렐""]",Chloé,Naturelle,OK
ci_e950f7d25ef0,"[""캘빈클라인"", ""CK""]",Calvin Klein,"[""CK One"", ""원""]",Calvin Klein,CK One,OK
ci_6a8371b682cf,"[""누다라""]",누다라,"[""시그니처 틴타슈""]",Nudara,Signature Tintache,UNCERTAIN
ci_86283a068b96,"[""센녹""]",센녹,"[""솝클린솝""]",Sennok,Soap Clean Soap,UNCERTAIN
ci_9503328d5cdd,"[""키엘""]",키엘,"[""오리지널 머스크""]",Kiehl's,Original Musk,OK
ci_22b490f019e7,"[""리베르""]",리베르,"[""장미 생화향 로즈 제스트 Rose Zest""]",Liber,Rose Zest,UNCERTAIN
ci_56efd786d857,"[""알보우""]",알보우,"[""케이스 스터디 상탈 블루""]",Albow,Case Study Santal Blue,UNCERTAIN
ci_1bf0bf800b0a,"[""바닐라부티크""]",Vanilla Boutique,"[""허그""]",Vanilla Boutique,Hug,OK
ci_2084bc83573d,"[""디올""]",Dior,"[""미스 디올 블루밍 부케""]",Dior,Miss Dior Blooming Bouquet,OK
ci_5f841369d660,"[""끌로에""]",Chloé,"[""노마드""]",Chloé,Nomade,OK
ci_2228ae3a9f00,"[""존바바토스""]",John Varvatos,"[""아티산""]",John Varvatos,Artisan,OK
ci_9fcfdb7b6424,"[""투데이이즈""]",투데이이즈,"[""인마이메모리""]",Todayis,In My Memory,UNCERTAIN
ci_6c7d7de64d1a,"[""향수존""]",Versace,"[""베르사체 에로스플레임""]",Versace,Eros Flame,OK
ci_be61dc55fcd7,"[""무신사 스탠다드 뷰티""]",무신사 스탠다드 뷰티,"[""무신사 스탠다드 코코모""]",Musinsa Standard Beauty,Kokomo,UNCERTAIN
ci_c1af0ea0301d,"[""산타마리아노벨라""]",Santa Maria Novella,"[""피렌체 1221 에디션 로사 가데니아""]",Santa Maria Novella,Firenze 1221 Edition Rosa Gardenia,OK
ci_4f945c5205c0,"[""아뜰리에페이""]",Atelier Faye,"[""데이 오프"", ""데이오프""]",Atelier Faye,Day Off,OK
ci_25a3e29e48bc,"[""데이모어센트""]",데이모어센트,"[""#20 밤쉘 Type 업그레이드 /니치향수""]",Daymore Scent,#20 Bombshell Type,UNCERTAIN
ci_27bd716825bd,"[""에이딕트""]",에이딕트,"[""에탄올 FREE 에이딕트 버베나 레인""]",A'ddict,Verbena Rain,UNCERTAIN
ci_f7ced541c01c,"[""마인드오버바디""]",마인드오버바디,"[""생화장미향수 로즈온어플래닛""]",Mind Over Body,Rose on a Planet,UNCERTAIN
ci_6716e7dfa806,"[""다슈""]",다슈,"[""아쿠아 다이브""]",DASHU,Aqua Dive,UNCERTAIN
ci_53a64fbdd1d7,"[""지미추 퍼퓸""]",Jimmy Choo,"[""우먼""]",Jimmy Choo,Woman,OK
ci_844918cb9436,"[""바이레도""]",Byredo,"[""라튤립""]",Byredo,La Tulipe,OK
ci_c015a799d166,"[""랑방 퍼퓸"", ""랑방""]",Lanvin,"[""레 플레르 드 랑방 블루 오키드"", ""레 플레르 드 블루오키드""]",Lanvin,Les Fleurs de Lanvin Blue Orchid,OK
ci_76232424e429,"[""향수존""]",Versace,"[""베르사체 에로스 에너지""]",Versace,Eros Energy,OK
ci_b5092ea1a84d,"[""향수존""]",Montale,"[""몽탈 머스크 투 머스크""]",Montale,Musk to Musk,OK
ci_5ff6bd9e62a7,"[""향수존""]",Nishane,"[""니샤네 헌드레드사일런트 웨이즈 바이알3종""]",Nishane,Hundred Silent Ways,OK
ci_d97a8f66f9f2,"[""무신사 스탠다드 뷰티""]",무신사 스탠다드 뷰티,"[""무신사 스탠다드 시어""]",Musinsa Standard Beauty,Sheer,UNCERTAIN
ci_5b7152a05a88,"[""몽블랑 퍼퓸"", ""몽블랑""]",Montblanc,"[""익스플로러""]",Montblanc,Explorer,OK
ci_f974d3be25a5,"[""로그인 포레스트""]",로그인 포레스트,"[""더 딥 피그 우디끄""]",Log In Forest,The Deep Fig Woodique,UNCERTAIN
ci_5aa30ef621dc,"[""메종 마르지엘라 퍼퓸"", ""메종 마르지엘라""]",Maison Martin Margiela,"[""레플리카 재즈 클럽"", ""재즈 클럽""]",Maison Martin Margiela,Replica Jazz Club,OK
ci_393fc8cf01a3,"[""향수존""]",Mancera,"[""만세라 프렌치 리비에라""]",Mancera,French Riviera,OK
ci_723799ff0906,"[""향수존""]",Nishane,"[""니샤네 하지밧 바이알3종""]",Nishane,Hacivat,OK
ci_86e8202df97e,"[""디올""]",Dior,"[""쟈도르 도""]",Dior,J'adore Parfum d'Eau,OK
ci_fd132e81dcb9,"[""취""]",취,"[""사찰""]",CHWI,Sachal,UNCERTAIN
ci_e4de5fac0d9b,"[""클린""]",Clean,"[""퓨어솝""]",Clean,Pure Soap,OK
ci_cd663b989366,"[""향수존""]",Replay,"[""리플레이 탱크 플레이트 포 우먼""]",Replay,Tank Plate for Women,OK
ci_58d98aa97d8b,"[""향수존""]",Jaguar,"[""재규어 이어러 리로디드""]",Jaguar,Era Reloaded,UNCERTAIN
ci_c420901cde27,"[""클린""]",Clean,"[""쿨 코튼"", ""클래식 쿨 코튼""]",Clean,Classic Cool Cotton,OK
ci_d949fba63554,"[""향수존""]",Mancera,"[""만세라 베티버 센슈얼""]",Mancera,Vetiver Sensuel,OK
ci_aed707d08d34,"[""엑스니힐로""]",Ex Nihilo,"[""블루 탈리스만""]",Ex Nihilo,Blue Talisman,OK
