commercial_identity_id,source_brands,existing_canonical_brand,query_cores,reconstructed_brand_latin,reconstructed_fragrance_latin,reconstruction_status
ci_736dd9e89d13,"[""몽블랑""]",Montblanc,"[""레전드""]",Montblanc,Legend,OK
ci_8320393300a0,"[""아리아나그란데""]",Ariana Grande,"[""아리""]",Ariana Grande,Ari,OK
ci_2c35fded8c71,"[""멈칫""]",Mumchit,"[""스테이퍼퓸 밤쉘""]",MUMCHIT,Bombshell,OK
ci_a0a02b36cbab,"[""딥티크""]",Diptyque,"[""오르페옹""]",Diptyque,Orphéon,OK
ci_c427296fb61c,"[""조말론""]",Jo Malone London,"[""우드 세이지 앤 씨 솔트""]",Jo Malone London,Wood Sage & Sea Salt,OK
ci_4de0e6367ac7,"[""다니엘트루스""]",Daniel's Truth,"[""시그니처 밤쉘루스""]",Daniel's Truth,Signature Bombshelluth,OK
ci_1af25ac959c8,"[""르라보""]",Le Labo,"[""어나더 13""]",Le Labo,Another 13,OK
ci_162ce4d89e5c,"[""딥티크""]",Diptyque,"[""오 로즈""]",Diptyque,Eau Rose,OK
ci_9c7b60cda438,"[""이솝""]",Aesop,"[""테싯""]",Aesop,Tacit,OK
ci_5bd545b067ba,"[""딥티크""]",Diptyque,"[""필로시코스""]",Diptyque,Philosykos,OK
ci_35680c3bc0ca,"[""딥티크""]",Diptyque,"[""필로시코스""]",Diptyque,Philosykos,OK
ci_062f12f6c251,"[""바이레도""]",Byredo,"[""발 다프리크""]",Byredo,Bal d'Afrique,OK
ci_a1ab120d463f,"[""샤넬""]",Chanel,"[""샹스 오 후레쉬""]",Chanel,Chance Eau Fraîche,OK
ci_c64418cfae23,"[""샤넬""]",Chanel,"[""N°5 오 프르미에르""]",Chanel,N°5 Eau Première,OK
ci_3a60949bd23c,"[""딥티크""]",Diptyque,"[""플레르 드 뽀""]",Diptyque,Fleur de Peau,OK
ci_144c02ac2e8c,"[""샤넬""]",Chanel,"[""알뤼르 옴므 스포츠""]",Chanel,Allure Homme Sport,OK
ci_b440592c99d0,"[""샤넬""]",Chanel,"[""코코 마드모아젤""]",Chanel,Coco Mademoiselle,OK
ci_0e58a7b232c1,"[""랑콤""]",Lancôme,"[""미라클""]",Lancôme,Miracle,OK
ci_62e83b955e8e,"[""톰포드""]",Tom Ford,"[""네롤리 포르토피노""]",Tom Ford,Neroli Portofino,OK
ci_af915105c9d6,"[""에르메스""]",Hermès,"[""운 자르뎅 수르닐""]",Hermès,Un Jardin sur le Nil,OK
ci_7140e79c0934,"[""조말론""]",Jo Malone London,"[""잉글리쉬 오크 앤 헤이즐넛""]",Jo Malone London,English Oak & Hazelnut,OK
ci_a43934ab0bfc,"[""구찌""]",Gucci,"[""플로라 골저스가드니아""]",Gucci,Flora Gorgeous Gardenia,OK
ci_08444c325013,"[""바이레도""]",Byredo,"[""모하비 고스트""]",Byredo,Mojave Ghost,OK
ci_389cfde1d598,"[""샤넬""]",Chanel,"[""샹스 오 땅드르""]",Chanel,Chance Eau Tendre,OK
ci_c493990816c7,"[""샤넬""]",Chanel,"[""N°1 드 샤넬 레드 까멜리아""]",Chanel,N°1 de Chanel L'Eau Rouge,UNCERTAIN
ci_293208b599e8,"[""르라보""]",Le Labo,"[""상탈 33""]",Le Labo,Santal 33,OK
ci_a616dd0ed39d,"[""이솝""]",Aesop,"[""로즈""]",Aesop,Rōzu,OK
ci_62c43a95d372,"[""헉슬리""]",Huxley,"[""모로칸가드너""]",Huxley,Moroccan Gardener,OK
ci_74dd483efbfd,"[""살바토레페라가모""]",Salvatore Ferragamo,"[""인칸토 참""]",Salvatore Ferragamo,Incanto Charms,OK
ci_6045ff2d156f,"[""토스""]",토스,"[""베이비 토스 오 데""]",TOUS,Baby Tous,OK
ci_7950ebae05bd,"[""에스티로더""]",Estée Lauder,"[""플레져 스프레이""]",Estée Lauder,Pleasures,OK
ci_8b6c935a8532,"[""구찌""]",Gucci,"[""블룸""]",Gucci,Bloom,OK
ci_71ebbf36734f,"[""바이레도""]",Byredo,"[""집시 워터""]",Byredo,Gypsy Water,OK
ci_d9f02e55e685,"[""조말론""]",Jo Malone London,"[""와일드 블루벨""]",Jo Malone London,Wild Bluebell,OK
ci_967f46658c28,"[""입생로랑뷰티""]",Yves Saint Laurent,"[""리브르""]",Yves Saint Laurent,Libre,OK
ci_62d910c73aef,"[""입생로랑뷰티""]",Yves Saint Laurent,"[""몽 파리""]",Yves Saint Laurent,Mon Paris,OK
ci_f3536fc87e94,"[""산타마리아노벨라""]",Santa Maria Novella,"[""피렌체 1221 에디션 엔젤 디 피렌체""]",Santa Maria Novella,Angeli di Firenze,OK
ci_e482bce17fd1,"[""바이레도""]",Byredo,"[""인플로레센스""]",Byredo,Inflorescence,OK
ci_32a3c5eeb16c,"[""샤넬""]",Chanel,"[""가브리엘 에쌍스""]",Chanel,Gabrielle Essence,OK
ci_df148be1ae47,"[""조말론""]",Jo Malone London,"[""라임 바질 앤 만다린""]",Jo Malone London,Lime Basil & Mandarin,OK
ci_87b915f533b7,"[""버버리""]",Burberry,"[""마이 버버리""]",Burberry,My Burberry,OK
ci_5ca8c2d44a98,"[""탬버린즈""]",Tamburins,"[""에그 펌키니""]",Tamburins,Pumkini,OK
ci_518dbc0d2ea8,"[""메블릭퍼퓸""]",Mebelic,"[""케라""]",MEBLICPERFUME,Kera,OK
ci_d06dbb3cb628,"[""에디션드퍼퓸프레데릭말""]",Frederic Malle,"[""포트레이트 오브 어 레이디""]",Éditions de Parfums Frédéric Malle,Portrait of a Lady,OK
ci_b56d0e0e5a5c,"[""조말론""]",Jo Malone London,"[""피오니 앤 블러쉬 스웨이드""]",Jo Malone London,Peony & Blush Suede,OK
ci_7ed1d1421ae9,"[""데일리콤마""]",데일리콤마,"[""모스트오드퍼퓸 텐더파리""]",Daily Comma,Tender Paris,OK
ci_8f843e5cde59,"[""입생로랑뷰티""]",Yves Saint Laurent,"[""몽파리 루미에르""]",Yves Saint Laurent,Mon Paris Lumière,OK
ci_9b8e78586ef0,"[""디올""]",Dior,"[""소바쥬""]",Dior,Sauvage,OK
ci_8911952ed170,"[""조말론""]",Jo Malone London,"[""얼 그레이 앤 큐컴버""]",Jo Malone London,Earl Grey & Cucumber,OK
ci_1ccb7bd24c2a,"[""프라다""]",Prada,"[""캔디""]",Prada,Candy,OK
ci_44a09a59b93d,"[""랑방""]",Lanvin,"[""루머2 로즈""]",Lanvin,Rumeur 2 Rose,OK
ci_72b3ebd6097d,"[""베르사체 퍼퓸"", ""향수존""]",Versace,"[""베르사체 브라이트 크리스탈"", ""브라이트 크리스탈""]",Versace,Bright Crystal,OK
ci_8798439946b7,"[""베르사체""]",Versace,"[""오프레쉬 맨""]",Versace,Man Eau Fraîche,OK
ci_2349a2481b25,"[""향수존""]",Versace,"[""베르사체 오 프레쉬 맨"", ""베르사체 오프레쉬 맨""]",Versace,Man Eau Fraîche,OK
ci_497721463d61,"[""향수존""]",Grès,"[""그레 카보틴""]",Grès,Cabotine,OK
ci_e58baaff7634,"[""무신사 스탠다드 뷰티""]",무신사 스탠다드 뷰티,"[""무신사 스탠다드 애프터 샤워""]",MUSINSA STANDARD BEAUTY,After Shower,OK
ci_1788671841a1,"[""향수존""]",Montale,"[""몽탈 초콜릿 그리디""]",Montale,Chocolate Greedy,OK
ci_e2bbb1d18103,"[""포맨트""]",Forment,"[""시그니처 코튼허그""]",Forment,Signature Cotton Hug,OK
ci_759aaa61d109,"[""향수존""]",Jaguar,"[""재규어 클래식 일렉트릭 스카이""]",Jaguar,Classic Electric Sky,OK
ci_1a909149b802,"[""향수존""]",Lalique,"[""라리끄 솔레이 루나""]",Lalique,Soleil Lunar,OK
ci_1eb4b6619fa0,"[""무신사 스탠다드 뷰티""]",무신사 스탠다드 뷰티,"[""Gen.G Chovy""]",MUSINSA STANDARD BEAUTY,Gen.G Chovy,OK
ci_5ce232d05e65,"[""향수존""]",Mancera,"[""만세라 오드 레몬 민트""]",Mancera,Aoud Lemon Mint,OK
ci_2f9d3332dc12,"[""향수존""]",Parfums Berdoues,"[""베르두콜렉션 그랑크뤼 아주르 리비에라""]",Berdoues,Azur Riviera,OK
ci_ea3b2620a699,"[""무신사 스탠다드 뷰티""]",무신사 스탠다드 뷰티,"[""노홍철 럭키 가이 實行力 실행력""]",MUSINSA STANDARD BEAUTY,Lucky Guy,OK
ci_36159d40c5bd,"[""향수존""]",Banana Republic,"[""바나나리퍼블릭 메탈레인""]",Banana Republic,Metal Rain,OK
ci_7e172f0085d9,"[""향수존""]",Nishane,"[""니샤네 팬 유어 플레임즈""]",Nishane,Fan Your Flames,OK
ci_c14f3f1be109,"[""리베르""]",리베르,"[""구름 비누향 클라우드 사이 Cloud Sai""]",LIBER,Cloud Sai,OK
ci_52ddc722ce8e,"[""베르사체 퍼퓸"", ""베르사체""]",Versace,"[""에로스""]",Versace,Eros,OK
ci_ca648c4a8a05,"[""향수존""]",Versace,"[""베르사체 에로스""]",Versace,Eros,OK
ci_63702fd83c27,"[""향수존""]",Banana Republic,"[""바나나리퍼블릭 미드나잇 아워""]",Banana Republic,Midnight Hour,OK
ci_17431ee1f5b7,"[""향수존""]",Banana Republic,"[""바나나리퍼블릭 퓨어 화이트""]",Banana Republic,Pure White,OK
ci_db1f1f0f25c7,"[""무신사 스탠다드 뷰티""]",무신사 스탠다드 뷰티,"[""무신사 스탠다드 모시 헤이즈""]",MUSINSA STANDARD BEAUTY,Mossy Haze,OK
ci_db310e94e234,"[""향수존""]",BMW Fragrances,"[""BMW 더 센트 오브 베르가무드"", ""비엠더블유 더 센트 오브 베르가무드""]",BMW Fragrances,The Scent of Bergamood,OK
ci_71460603b2e8,"[""무신사 스탠다드 뷰티""]",무신사 스탠다드 뷰티,"[""Gen.G Ruler""]",MUSINSA STANDARD BEAUTY,Gen.G Ruler,OK
ci_372f702bf714,"[""향수존""]",Rance 1795,"[""랑세 르방케 포 맨 바이알3종""]",Rancé 1795,Le Vainqueur,OK
ci_ae8fc927ce80,"[""에스더블유나인틴""]",SW19,"[""SW19 Midnight"", ""SW19 Midnight & 기획세트""]",SW19,Midnight,OK
ci_684edcf8558a,"[""향수존""]",Nikos,"[""니코스 스컬프쳐 미코노스""]",Nikos,Sculpture Mykonos,OK
ci_124bd000dfcf,"[""유쏘풀""]",Youssoful,"[""세인트모리츠 니치향수""]",YOUSSOFUL,Saint Moritz,OK
ci_8834b2618482,"[""향수존""]",Montale,"[""몽탈 비 마이 플럼""]",Montale,Be My Plum,OK
ci_b8cd393d2c56,"[""나르시소 로드리게즈""]",Narciso Rodriguez,"[""포 허 퓨어 머스크""]",Narciso Rodriguez,For Her Pure Musc,OK
ci_3b1cfc988a42,"[""향수존""]",Mancera,"[""만세라 자스민 엑스클루시프""]",Mancera,Jasmin Exclusif,OK
ci_77ef68d53564,"[""향수존""]",Rance 1795,"[""랑세 조세핀 포 우먼 바이알3종""]",Rancé 1795,Joséphine,OK
ci_5575147b0b3b,"[""뉴뉴""]",뉴뉴,"[""샤를33 네놀리""]",NIUNIU,Charles33 Nenoli,OK
ci_d1e694f37a14,"[""향수존""]",Montale,"[""몽탈 버블 포에버""]",Montale,Bubble Forever,OK
ci_aeb57afd9726,"[""시머스""]",시머스,"[""미드나잇 파크""]",SEAMUS,Midnight Park,OK
ci_6b994e4f8017,"[""향수존""]",Nishane,"[""니샤네 우롱차 바이알3종""]",Nishane,WŪLÓNG CHÁ,OK
ci_ce6521f1d93a,"[""존바바토스""]",John Varvatos,"[""아티산 블랙""]",John Varvatos,Artisan Black,OK
ci_f149cc2700c4,"[""포맨트""]",Forment,"[""시그니처 코튼베이비""]",Forment,Signature Cotton Baby,OK
ci_7b5e6d8fb388,"[""무신사 스탠다드 뷰티""]",무신사 스탠다드 뷰티,"[""무신사 스탠다드 미드나잇 램블러""]",MUSINSA STANDARD BEAUTY,Midnight Rambler,OK
ci_06fde7bcef85,"[""향수존""]",Rance 1795,"[""랑세 데지레 포 우먼""]",Rancé 1795,Désirée,OK
ci_ede5ddfd0fce,"[""향수존""]",Rance 1795,"[""랑세 마틸드""]",Rancé 1795,Mathilde,OK
ci_44bff09ef9ae,"[""뉴뉴""]",뉴뉴,"[""샤인30""]",NIUNIU,Shine 30,OK
ci_943d8f44d22e,"[""향수존""]",Essential Parfums,"[""에센셜퍼퓸 더 머스크 바이 칼리스 베커 바이알2종""]",Essential Parfums,The Musc,OK
ci_efe9bf7b788d,"[""향수존""]",Essential Parfums,"[""에센셜퍼퓸 오렌지상탈 바이 나탈리 그라시아세토 바이알2종""]",Essential Parfums,Orange X Santal,OK
ci_4a2f80f67c34,"[""엘리자베스아덴""]",Elizabeth Arden,"[""그린티 스트로베리 바질""]",Elizabeth Arden,Green Tea Strawberry Basil,OK
ci_479dbdac0a43,"[""향수존""]",Essential Parfums,"[""에센셜퍼퓸 피그 인퓨전 바이 나탈리 로슨 바이알2종""]",Essential Parfums,Fig Infusion,OK
ci_28ef15b9cc2a,"[""클린""]",Clean,"[""웜코튼""]",Clean,Warm Cotton,OK
ci_c48800ffc2b0,"[""향수존""]",퓨레앙스,"[""퓨레앙스 화이트 블룸""]",Pureance,White Bloom,UNCERTAIN
ci_68d02e396164,"[""리베르""]",리베르,"[""첫눈 스노우 사이 Snow Sai""]",LIBER,Snow Sai,OK
ci_2a6bca13c7e1,"[""향수존""]",BMW Fragrances,"[""비엠더블유 앰버니스""]",BMW Fragrances,Amberness,OK
ci_6a221cc81cac,"[""로이비""]",LOIVIE,"[""베르가못 앤 화이트 로즈""]",LOIVIE,Bergamot & White Rose,OK
ci_c56b3b5c17ef,"[""로이비""]",LOIVIE,"[""베르가못 앤 화이트로즈""]",LOIVIE,Bergamot & White Rose,OK
ci_037e2669dbac,"[""센틀리에""]",센틀리에,"[""오렌지블라썸 토스카나""]",Scentlier,Orange Blossom Toscana,OK
ci_0b81c33195e9,"[""향수존""]",BMW Fragrances,"[""BMW 더 센트 오브 앰버니스"", ""비엠더블유 더 센트 오브 앰버니스""]",BMW Fragrances,The Scent of Amberness,OK
ci_b0631f739e4f,"[""질스튜어트 뷰티""]",Jill Stuart,"[""화이트 플로럴""]",Jill Stuart,White Floral,OK
ci_8340a84c1a24,"[""향수존""]",Parfums Berdoues,"[""베르두콜렉션 그랑크뤼 아쌈 오브 인디아 100m""]",Berdoues,Assam of India,OK
ci_489e92661f61,"[""폴로랄프로렌 퍼퓸"", ""랄프로렌""]",Ralph Lauren,"[""폴로 랄프""]",Ralph Lauren,Ralph,OK
ci_6ddaef18703e,"[""투데이이즈""]",투데이이즈,"[""인유어메모리""]",TODAYIS,In Your Memory,OK
ci_e138e63c4dbd,"[""클린""]",Clean,"[""헤어& 미스트 휩드바닐라""]",Clean,Whipped Vanilla,OK
ci_de7b96871680,"[""누다라""]",누다라,"[""시그니처 오키탈""]",NUDARA,Signature Okital,UNCERTAIN
ci_eac325a6dc15,"[""향수존""]",Mancera,"[""만세라 인텐스 세드라 부아제""]",Mancera,Intense Cedrat Boise,OK
ci_ecc1ed6c7ff8,"[""존바바토스""]",John Varvatos,"[""아티산 / 중""]",John Varvatos,Artisan,OK
ci_cff22b02dea9,"[""향수존""]",Banana Republic,"[""바나나리퍼블릭 다크체리 & 앰버""]",Banana Republic,Dark Cherry & Amber,OK
ci_d49aa1d6db5e,"[""클린""]",Clean,"[""웜코튼 , / 중""]",Clean,Warm Cotton,OK
ci_d60c0d374cfc,"[""향수존""]",Replay,"[""리플레이 러버즈 포 우먼""]",Replay,Signature Lovers for Woman,OK
ci_9655311a9980,"[""향수존""]",마주리,"[""마주리 시그니처 클래식""]",MAJOURI,Signature Classic,OK
ci_d3737a1b01d7,"[""끌로에""]",Chloé,"[""로 드 인텐스 / /50기획""]",Chloé,Intense,OK
ci_029d5242811e,"[""향수존""]",Mancera,"[""만세라 인스턴트 크러쉬""]",Mancera,Instant Crush,OK
ci_6a46ead3c476,"[""아리아나그란데""]",Ariana Grande,"[""스위트 라이크 캔디 , , 중""]",Ariana Grande,Sweet Like Candy,OK
ci_55c32188b932,"[""나르시소 로드리게즈""]",Narciso Rodriguez,"[""NEW 나르시소 로드리게즈 포 허 퓨어 머스크 블랑 EDPI""]",Narciso Rodriguez,For Her Pure Musc Blanc,OK
ci_ef14f19b3b75,"[""향수존""]",Rance 1795,"[""랑세 헬레네 포 우먼""]",Rancé 1795,Hélène,OK
ci_17579459b767,"[""향수존""]",Mancera,"[""만세라 통카 콜라""]",Mancera,Tonka Cola,OK
ci_e202954dd7c6,"[""향수존""]",Kenneth Cole,"[""케네스콜 맨카인드 라이즈""]",Kenneth Cole,Mankind Rise,OK
ci_c6b3db5b5caa,"[""향수존""]",BMW Fragrances,"[""BMW M 2025"", ""비엠더블유 M2025""]",BMW Fragrances,BMW M 2025,OK
ci_cc65771c068b,"[""누다라""]",누다라,"[""시그니처 우드마벨""]",NUDARA,Signature Woodmabel,UNCERTAIN
ci_ca0ee5a0b251,"[""향수존""]",훌라,"[""훌라 아우텐티카""]",Furla,Autentica,OK
ci_f2e2d7044172,"[""포맨트""]",Forment,"[""시그니처 코튼배쓰""]",Forment,Signature Cotton Bath,OK
ci_3cd9661eab70,"[""향수존""]",Mancera,"[""만세라 인텐스 레드 토바코""]",Mancera,Intense Red Tobacco,OK
ci_a1c5a87f45bb,"[""향수존""]",Mancera,"[""만세라 패블러스 유주""]",Mancera,Fabulous Yuzu,OK
ci_552d7d6dc0b6,"[""향수존""]",훌라,"[""훌라 아도라빌레""]",Furla,Adorabile,OK
ci_df319d71a09a,"[""향수존""]",Mancera,"[""만세라 코코 바닐""]",Mancera,Coco Vanille,OK
ci_92cf3d32574e,"[""필로소피""]",Philosophy,"[""어메이징 그레이스 / /60ml기획""]",Philosophy,Amazing Grace,OK
ci_b691058531a8,"[""코치 프래그런스"", ""코치""]",Coach,"[""체리""]",Coach,Cherry,OK
ci_d7f360daaaee,"[""라멜린""]",라멜린,"[""플로럴""]",Lamelin,Floral,OK
ci_4630385a2560,"[""사브리나 카펜터"", ""사브리나카펜터""]",Sabrina Carpenter,"[""스위트 투스"", ""스위트투스""]",Sabrina Carpenter,Sweet Tooth,OK
ci_7a181ba8b2ed,"[""향수존""]",Mancera,"[""만세라 시실리""]",Mancera,Sicily,OK
ci_c5f6aa864282,"[""캘빈클라인""]",Calvin Klein,"[""CK One 에센스 인텐스""]",Calvin Klein,CK One Essence Intense,OK
ci_36c77bf10f8a,"[""향수존""]",Mancera,"[""만세라 로즈 그리디""]",Mancera,Roses Greedy,OK
ci_46238ae10e19,"[""비비앙""]",Vivienne Westwood,"[""뉴욕인틸리""]",BiBiANG,New York in Tilly,OK
ci_979dd155638a,"[""루아페""]",Luafee,"[""러블리한 플로럴향 루아페 오,러브""]",Luafee,"Oh, Love",OK
ci_93e27964ca8b,"[""로이비""]",LOIVIE,"[""피오니 앤 화이트 머스크""]",LOIVIE,Peony & White Musk,OK
ci_89065f584687,"[""로이비""]",LOIVIE,"[""피오니 앤 화이트 머스크""]",LOIVIE,Peony & White Musk,OK
ci_102e06f3190c,"[""아뜰리에페이""]",Atelier Faye,"[""마이스킨벗베러""]",Atelier Faye,My Skin But Better,OK
ci_0ff12b1de629,"[""폴로랄프로렌 퍼퓸"", ""랄프로렌""]",Ralph Lauren,"[""폴로 블루""]",Ralph Lauren,Polo Blue,OK
ci_975325349265,"[""향수존""]",훌라,"[""훌라 퓨라""]",Furla,Pura,OK
ci_844980499428,"[""몽블랑 퍼퓸"", ""몽블랑""]",Montblanc,"[""스타워커""]",Montblanc,Starwalker,OK
ci_39c0948727fa,"[""에이딕트""]",Addct,"[""네이키드 뮤게 313""]",ADDCT,Naked Muguet 313,OK
ci_d3072c84a2f6,"[""에따 리브르 도랑쥬""]",Etat Libre d'Orange,"[""유 오어 썸원 라이크 유""]",Etat Libre d'Orange,You or Someone Like You,OK
ci_e1a4a5a7dcb1,"[""향수존""]",훌라,"[""훌라 우니카""]",Furla,Unica,OK
ci_f1be476fac30,"[""포뷰트""]",포뷰트,"[""시그니처 애프터 선셋 남자향수""]",FOR BEAUT,Signature After Sunset,OK
ci_a5cd171f5185,"[""향수존""]",막스앤코,"[""막스앤코 모닝 캔 웨이트""]",MAX&Co.,Morning Can Wait,OK
ci_ae81bd990904,"[""캘빈클라인""]",Calvin Klein,"[""NEW 캘빈클라인 씨케이원 나이트 에센스""]",Calvin Klein,CK One Night Essence,OK
ci_f5761360f432,"[""알보우""]",RboW,"[""도쿄 피그""]",RboW,Tokyo Fig,OK
ci_d8461bafd796,"[""향수존""]",막스앤코,"[""막스앤코 굿 바이브스 돈 라이""]",MAX&Co.,Good Vibes Don't Lie,OK
ci_cacb957def3b,"[""랑방""]",Lanvin,"[""레 플레르 드 랑방 써니 매그놀리아""]",Lanvin,Les Fleurs de Lanvin Sunny Magnolia,OK
ci_683d2418c073,"[""향수존""]",막스앤코,"[""막스앤코 쉬 이즈 어 10""]",MAX&Co.,She Is a 10,OK
ci_db35ae58fb2c,"[""아비브""]",아비브,"[""타입 N""]",Abib,Type N,OK
ci_0e762e9fa72f,"[""향수존""]",Essential Parfums,"[""에센셜퍼퓸 나이스 베르가못 바이 앙투완메종디유 바이알2종""]",Essential Parfums,Nice Bergamote,OK
ci_12ad9e9642b2,"[""아뜰리에페이""]",Atelier Faye,"[""NEW 아뜰리에페이 뮤게가든""]",Atelier Faye,Muguet Garden,OK
ci_3c138ae27883,"[""향수존""]",Rance 1795,"[""랑세 오드라 꾸론느""]",Rancé 1795,Eau de la Couronne,OK
ci_9393b93d0ce6,"[""포맨트""]",Forment,"[""시그니처 코튼 디어 나잇""]",Forment,Signature Cotton Dear Night,OK
ci_fd42acc0c3f9,"[""어뮤즈""]",어뮤즈,"[""미스트 한정""]",AMUSE,,UNKNOWN
ci_2203fd6a322c,"[""에이딕트""]",Addct,"[""네이키드 머스크 103""]",ADDCT,Naked Musk 103,OK
ci_a31874bc1078,"[""향수존""]",Rance 1795,"[""랑세 프랑수와찰스 포 맨""]",Rancé 1795,François Charles,OK
ci_15c399e96ac7,"[""향수존""]",Rance 1795,"[""랑세 유제니 포 우먼""]",Rancé 1795,Eugénie,OK
ci_30370b03b0c1,"[""지미추""]",Jimmy Choo,"[""아이 원 추"", ""아이 원 추 40m""]",Jimmy Choo,I Want Choo,OK
ci_b1d22fc8e5ed,"[""향수존""]",Rance 1795,"[""랑세 르방케 포 맨""]",Rancé 1795,Le Vainqueur,OK
ci_4f0e24e2b0ec,"[""에이딕트""]",Addct,"[""네이키드 30mlX2""]",ADDCT,,UNKNOWN
ci_4729f48f8c29,"[""향수존""]",Rance 1795,"[""랑세 유제니 포 우먼100ml 바이알3종""]",Rancé 1795,Eugénie,OK
ci_71fa21326226,"[""향수존""]",Rance 1795,"[""랑세 데지레 포 우먼 바이알3종""]",Rancé 1795,Désirée,OK
ci_77cc9879d419,"[""향수존""]",Lalique,"[""라리끄 라무르 오드퍼퓸100ml""]",Lalique,L'Amour,OK
ci_e308c32a4ecb,"[""향수존""]",BMW Fragrances,"[""BMW M 1985"", ""비엠더블유 M1985""]",BMW Fragrances,BMW M 1985,OK
ci_d2c39dca8ba1,"[""향수존""]",BMW Fragrances,"[""BMW M 1972"", ""비엠더블유 M1972""]",BMW Fragrances,BMW M 1972,OK
ci_d35f8c98bc46,"[""클린""]",Clean,"[""헤어& 미스트 파파야 파라다이스""]",Clean,Papaya Paradise,OK
ci_d28b9495862b,"[""플르부아""]",플르부아,"[""히노끼 레더""]",Pleuvoir,Hinoki Leather,OK
ci_2002333a4a42,"[""유쏘풀""]",Youssoful,"[""베리섹시 니치향수""]",YOUSSOFUL,Berry Sexy,OK
ci_6417c841663e,"[""향수존""]",Banana Republic,"[""바나나리퍼블릭 네롤리 우드""]",Banana Republic,Neroli Woods,OK
ci_9e5e93b2c387,"[""로라메르시에""]",Laura Mercier,"[""NEW 로라메르시에 앰버바닐라""]",Laura Mercier,Ambre Vanillé,OK
ci_e49b9948a045,"[""세이리""]",세이리,"[""오스만투스""]",SEI LI,Osmanthus,OK
ci_6525a252213c,"[""향수존""]",Nishane,"[""니샤네 헌드레드 사일런트 웨이즈"", ""니샤네 헌드레드사일런트 웨이즈""]",Nishane,Hundred Silent Ways,OK
ci_b0e2f4a43c26,"[""끌로에""]",Chloé,"[""루미네즈""]",Chloé,Lumineuse,OK
ci_cde0bdb250ad,"[""지미추""]",Jimmy Choo,"[""아이 원 추 포에버""]",Jimmy Choo,I Want Choo Forever,OK
ci_dde36cf02aa1,"[""센슬""]",센슬,"[""플로우 뮤트 크림 플로우 미닛""]",SENSEL,Flow Minute,OK
ci_f87ccd37195b,"[""향수존""]",Nishane,"[""니샤네 난쉬""]",Nishane,Nanshe,OK
ci_fb38803bbfcc,"[""센녹""]",Sennok,"[""슬로우셉템버""]",SENNOK,Slow September,OK
ci_b1e88853f76a,"[""지미추""]",Jimmy Choo,"[""아이원추 르 파팡""]",Jimmy Choo,I Want Choo Le Parfum,OK
ci_30de9f13f79a,"[""비비앙""]",Vivienne Westwood,"[""구름""]",BiBiANG,Gureum,OK
